"estimated_genus_name","Year_of_Recommendation","OHI_region","status_adjusted","control_adjusted","n_species","n_species_original","n_species_gapfilled","carta_provenance"
"alopias",2023,"region_1","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"anadara",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"apostichopus",2023,"region_1","decreasing","decrease",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"argopecten",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"atrina",2023,"region_1","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"callinectes",2023,"region_1","maximally harvested","no increase",3,0,3,"genus aggregation; mode across 0 original and 3 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"carcharhinus",2023,"region_1","maximally harvested","no increase",9,9,0,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"centropomus",2023,"region_1","maximally harvested","no increase",5,5,0,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"cetengraulis",2022,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chione",2023,"region_1","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chionista",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chionopsis",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chondracanthus",2012,"region_1","development potential","increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"crassostrea",2023,"region_1","maximally harvested","no increase",5,1,4,"genus aggregation; mode across 1 original and 4 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"cynoscion",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"dosidicus",2022,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"dosinia",2023,"region_1","maximally harvested","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"engraulis",2022,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"etrumeus",2022,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"farfantepenaeus",2017,"region_1","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"galeocerdo",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"galeorhinus",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"gelidium",2012,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"gracilariopsis",2012,"region_1","development potential","increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"gynglymostoma",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
