"estimated_species_name","Year_of_Recommendation","OHI_region","status_adjusted","control_adjusted","notes","carta_provenance","estimated_genus_name","species"
"alopias pelagicus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","alopias","pelagicus"
"alopias superciliosus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","alopias","superciliosus"
"alopias vulpinus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","alopias","vulpinus"
"anadara tuberculosa",2023,"region_1","maximally harvested","no increase","Within region variation in status, took most conservative","original estimate; Carta recommendation available for this species in this region","anadara","tuberculosa"
"apostichopus parvimensis (sinonimo de parastichopus parvimensis)",2023,"region_1","decreasing","decrease","Deteriorated in Baja California, with a tendency to recover in Baja California Sur.","original estimate; Carta recommendation available for this species in this region","apostichopus","parvimensis (sinonimo de parastichopus parvimensis)"
"argopecten ventricosus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","argopecten","ventricosus"
"atrina maura",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","atrina","maura"
"atrina oldroydii",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","atrina","oldroydii"
"atrina tuberculosa",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","atrina","tuberculosa"
"callinectes arcuatus",2023,"region_1","maximally harvested","no increase",NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","callinectes","arcuatus"
"callinectes bellicosus",2023,"region_1","maximally harvested","no increase",NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","callinectes","bellicosus"
"callinectes toxotes",2023,"region_1","maximally harvested","no increase",NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","callinectes","toxotes"
"carcharhinus altimus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","carcharhinus","altimus"
"carcharhinus brachyurus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","carcharhinus","brachyurus"
"carcharhinus falciformis",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","carcharhinus","falciformis"
"carcharhinus galapagensis",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","carcharhinus","galapagensis"
"carcharhinus leucas",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","carcharhinus","leucas"
"carcharhinus limbatus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","carcharhinus","limbatus"
"carcharhinus longimanus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","carcharhinus","longimanus"
"carcharhinus obscurus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","carcharhinus","obscurus"
"carcharhinus porosus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","carcharhinus","porosus"
"centropomus armatus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","centropomus","armatus"
"centropomus medius",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","centropomus","medius"
"centropomus nigrescens",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","centropomus","nigrescens"
"centropomus robalito",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","centropomus","robalito"
"centropomus viridis",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","centropomus","viridis"
"cetengraulis mysticetus",2022,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","cetengraulis","mysticetus"
"chione californianensis",2023,"region_1","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","original estimate; Carta recommendation available for this species in this region","chione","californianensis"
"chione undatella",2023,"region_1","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","original estimate; Carta recommendation available for this species in this region","chione","undatella"
"chionista fluctifraga",2023,"region_1","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","original estimate; Carta recommendation available for this species in this region","chionista","fluctifraga"
"chionopsis gnidia",2023,"region_1","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","original estimate; Carta recommendation available for this species in this region","chionopsis","gnidia"
"chondracanthus canaliculatus",2012,"region_1","development potential","increase","This species grows in the intertidal zone of the western coast of the Baja California peninsula.","original estimate; Carta recommendation available for this species in this region","chondracanthus","canaliculatus"
"crassostrea costeziensis",2023,"region_1","maximally harvested","no increase",NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","crassostrea","costeziensis"
"crassostrea gigas",2017,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","crassostrea","gigas"
"crassostrea iridescens, o striostrea prismatica",2023,"region_1","maximally harvested","no increase",NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","crassostrea","iridescens, o striostrea prismatica"
"crassostrea iridiscens",2012,"region_1","maximally harvested","no increase",NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","crassostrea","iridiscens"
"crassostrea virginica",2012,"region_1","maximally harvested","no increase",NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","crassostrea","virginica"
"cynoscion othonopterus",2023,"region_1","maximally harvested","no increase",NA,"original estimate; Carta recommendation available for this species in this region","cynoscion","othonopterus"
"dosidicus gigas",2022,"region_1","maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California","original estimate; Carta recommendation available for this species in this region","dosidicus","gigas"
"dosinia ponderosa",2023,"region_1","maximally harvested","no increase",NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","dosinia","ponderosa"
