Region,Stock,ScientificName,Major_Functional_Group,Landings_Datasource,StartYear,EndYear,int_yr,btype,force.cmsy,Flim,Fpa,Blim,Bpa,Bmsy,B40,FMSY,MSY,MSYBtrigger,M,Fofl,last_F,q.start,q.end,st_b.low,st_b.hi,int_b.low,int_b.hi,end_b.low,end_b.hi,r.low,r.hi,Resilience,Resilience_Source,Yes_Run,Comment
goc,dosidicus,PENDING,PENDING,jc_data,2000,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.3,0.5,0.01,0.2,NA,NA,High,Ferrer et al_2022,1,NA
goc,panulirus,PENDING,PENDING,jc_data,2000,2024,2008,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.3,0.5,0.3,0.5,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,gerres,PENDING,PENDING,jc_data,2000,2024,2009,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.01,0.4,NA,NA,High,best_guess_Serranidae,1,NA
goc,hyporthodus,PENDING,PENDING,jc_data,2000,2024,2015,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,my_best_guess,0,Incomplete model priors
goc,menticirrhus,PENDING,PENDING,jc_data,2000,2024,2013,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,micropogonias,PENDING,PENDING,jc_data,2000,2024,2013,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,mycteroperca,PENDING,PENDING,jc_data,2000,2024,2018,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.6,0.9,0.6,0.9,NA,NA,Low,Ferrer et al_2022,1,NA
goc,paralabrax,PENDING,PENDING,jc_data,2000,2024,2018,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.6,0.9,0.6,0.9,NA,NA,Low,Ferrer et al_2022,1,NA
goc,balistes,PENDING,PENDING,jc_data,2000,2024,2007,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude_freshwater_fish,0,Incomplete model priors
goc,cynoscion,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,lutjanus,PENDING,PENDING,jc_data,2000,2024,2015,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.01,0.4,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,brotula,PENDING,PENDING,jc_data,2000,2024,2013,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,Low,Ferrer et al_2022,1,NA
