"rgn_id","year","habitat","extent","current_status","current_status_prop","trend","coastal_protection","filtration","carbon_sequestration_gC.m2.yr"
"Region_1",2020,"mangrove",0,NA,NA,NA,4,4,136
"Region_2",2020,"mangrove",0,NA,NA,NA,4,4,136
"Region_3",2020,"mangrove",0,NA,NA,NA,4,4,136
"Region_4",2020,"mangrove",6.3,100,NA,0.84,4,4,136
"Region_5",2020,"mangrove",0,NA,NA,NA,4,4,136
"Region_6",2020,"mangrove",32.7,81.1,NA,0.12,4,4,136
"Region_7",2020,"mangrove",119.2,92.2,NA,0.78,4,4,136
"Region_8",2020,"mangrove",1002.5,90.1,NA,0.44,4,4,136
"Region_9",2020,"mangrove",973.9,90,NA,0.16,4,4,136
"Region_1",2021,"wetland",8.66904369364827,99.9470330230132,0.999470330230132,0.000000237597658658828,4,3,46.52
"Region_2",2021,"wetland",132.469883448307,100,1,0.00532678834735334,4,3,46.52
"Region_3",2021,"wetland",60.3481997902118,100,1,-0.00319827013231899,4,3,46.52
"Region_4",2021,"wetland",59.840474459563,81.4316907124214,0.814316907124214,-0.0116395487858532,4,3,46.52
"Region_5",2021,"wetland",256.418346741686,84.5106130599927,0.845106130599927,-0.00206897440484111,4,3,46.52
"Region_6",2021,"wetland",598.79003585171,79.62862948149,0.7962862948149,-0.00698314153737112,4,3,46.52
"Region_7",2021,"wetland",884.155554494822,77.6381485253778,0.776381485253778,-0.00701662205521525,4,3,46.52
"Region_8",2021,"wetland",828.058298506759,46.8738724897256,0.468738724897256,-0.0183075129400607,4,3,46.52
"Region_9",2021,"wetland",157.985833660423,28.3781224030689,0.283781224030689,-0.0000508119807548502,4,3,46.52
"Region_1",2025,"seagrass",0.196246565330077,54,0.54,NA,1,2.33,NA
"Region_2",2025,"seagrass",0.392493130660731,54,0.54,NA,1,2.33,NA
"Region_3",2025,"seagrass",1.18862435174402,54,0.54,NA,1,2.33,NA
"Region_4",2025,"seagrass",0.98123282665191,30.63,0.3063,NA,1,2.33,NA
"Region_5",2025,"seagrass",0.196246565329909,54,0.54,NA,1,2.33,NA
"Region_6",2025,"seagrass",72.9603001454254,100,1,NA,1,2.33,NA
"Region_7",2025,"seagrass",2.35495878395976,54,0.54,NA,1,2.33,NA
"Region_8",2025,"seagrass",6.01810785447822,54,0.54,NA,1,2.33,NA
"Region_1",2025,"coral_reef",0,NA,NA,NA,2,NA,NA
"Region_2",2025,"coral_reef",0,NA,NA,NA,2,NA,NA
"Region_3",2025,"coral_reef",0,NA,NA,NA,2,NA,NA
"Region_4",2025,"coral_reef",6.02691924182783,49,0.49,NA,2,NA,NA
"Region_5",2025,"coral_reef",0,NA,NA,NA,2,NA,NA
"Region_6",2025,"coral_reef",0,NA,NA,NA,2,NA,NA
"Region_7",2025,"coral_reef",0,NA,NA,NA,2,NA,NA
"Region_8",2025,"coral_reef",0,NA,NA,NA,2,NA,NA
"Region_9",2025,"coral_reef",0.543080758172168,54,0.54,NA,2,NA,NA
