data,code,category1,category2,description
occupation,1111,,,High-level government and judicial authorities
occupation,1112,,,Legislators
occupation,1113,,,Municipal presidents and local authorities
occupation,1121,,,Presidents and general managers in public institutions
occupation,1122,,,Presidents and general managers in private institutions and companies
occupation,1129,,,"Other presidents and general managers, not previously classified"
occupation,1131,,,Directors of political organizations
occupation,1132,,,Directors of labor unions
occupation,1133,,,Directors of business organizations
occupation,1134,,,Directors of agricultural organizations
occupation,1135,,,Directors of civil and religious organizations
occupation,1211,,,"Directors and managers in administration, human resources, and marketing"
occupation,1212,,,"Directors and managers in accounting, financial services, banking, and insurance"
occupation,1221,,,"Directors and managers in health services, civil protection, and environmental services"
occupation,1222,,,Directors and managers in social and economic development
occupation,1223,,,Directors and managers in educational and training centers
occupation,1224,,,"Judges, directors, and managers in legal services and justice administration"
occupation,1225,,,"Commanders of the Navy, Army, and Air Force"
occupation,1226,,,Directors in security and surveillance services
occupation,1311,,,"Directors and managers in agricultural, forestry, and fishing production"
occupation,1312,,,"Directors and managers in mining, oil, and gas production"
occupation,1313,,,Directors and managers in electricity generation and water supply
occupation,1314,,,Directors and managers in manufacturing
occupation,1315,,,"Directors and managers in construction, machinery repair, industrial equipment, telecommunications, and transportation"
occupation,1319,,,"Other directors and managers in agricultural, industrial, construction, and maintenance production, not previously classified"
occupation,1321,,,Directors and managers in information technology
occupation,1322,,,Directors and managers in communication and telecommunications
occupation,1323,,,Directors and managers in transportation services
occupation,1324,,,Directors and managers in research and technological development centers
occupation,1329,,,"Other directors and managers in IT, telecommunications, transportation, and R&D, not previously classified"
occupation,1411,,,"Directors and managers in sales, marketing, and rentals"
occupation,1412,food/accomodations,tourism,Directors and managers in restaurants and hotels
occupation,1421,,,"Artistic directors and producers in film, theater, and related fields"
occupation,1422,entertainment,tourism,"Directors and managers in museums, theaters, and other cultural and sports establishments"
occupation,1423,,,Directors and managers in funeral services and other personal services
occupation,1511,,,"Coordinators and department heads in administration, human resources, and marketing"
occupation,1512,,,"Coordinators and department heads in accounting, financial services, banking, and insurance"
occupation,1521,,,"Coordinators and department heads in health services, civil protection, and environmental services"
occupation,1522,,,Coordinators and department heads in social and economic development
occupation,1523,,,Coordinators and department heads in educational and training centers
occupation,1524,,,"Coordinators and department heads in legal services, judges, and prosecutors"
occupation,1525,,,"Captains, lieutenant colonels, and area heads in the Navy, Army, and Air Force"
occupation,1526,,,Coordinators and department heads in security and surveillance services
occupation,1611,,,"Coordinators and department heads in agricultural, forestry, and fishing production"
occupation,1612,,,"Coordinators and department heads in mining, oil, and gas production"
occupation,1613,,,Coordinators and department heads in electricity generation and water supply
occupation,1614,,,Coordinators and department heads in manufacturing
occupation,1615,,,"Coordinators and department heads in construction, machinery repair, industrial equipment, telecommunications, and transportation"
occupation,1619,,,"Other coordinators and department heads in agricultural, industrial, construction, and maintenance production, not previously classified"
occupation,1621,,,Coordinators and department heads in information technology
occupation,1622,,,Coordinators and department heads in communication and telecommunications
occupation,1623,,,Coordinators and department heads in transportation services
occupation,1624,,,Coordinators and department heads in research and technological development centers
occupation,1629,,,"Other coordinators and department heads in IT, telecommunications, transportation, and R&D, not previously classified"
occupation,1711,,,"Coordinators and department heads in sales, marketing, and rentals"
occupation,1712,food/accomodations,tourism,Coordinators and department heads in restaurants and hotels
occupation,1721,entertainment,tourism,"Coordinators and area chiefs in artistic activities, film, theater, and related fields"
occupation,1722,entertainment,tourism,"Coordinators and area chiefs in museums, cinemas, sports, and cultural services"
occupation,1723,,,Coordinators and area chiefs in funeral services and other services
