occ_ind,occ_ind_id,count
"Taco makers, fast food preparers, and snack vendors --- Food and beverage preparation services",5114---7221,546
"Bus, truck, van, taxi, and passenger vehicle drivers --- Passenger ground transportation, except rail",8342---4850,505
Waiters --- Food and beverage preparation services,5116---7221,413
Street food vendors and small-scale food merchants --- Food and beverage preparation services,5112---7221,294
Food preparation assistants --- Food and beverage preparation services,9411---7221,267
Cooks --- Food and beverage preparation services,5111---7221,253
Street food vendors and preparers --- Food and beverage preparation services by workers in mobile units,9521---7222,192
Fishermen and fishing workers --- Fishing,6211---1141,161
"Street food vendors and preparers --- Street vending of groceries, food, beverages, and tobacco",9521---4612,146
"Support workers in the food, beverage, and tobacco industries --- Food manufacturing",9236---3110,145
"Workers in the production of bread, tortillas, pastries, and other cereal and flour products --- Food and beverage preparation services",7513---7221,107
"Cashiers, ticket sellers, betting clerks, and similar workers --- Food and beverage preparation services",3121---7221,104
Musicians --- Performing arts and cultural groups,2172---7111,95
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Food and beverage preparation services",5101---7221,85
Housekeepers and room attendants --- Temporary accommodation services,9622---7210,78
Directors and managers in restaurants and hotels --- Food and beverage preparation services,1412---7221,71
Receptionists and information clerks (in-person) --- Temporary accommodation services,3211---7210,58
Busboys and cleaning staff in hotels and restaurants --- Temporary accommodation services,9623---7210,57
Busboys and cleaning staff in hotels and restaurants --- Food and beverage preparation services,9623---7221,54
Motorcycle drivers --- Food and beverage preparation services,8344---7221,50
Bartenders --- Food and beverage preparation services,5115---7221,42
Waiters --- Temporary accommodation services,5116---7210,42
Cooks --- Temporary accommodation services,5111---7210,38
"Sales clerks, dispatchers, and sales associates in stores --- Food and beverage preparation services",4211---7221,35
Directors and managers in restaurants and hotels --- Temporary accommodation services,1412---7210,31
Aviation pilots --- Agriculture,8311---1110,31
Physical education and sports instructors --- Entertainment services at recreational facilities and other recreational services,2716---7131,30
Guards and security personnel in establishments --- Temporary accommodation services,5313---7210,25
"Waiters --- Business support services, employment services, and secretarial support",5116---5611,24
Aquaculture workers --- Aquaculture,6212---1122,23
Customs brokers --- Transportation support services,2513---4881,20
"Mobile machinery operators for moving goods in factories, ports, commerce, etc. --- Transportation support services",8352---4881,20
Food preparation assistants --- Food and beverage preparation services by workers in mobile units,9411---7222,19
"Cashiers, ticket sellers, betting clerks, and similar workers --- Entertainment services at recreational facilities and other recreational services",3121---7131,19
Bartenders --- Temporary accommodation services,5115---7210,16
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Temporary accommodation services",9601---7210,15
Sweepers and cleaning workers (except in hotels and restaurants) --- Entertainment services at recreational facilities and other recreational services,9621---7131,15
"Cashiers, ticket sellers, betting clerks, and similar workers --- Passenger ground transportation, except rail",3121---4850,14
Guards and security personnel in establishments --- Food and beverage preparation services,5313---7221,14
Sweepers and cleaning workers (except in hotels and restaurants) --- Temporary accommodation services,9621---7210,14
