occ_ind,tourism,marine,category1,category2,category3,occ_ind_id,count
Cooks --- Aquaculture,x,x,aquaculture,processing,food-provisioning,5111---1122,1
Aquaculture workers --- Food manufacturing,x,x,aquaculture,processing,food-provisioning,6212---3110,1
"Operators of machines for food, oil, fat, salt, and spice production --- Aquaculture",x,x,aquaculture,processing,food-provisioning,8161---1122,1
Aquaculture workers --- Food and beverage preparation services,x,x,aquaculture,processing,food-provisioning,6212---7221,1
"Biologists, marine scientists, and oceanographers --- Aquaculture",x,x,aquaculture,research,food-provisioning,2221---1122,2
Software and multimedia developers and analysts --- Aquaculture,x,x,aquaculture,research,food-provisioning,2271---1122,1
"Assistants and technicians in veterinary science, fisheries, and forestry --- Aquaculture",x,x,aquaculture,research,food-provisioning,2614---1122,3
"Support workers in the food, beverage, and tobacco industries --- Aquaculture",x,x,aquaculture,support,food-provisioning,9236---1122,1
"Directors and managers in accounting, financial services, banking, and insurance --- Aquaculture",x,x,aquaculture,support,food-provisioning,1212---1122,1
Accountants and auditors --- Aquaculture,x,x,aquaculture,support,food-provisioning,2121---1122,1
"Supervisors, foremen, and managers in agricultural activities --- Aquaculture",x,x,aquaculture,worker,food-provisioning,6101---1122,2
"Directors and managers in agricultural, forestry, and fishing production --- Aquaculture",x,x,aquaculture,worker,food-provisioning,1311---1122,2
Guards and security personnel in establishments --- Aquaculture,x,x,aquaculture,worker,food-provisioning,5313---1122,4
Sweepers and cleaning workers (except in hotels and restaurants) --- Aquaculture,x,x,aquaculture,worker,food-provisioning,9621---1122,1
Workers who combine agricultural and livestock activities --- Aquaculture,x,x,aquaculture,worker,food-provisioning,6131---1122,1
Aquaculture workers --- Aquaculture,x,x,aquaculture,worker,food-provisioning,6212---1122,23
Fishermen and fishing workers --- Aquaculture,x,x,aquaculture,worker,food-provisioning,6211---1122,3
"Supervisors, foremen, and managers in fishing, aquaculture, forestry, hunting, and related activities --- Aquaculture",x,x,aquaculture,worker,food-provisioning,6201---1122,1
"Workers in the processing of meat, fish, and related products --- Aquaculture",x,x,aquaculture-fisheries,processing,food-provisioning,7511---1122,4
Workers in processing fish and aquaculture products --- Food manufacturing,x,x,aquaculture-fisheries,processing,food-provisioning,6213---3110,2
"Workers in processing fish and aquaculture products --- Street vending of groceries, food, beverages, and tobacco",x,x,aquaculture-fisheries,processing,food-provisioning,6213---4612,1
"Plumbers, pipefitters, and pipeline installers --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,construction,tourism,7134---7131,1
Maintenance and repair mechanics for machinery and industrial instruments --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,maintenance,tourism,2634---7131,3
Sweepers and cleaning workers (except in hotels and restaurants) --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,maintenance,tourism,9621---7131,15
Gardeners in establishments --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,maintenance,tourism,5241---7131,2
"Gardeners in establishments --- Museums, historical sites, zoos, and similar establishments",x,,culture-entertainment,maintenance,tourism,5241---7120,1
