RNP ACTIVO,NOMBRE ACTIVO,CLAVE SITIO DESEMBARQUE,NOMBRE SITIO DESEMBARQUE,RNPA UNIDAD ECONOMICA,UNIDAD ECONOMICA,NOMBRE ESTADO,CLAVE OFICINA,NOMBRE OFICINA,TIPO AVISO,FOLIO AVISO,FECHA AVISO,ORIGEN PESCA,CLAVE LUGARCAPTURA,NOMBRE LUGARCAPTURA,NUMERO EMBARCACIONES,MES CORTE,A—O CORTE,PERIODO INICIO,PERIODO FIN,DURACION,DIAS EFECTIVOS,TIPO ZONA,PRODUCCION ACUACULTURAL,NUMERO PERMISO,FECHA EXPEDICION,FECHA VIGENCIA,NOMBRE PRINCIPAL,CLAVE ESPECIE,NOMBRE ESPECIE,PESO DESEMBARCADO_KILOGRAMOS,PESO VIVO_KILOGRAMOS,PRECIO_PESOS,VALOR_PESOS,LITORAL
26119925,GRANJA DE PERLAS DEL MAR DE CORTES,,,2604614574,"GRANJA DE PERLAS DEL MAR DE CORTES, S.A. DE C.V.",SONORA,2604,GUAYMAS,COSECHA,CE2025000642,1/14/25,ACUACULTURA,,,0,ENERO,2025,NA,NA,NA,NA,,,CA/DGOPA-011/2017,1/18/21,1/18/21,OTRAS,1731033H,CONCHA NACAR CALLO FRESCO,7,140,350,2450,PACIFICO
26119925,GRANJA DE PERLAS DEL MAR DE CORTES,,,2604614574,"GRANJA DE PERLAS DEL MAR DE CORTES, S.A. DE C.V.",SONORA,2604,GUAYMAS,COSECHA,CE2025000642,1/14/25,ACUACULTURA,,,0,ENERO,2025,NA,NA,NA,NA,,,CA/DGOPA-011/2017,1/18/21,1/18/21,OTRAS,1731033T,CONCHA NACAR MEDIAS PERLAS CULTIVADAS,1,0,140000,140000,PACIFICO
26119925,GRANJA DE PERLAS DEL MAR DE CORTES,,,2604614574,"GRANJA DE PERLAS DEL MAR DE CORTES, S.A. DE C.V.",SONORA,2604,GUAYMAS,COSECHA,CE2025000642,1/14/25,ACUACULTURA,,,0,ENERO,2025,NA,NA,NA,NA,,,CA/DGOPA-011/2017,1/18/21,1/18/21,OTRAS,1739937T,CONCHA NACAR PERLAS CULTIVADAS,1,0,673200,673200,PACIFICO
26119925,GRANJA DE PERLAS DEL MAR DE CORTES,,,2604614574,"GRANJA DE PERLAS DEL MAR DE CORTES, S.A. DE C.V.",SONORA,2604,GUAYMAS,COSECHA,CE2025000642,1/14/25,ACUACULTURA,,,0,ENERO,2025,NA,NA,NA,NA,,,CA/DGOPA-011/2017,1/18/21,1/18/21,OTRAS,1730530S,CONCHA NACAR SECA,90,0,600,54000,PACIFICO
,,207000,SAN FELIPE,207001777,LA PAMITA SPR DE RL,BAJA CALIFORNIA,206,MEXICALI,MENORES,BE2025023305,2/20/25,CAPTURA,207116,PUNTA ESTRELLA,6,FEBRERO,2025,2/17/25,2/19/25,3,3,LITORAL,NO,1.02E+11,12/8/21,12/8/26,CORVINA,2862928H,BUCHE DE CORVINA GOLFINA,16,0,150,2400,PACIFICO
,,207000,SAN FELIPE,207001777,LA PAMITA SPR DE RL,BAJA CALIFORNIA,206,MEXICALI,MENORES,BE2025023580,2/20/25,CAPTURA,207116,PUNTA ESTRELLA,2,FEBRERO,2025,2/17/25,2/18/25,2,2,LITORAL,NO,1.02E+11,12/8/21,12/8/26,CORVINA,2862928H,BUCHE DE CORVINA GOLFINA,20,0,200,4000,PACIFICO
,,207000,SAN FELIPE,207001777,LA PAMITA SPR DE RL,BAJA CALIFORNIA,206,MEXICALI,MENORES,BE2025023582,2/20/25,CAPTURA,207116,PUNTA ESTRELLA,2,FEBRERO,2025,2/17/25,2/18/25,2,2,LITORAL,NO,1.02E+11,12/8/21,12/8/26,CORVINA,2862928H,BUCHE DE CORVINA GOLFINA,20,0,200,4000,PACIFICO
,,207000,SAN FELIPE,207002098,SCPP ISLAS DEL GOLFO SC DE RL DE CV,BAJA CALIFORNIA,207,SAN FELIPE,MENORES,BE2025023853,2/21/25,CAPTURA,207110,COLORADITO,4,FEBRERO,2025,2/18/25,2/20/25,3,3,LITORAL,NO,1.02E+11,2/17/21,2/17/26,CORVINA,2862928H,BUCHE DE CORVINA GOLFINA,168,0,100,16800,PACIFICO
,,207000,SAN FELIPE,203011606,JUANITA  ROBLES SANCHEZ,BAJA CALIFORNIA,207,SAN FELIPE,MENORES,BE2025023864,2/21/25,CAPTURA,207110,COLORADITO,1,FEBRERO,2025,2/20/25,2/20/25,1,1,LITORAL,NO,10206399112,3/2/21,3/2/26,CORVINA,2862928H,BUCHE DE CORVINA GOLFINA,8,0,100,800,PACIFICO
,,207000,SAN FELIPE,207001892,SCPP ANGELES DEL MAR SCL RL,BAJA CALIFORNIA,207,SAN FELIPE,MENORES,BE2025023970,2/21/25,CAPTURA,207110,COLORADITO,1,FEBRERO,2025,2/20/25,2/20/25,1,1,LITORAL,NO,1.02E+11,3/16/21,3/16/26,CORVINA,2862928H,BUCHE DE CORVINA GOLFINA,12,0,100,1200,PACIFICO
