Index,main_species_group,recorded_species_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,recorded_species_name_clean,recorded_scientific_name,recorded_scientific_name_clean,common_name_english_estimated,species_estimated,genus_estimated,family_estimated,source_of_estimate,classification_certainty
1,ALMEJA,ALMEJA CATARINA (ARGOPECTEN VENTRICOSUS),NA,NA,NA,NA,NA,ALMEJA CATARINA (ARGOPECTEN VENTRICOSUS),ARGOPECTEN VENTRICOSUS,Argopecten ventricosus,Pacific calico scallop,Argopecten ventricosus,Argopecten,Pectinidae,taxize,high
2,ALMEJA,ALMEJA BLANCA (CHIONE FLUCTIFRAGA) ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA BLANCA (CHIONE FLUCTIFRAGA),CHIONE FLUCTIFRAGA,Chionista fluctifraga,White clam,Chione fluctifraga,Chione,Veneridae,taxize,high
3,ALMEJA,ALMEJA BLANCA (CHIONE FLUCTIFRAGA) S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA BLANCA (CHIONE FLUCTIFRAGA) C.,CHIONE FLUCTIFRAGA,Chionista fluctifraga,White clam,Chione fluctifraga,Chione,Veneridae,taxize,high
4,ALMEJA,ALMEJA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA,NA,NA,clam (unspecified),NA,NA,NA,"clam; cannot specify species, genus, or family",high
5,ALMEJA,ALMEJA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA,NA,NA,clam (unspecified),NA,NA,NA,"clam; cannot specify species, genus, or family",high
6,ALMEJA,ALMEJA DE CULTIVO ENT. FCA.,DE CULTIVO,ENT.,FCA.,NA,NA,ALMEJA,NA,NA,clam (unspecified),NA,NA,NA,"clam; cannot specify species, genus, or family",high
7,ALMEJA,ALMEJA,NA,NA,NA,NA,NA,ALMEJA,NA,NA,clam (unspecified),NA,NA,NA,"clam; cannot specify species, genus, or family",high
8,ALMEJA,ALMEJA ARENERA,NA,NA,NA,NA,NA,ALMEJA ARENERA,NA,NA,Sandy clam,Chione cortezi,Chione,Veneridae,CESAIBC (https://www.cesaibc.org/sitio/archivos/4.%20FICHA%20TEC.%20SANITARIA%20DE%20%20C.%20CORTEZI_070616203703.pdf),high
9,ALMEJA,ALMEJA ARENERA ENT FCA,ENT,FCA,NA,NA,NA,ALMEJA ARENERA,NA,NA,Sandy clam,Chione cortezi,Chione,Veneridae,CESAIBC (https://www.cesaibc.org/sitio/archivos/4.%20FICHA%20TEC.%20SANITARIA%20DE%20%20C.%20CORTEZI_070616203703.pdf),high
10,ALMEJA,ALMEJA BLANCA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA BLANCA,NA,NA,White clam,Chione fluctifraga,Chione,Veneridae,"logical match to ""ALMEJA BLANCA (CHIONE FLUCTIFRAGA)""",high
11,ALMEJA,ALMEJA BLANCA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA BLANCA,NA,NA,White clam,Chione fluctifraga,Chione,Veneridae,"logical match to ""ALMEJA BLANCA (CHIONE FLUCTIFRAGA)""",high
12,ALMEJA,ALMEJA BLANCA DE CULTIVO ENT. FCA.,DE CULTIVO,ENT.,FCA.,NA,NA,ALMEJA BLANCA,NA,NA,White clam,Chione fluctifraga,Chione,Veneridae,"logical match to ""ALMEJA BLANCA (CHIONE FLUCTIFRAGA)""",high
13,ALMEJA,ALMEJA PATA DE MULA DE CULTIVO ENT FCA,DE CULTIVO,ENT,FCA,NA,NA,ALMEJA PATA DE MULA,NA,NA,mule's foot clam,Anadara tuberculosa,Anadara,Arcidae,logical conclusion based on research; dataMares; ask Rick!,medium
14,ALMEJA,ALMEJA PATA DE MULA,NA,NA,NA,NA,NA,ALMEJA PATA DE MULA,NA,NA,mule's foot clam,Anadara tuberculosa,Anadara,Arcidae,logical conclusion based on research; dataMares; ask Rick!,medium
15,ALMEJA,ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA,NA,NA,clam (unspecified),NA,NA,NA,"clam; cannot specify species, genus, or family",high
16,ALMEJA,ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA C.,NA,NA,clam (unspecified),NA,NA,NA,"clam; cannot specify species, genus, or family",high
17,ALMEJA,ALMEJA BLANCA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA BLANCA C.,NA,NA,White clam,Chione fluctifraga,Chione,Veneridae,"logical match to ""ALMEJA BLANCA (CHIONE FLUCTIFRAGA)""",high
18,ALMEJA,ALMEJA BURRA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA BURRA,NA,NA,Donkey spine clam,Spondylus calcifer,Spondylus,Spondylidae,logical conclusion based on research; dataMares,high
19,ALMEJA,ALMEJA BURRA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA BURRA,NA,NA,Donkey spine clam,Spondylus calcifer,Spondylus,Spondylidae,logical conclusion based on research; dataMares,high
20,ALMEJA,ALMEJA BURRA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA BURRA C.,NA,NA,Donkey spine clam,Spondylus calcifer,Spondylus,Spondylidae,logical conclusion based on research; dataMares,high
21,ALMEJA,ALMEJA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA C.,NA,NA,clam (unspecified),NA,NA,NA,"clam; cannot specify species, genus, or family",high
22,ALMEJA,ALMEJA CALLO DE ARBOL ENT FCA,ENT,FCA,NA,NA,NA,ALMEJA CALLO DE ARBOL,NA,NA,Tree-trunk clam,NA,Panopea,Hiatellidae,some research suggests this; logical conclusion based on translation; seeking additional input,low
23,ALMEJA,ALMEJA CALLO DE ARBOL,NA,NA,NA,NA,NA,ALMEJA CALLO DE ARBOL,NA,NA,Tree-trunk clam,NA,Panopea,Hiatellidae,some research suggests this; logical conclusion based on translation; seeking additional input,low
24,ALMEJA,ALMEJA CATARINA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA CATARINA,NA,NA,Pacific calico scallop,Argopecten circularis,Argopecten,Pectinidae,logical conclusion based on research; dataMares; Argopecten circularis possible synonym for Argopecten ventricosus,high
25,ALMEJA,ALMEJA CATARINA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA CATARINA,NA,NA,Pacific calico scallop,Argopecten circularis,Argopecten,Pectinidae,logical conclusion based on research; dataMares; Argopecten circularis possible synonym for Argopecten ventricosus,high
26,ALMEJA,ALMEJA CATARINA DE CULTIVO ENT FCA,DE CULTIVO,ENT,FCA,NA,NA,ALMEJA CATARINA,NA,NA,Pacific calico scallop,Argopecten circularis,Argopecten,Pectinidae,logical conclusion based on research; dataMares; Argopecten circularis possible synonym for Argopecten ventricosus,high
27,ALMEJA,ALMEJA CATARINA,NA,NA,NA,NA,NA,ALMEJA CATARINA,NA,NA,Pacific calico scallop,Argopecten circularis,Argopecten,Pectinidae,logical conclusion based on research; dataMares; Argopecten circularis possible synonym for Argopecten ventricosus,high
28,ALMEJA,ALMEJA PURPURA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA PURPURA,NA,NA,clam (unspecified),NA,,,cannot draw a clear conclusion from research online or dataMares,low
29,ALMEJA,ALMEJA CATARINA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA CATARINA C.,NA,NA,Pacific calico scallop,Argopecten circularis,Argopecten,Pectinidae,logical conclusion based on research; dataMares,high
30,ALMEJA,ALMEJA CHOCOLATA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA CHOCOLATA,NA,NA,Chocolate clam,NA,Megapitaria,Veneridae,ask Rick!!,low
31,ALMEJA,ALMEJA CHOCOLATA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA CHOCOLATA,NA,NA,Chocolate clam,NA,Megapitaria,Veneridae,ask Rick!!,low
32,ALMEJA,ALMEJA CHOCOLATA DE CULTIVO ENT FCA,DE CULTIVO,ENT,FCA,NA,NA,ALMEJA CHOCOLATA,NA,NA,Chocolate clam,NA,Megapitaria,Veneridae,ask Rick!!,low
33,ALMEJA,ALMEJA CHOCOLATA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA CHOCOLATA C.,NA,NA,Chocolate clam,NA,Megapitaria,Veneridae,ask Rick!!,low
34,ALMEJA,ALMEJA CHOCOLATA CAFE ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA CHOCOLATA CAFE,NA,NA,Chocolate clam (brown),NA,Megapitaria,Veneridae,ask Rick!!,low
35,ALMEJA,ALMEJA CHOCOLATA CAFE CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA CHOCOLATA CAFE,NA,NA,Chocolate clam (brown),NA,Megapitaria,Veneridae,ask Rick!!,low
36,ALMEJA,ALMEJA CHOCOLATA CAFE DE CULTIVO ENT FCA,DE CULTIVO,ENT,FCA,NA,NA,ALMEJA CHOCOLATA CAFE,NA,NA,Chocolate clam (brown),NA,Megapitaria,Veneridae,ask Rick!!,low
37,ALMEJA,ALMEJA CHOCOLATA CAFE S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA CHOCOLATA CAFE C.,NA,NA,Chocolate clam (brown),NA,Megapitaria,Veneridae,ask Rick!!,low
38,ALMEJA,ALMEJA CHOCOLATA ROJA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA CHOCOLATA ROJA,NA,NA,Chocolate clam (red),NA,Megapitaria,Veneridae,ask Rick!!,low
39,ALMEJA,ALMEJA DE AGUA DULCE ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA DE AGUA DULCE,NA,NA,freshwater clam,NA,NA,NA,not enough information to classify,high
40,ALMEJA,ALMEJA CONCHA ESPINA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA CONCHA ESPINA,NA,NA,Spiny shell oyster,Spondylus calcifer,Spondylus,Spondylidae,"logical conclusion based on research; dataMares; NOTE: this is one common name where the filtration code fails. The correct name is ""ALMEJA CONCHA ESPINA""",high
41,ALMEJA,ALMEJA GENEROSA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA GENEROSA,NA,NA,Pacific geoduck clam,Panopea generosa,Panopea,Hiatellidae,logical conclusion based on research; dataMares,high
42,ALMEJA,ALMEJA GENEROSA DE CULTIVO ENT. FCA.,DE CULTIVO,ENT.,FCA.,NA,NA,ALMEJA GENEROSA,NA,NA,Pacific geoduck clam,Panopea generosa,Panopea,Hiatellidae,logical conclusion based on research; dataMares,high
43,ALMEJA,ALMEJA GENEROSA,NA,NA,NA,NA,NA,ALMEJA GENEROSA,NA,NA,Pacific geoduck clam,Panopea generosa,Panopea,Hiatellidae,logical conclusion based on research; dataMares,high
44,ALMEJA,ALMEJA GENEROSA VIVA,NA,NA,NA,NA,NA,ALMEJA GENEROSA VIVA,NA,NA,Pacific geoduck clam,Panopea generosa,Panopea,Hiatellidae,logical conclusion based on research; dataMares,high
45,ALMEJA,ALMEJA GLOBOSA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA GLOBOSA,NA,NA,Cortez geoduck clam,Panopea globosa,Panopea,Hiatellidae,logical conclusion based on research; dataMares,high
46,ALMEJA,ALMEJA GLOBOSA VIVA,NA,NA,NA,NA,NA,ALMEJA GLOBOSA VIVA,NA,NA,Cortez geoduck clam,Panopea globosa,Panopea,Hiatellidae,logical conclusion based on research; dataMares,high
47,ALMEJA,ALMEJA MANO DE LEON ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA MANO DE LEON,NA,NA,Lion's paw scallop,Nodipecten subnodosus,Nodipecten,Pectinidae,logical conclusion based on research; dataMares,high
48,ALMEJA,ALMEJA MANO DE LEON S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA MANO DE LEON C.,NA,NA,Lion's paw scallop,Nodipecten subnodosus,Nodipecten,Pectinidae,logical conclusion based on research; dataMares,high
49,ALMEJA,ALMEJA MANO DE LEON DE CULTIVO S.C. FCA.,DE CULTIVO,S.,FCA.,NA,NA,ALMEJA MANO DE LEON C.,NA,NA,Lion's paw scallop,Nodipecten subnodosus,Nodipecten,Pectinidae,logical conclusion based on research; dataMares,high
50,ALMEJA,ALMEJA PARDA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA PARDA,NA,NA,Brown clam?,Dosinia ponderosa,Dosinia,Veneridae,dataMares; ask Rick!!,low
51,ALMEJA,ALMEJA PATA DE MULA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA PATA DE MULA,NA,NA,mule's foot clam,Anadara tuberculosa,Anadara,Arcidae,logical conclusion based on research; dataMares; ask Rick!,medium
52,ALMEJA,ALMEJA PATA DE MULA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA PATA DE MULA,NA,NA,mule's foot clam,Anadara tuberculosa,Anadara,Arcidae,logical conclusion based on research; dataMares; ask Rick!,medium
53,ALMEJA,ALMEJA VOLADORA CONCHA DE SECA,CONCHA DE,SECA,NA,NA,NA,ALMEJA VOLADORA,NA,NA,Flying clam,Argopecten vogdesi,Argopecten,Pectinidae,logical conclusion based on some research but differs from dataMares; dataMares says just Pecten sp.; ask Rick!!,medium
54,ALMEJA,ALMEJA VOLADORA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA VOLADORA C.,NA,NA,Flying clam,Argopecten vogdesi,Argopecten,Pectinidae,logical conclusion based on some research but differs from dataMares; dataMares says just Pecten sp.; ask Rick!!,medium
55,ALMEJA,ALMEJA PATA DE MULA ENT. FCA,ENT.,FCA,NA,NA,NA,ALMEJA PATA DE MULA,NA,NA,mule's foot clam,Anadara tuberculosa,Anadara,Arcidae,logical conclusion based on research; dataMares; ask Rick!,medium
56,ALMEJA,ALMEJA PATA DE MULA CONCHA,CONCHA,NA,NA,NA,NA,ALMEJA PATA DE MULA,NA,NA,mule's foot clam,Anadara tuberculosa,Anadara,Arcidae,logical conclusion based on research; dataMares; ask Rick!,medium
57,ALMEJA,ALMEJA PATA DE MULA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA PATA DE MULA C.,NA,NA,mule's foot clam,Anadara tuberculosa,Anadara,Arcidae,logical conclusion based on research; dataMares; ask Rick!,medium
58,ALMEJA,ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL,NA,NA,mule's foot clam,Anadara tuberculosa,Anadara,Arcidae,logical conclusion based on research; dataMares; ask Rick!,medium
