"year","month","state","office_name_clean","landing_site_clean","recorded_taxa_name","recorded_taxa_name_clean","recorded_scientific_name","keywords_1","keywords_2","keywords_3","keywords_4","keywords_5","estimated_species_name","estimated_genus_name","estimated_family_name","recorded_taxa_group","estimated_taxa_group","Major_Functional_Group","landed_weight","live_weight","weight_kg_corrected","value","reported_aquaculture_production","est_aquaculture_production","est_aquaculture_certainty","sector_estimate_reported","sector_estimate_draft","GOC_est","GOC_Include_Exclude","OHI_region_est","OHI_region_name"
2020,10,"SINALOA","LA REFORMA","LA REFORMA","CAMARON AZUL DESC. FCO.","CAMARON AZUL",NA,"DESC","FCO",NA,NA,NA,"penaeus stylirostris","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",1547,2475.2,2475.2,154700,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,5,"BAJA CALIFORNIA SUR","SANTA ROSALIA","MULEGE","LENGUADO ENT. FCO.","LENGUADO",NA,"ENT","FCO",NA,NA,NA,"nei","nei","Paralichthyidae","LENGUADO","LENGUADO","Demersal marine fishes",50,50,50,2500,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_3","Baja_California_Sur_North"
2020,11,"SONORA","GUAYMAS","GUAYMAS","CAMARON CAFE DESC. FCO.","CAMARON CAFE",NA,"DESC","FCO",NA,NA,NA,"penaeus californiensis","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",3016,4825.6,4825.6,452400,NA,"possibly aquaculture","low; no data from original report but flags suggest possibly aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,7,"SINALOA","LOS MOCHIS","EL JITZAMURI","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",4600,4600,4600,115000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,11,"SINALOA","ESCUINAPA","PUNTA GRANO","LISETA DESV. FCA.","LISETA",NA,"DESV","FCA",NA,NA,NA,"mugil curema","mugil","Mugilidae","LISA","LISA","Demersal marine fishes",100,110,110,3000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,10,"SINALOA","GUASAVE",NA,"CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","Litopenaeus Vannamei","DE CULTIVO","ENT","FCO",NA,NA,"litopenaeus vannamei","litopenaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",9000,9000,9000,630000,NA,"likely aquaculture","medium; no data from original report but flags suggest most likely aquaculture","sector details were not reported","marine: aquaculture","yes","include","region_8","Sinaloan_Coast"
2020,5,"BAJA CALIFORNIA","EL ROSARIO","BAHIA LOS ANGELES","CABAICUCHO DESV. FCO.","CABAICUCHO",NA,"DESV","FCO",NA,NA,NA,"diplectrum pacificum","diplectrum","Serranidae","OTRAS","OTRAS","Demersal marine fishes",16,17.6,17.6,560,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_2","Western_Midriff_Islands"
2020,12,"SINALOA","MAZATLAN","MAZATLAN","CHABELITA ENT. FCA.","CHABELITA",NA,"ENT","FCA",NA,NA,NA,"selene peruviana","selene","Carangidae","OTRAS","OTRAS","Pelagic marine fish (excl. anchovy & sardine)",1394,1394,1394,27880,NA,"unlikely aquaculture","medium; no data from original report and flags do not suggest aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,3,"NAYARIT","SAN BLAS","ESTERO EL POZO","CHIHUIL DESV. FCO.","CHIHUIL",NA,"DESV","FCO",NA,NA,NA,"nei","nei","Ariidae","BANDERA","BANDERA","Demersal marine fishes",96,105.6,105.6,1248,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,11,"NAYARIT","TECUALA","CALIXTRA, LA","CAMARON CAFE ENT. FCO.","CAMARON CAFE",NA,"ENT","FCO",NA,NA,NA,"penaeus californiensis","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",480,480,480,14400,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
