main_species_group,recorded_species_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,recorded_species_name_clean
BONITO,BONITO P/CARNADA,CARNADA,NA,NA,NA,NA,BONITO P/
CORVINA,BUCHE DE CORVINA GOLFINA,BUCHE,NA,NA,NA,NA,DE CORVINA GOLFINA
CORVINA,BUCHE DE CORVINA RAYADA FCO,BUCHE,FCO,NA,NA,NA,DE CORVINA RAYADA
ESTRELLA DE MAR,ESTRELLA LIMPIADORA,NA,NA,NA,NA,NA,ESTRELLA LIMPIADORA
JAIBA,JAIBA VERDE / GUERRERA / CAFE / JAIBON P/CARNADA,CARNADA,NA,NA,NA,NA,JAIBA VERDE / GUERRERA / CAFE / JAIBON P/
LENGUADO,BUCHE DE LENGUA,BUCHE,NA,NA,NA,NA,DE LENGUA
MACARELA,MACARELA P/CARNADA,CARNADA,NA,NA,NA,NA,MACARELA P/
OTRAS,MEDUSA BOLA DE CA—ON ENT. FCA.,ENT.,FCA.,NA,NA,NA,MEDUSA BOLA DE CA—ON
OTRAS,CONCHA NACAR SECA,CONCHA,SECA,NA,NA,NA,NACAR
OTRAS,CONCHA NACAR CALLO FRESCO,CONCHA,FRESCO,NA,NA,NA,NACAR CALLO
OTRAS,CONCHA NACAR MEDIAS PERLAS CULTIVADAS,CONCHA,NA,NA,NA,NA,NACAR MEDIAS PERLAS CULTIVADAS
OTRAS,CONCHA NACAR PERLAS CULTIVADAS,CONCHA,NA,NA,NA,NA,NACAR PERLAS CULTIVADAS
OTRAS,OJOTON P/CARNADA,CARNADA,NA,NA,NA,NA,OJOTON P/
SARDINA,SARDINA VIVITA CARNADA ENT. FCA.,CARNADA,ENT.,FCA.,NA,NA,SARDINA VIVITA
SARDINA,SARDINA VIVITA IND.,IND.,NA,NA,NA,NA,SARDINA VIVITA
ALMEJA,ALMEJA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA
ALMEJA,ALMEJA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA
ALMEJA,ALMEJA DE CULTIVO ENT. FCA.,DE CULTIVO,ENT.,FCA.,NA,NA,ALMEJA
ALMEJA,ALMEJA,NA,NA,NA,NA,NA,ALMEJA
ALMEJA,ALMEJA ARENERA,NA,NA,NA,NA,NA,ALMEJA ARENERA
ALMEJA,ALMEJA ARENERA ENT FCA,ENT,FCA,NA,NA,NA,ALMEJA ARENERA
ALMEJA,ALMEJA BLANCA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA BLANCA
ALMEJA,ALMEJA BLANCA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA BLANCA
ALMEJA,ALMEJA BLANCA DE CULTIVO ENT. FCA.,DE CULTIVO,ENT.,FCA.,NA,NA,ALMEJA BLANCA
ALMEJA,ALMEJA BLANCA (CHIONE FLUCTIFRAGA) ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA BLANCA (CHIONE FLUCTIFRAGA)
ALMEJA,ALMEJA BLANCA (CHIONE FLUCTIFRAGA) S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA BLANCA (CHIONE FLUCTIFRAGA) C.
ALMEJA,ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA
ALMEJA,ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA C.
ALMEJA,ALMEJA BLANCA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA BLANCA C.
ALMEJA,ALMEJA BURRA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA BURRA
