"OHI_region_est","year","annual_prod_kg","mean_prod_2018_2022","ratio","AQRM_SubScore_prop","AQRM_SubScore"
"region_1",2018,8796,3185.3,2.76143534360971,0,0
"region_1",2019,445,3185.3,0.139704266474115,0.139704266474115,13.9704266474115
"region_1",2020,14912,3185.3,4.6815056666562,0,0
"region_1",2021,200,3185.3,0.062788434370389,0.062788434370389,6.2788434370389
"region_1",2022,7500,3185.3,2.35456628888959,0,0
"region_2",2018,7164,2714.8,2.63886842493001,0,0
"region_2",2019,6684,2714.8,2.46205982024459,0,0
"region_2",2020,14325,2714.8,5.27663179608074,0,0
"region_2",2021,7721,2714.8,2.84404007661706,0,0
"region_2",2022,4828,2714.8,1.7783998821276,0,0
"region_3",2018,14201,2885.09090909091,4.92220191580539,0,0
"region_3",2019,5610,2885.09090909091,1.94447945550794,0,0
"region_3",2020,3075,2885.09090909091,1.06582430047895,1,100
"region_3",2021,2700,2885.09090909091,0.935845727249811,1,100
"region_3",2022,6150,2885.09090909091,2.1316486009579,0,0
"region_4",2018,26379,16985.8,1.55300309670431,0,0
"region_4",2020,9500,16985.8,0.559290701644903,0.559290701644903,55.9290701644903
"region_4",2021,49050,16985.8,2.88770620165079,0,0
"region_5",2018,439912,100983.588235294,4.35627221895695,0,0
"region_5",2019,160560,100983.588235294,1.5899613274376,0,0
"region_5",2020,269119,100983.588235294,2.66497759391305,0,0
"region_5",2021,135043,100983.588235294,1.33727670366938,0,0
"region_5",2022,712087,100983.588235294,7.05151215602302,0,0
"region_6",2018,66148,48731.347826087,1.35740140486304,0,0
"region_6",2019,352573,48731.347826087,7.23503485391512,0,0
"region_6",2020,247213,48731.347826087,5.07297686249633,0,0
"region_6",2021,220673,48731.347826087,4.52835823026157,0,0
"region_6",2022,234214,48731.347826087,4.80622864846394,0,0
"region_7",2018,684219,178455.538461538,3.83411468144188,0,0
"region_7",2019,1010381,178455.538461538,5.66180802630433,0,0
"region_7",2020,1060361,178455.538461538,5.94187778727043,0,0
"region_7",2021,1055863,178455.538461538,5.91667262951082,0,0
"region_7",2022,829020,178455.538461538,4.64552687547254,0,0
"region_8",2018,402030,66213.6896551724,6.07170514275358,0,0
"region_8",2019,356763,66213.6896551724,5.38805497560927,0,0
"region_8",2020,281418,66213.6896551724,4.25014829207628,0,0
"region_8",2021,300078,66213.6896551724,4.53196312670002,0,0
"region_8",2022,579908,66213.6896551724,8.75812846286084,0,0
"region_9",2018,148,150.5,0.983388704318937,1,100
"region_9",2019,153,150.5,1.01661129568106,1,100
NA,2018,18900,5332.75,3.54413764005438,0,0
NA,2020,1271,5332.75,0.238338568280906,0.238338568280906,23.8338568280906
NA,2022,1160,5332.75,0.217523791664713,0.217523791664713,21.7523791664713
