"OHI_region_est","year","tot_annual_prod_kg","mean_prod_2018_2022","ratio","AQRM_score_prop","AQRM_score","region_exclude_include","median_regional_prod_kg","OHI_region_name"
"region_1",2018,9506,7213.6,1.31778862149274,0.682211378507264,68.2211378507264,"exclude",1700,"Western Upper Gulf"
"region_1",2019,1700,7213.6,0.235665964289675,0.235665964289675,23.5665964289675,"exclude",1700,"Western Upper Gulf"
"region_1",2020,15062,7213.6,2.08800044360652,0,0,"exclude",1700,"Western Upper Gulf"
"region_1",2021,1700,7213.6,0.235665964289675,0.235665964289675,23.5665964289675,"exclude",1700,"Western Upper Gulf"
"region_1",2022,8100,7213.6,1.12287900632139,0.877120993678607,87.7120993678607,"exclude",1700,"Western Upper Gulf"
"region_1",2023,60,7213.6,0.00831762226904735,0.00831762226904735,0.831762226904735,"exclude",1700,"Western Upper Gulf"
"region_1",2024,910,7213.6,0.126150604413885,0.126150604413885,12.6150604413885,"exclude",1700,"Western Upper Gulf"
"region_2",2018,13937.06,14414.012,0.966910531224755,1,100,"exclude",12985,"Western Midriff Islands"
"region_2",2019,12985,14414.012,0.900859524745782,1,100,"exclude",12985,"Western Midriff Islands"
"region_2",2020,22493,14414.012,1.56049544013145,0.43950455986855,43.950455986855,"exclude",12985,"Western Midriff Islands"
"region_2",2021,13663,14414.012,0.947897087916952,1,100,"exclude",12985,"Western Midriff Islands"
"region_2",2022,8992,14414.012,0.623837415981061,0.623837415981061,62.3837415981061,"exclude",12985,"Western Midriff Islands"
"region_2",2023,8608,14414.012,0.597196672238097,0.597196672238097,59.7196672238097,"exclude",12985,"Western Midriff Islands"
"region_2",2024,8864,14414.012,0.61495716806674,0.61495716806674,61.4957168066739,"exclude",12985,"Western Midriff Islands"
"region_3",2018,14201,7617.6,1.8642354547364,0.1357645452636,13.57645452636,"exclude",7847.5,"Western Central Gulf"
"region_3",2019,6810,7617.6,0.893982356647763,0.893982356647763,89.3982356647763,"exclude",7847.5,"Western Central Gulf"
"region_3",2020,5287,7617.6,0.694050619617727,0.694050619617727,69.4050619617727,"exclude",7847.5,"Western Central Gulf"
"region_3",2021,2905,7617.6,0.381353707204369,0.381353707204369,38.1353707204369,"exclude",7847.5,"Western Central Gulf"
"region_3",2022,8885,7617.6,1.16637786179374,0.833622138206259,83.3622138206259,"exclude",7847.5,"Western Central Gulf"
"region_3",2023,10136,7617.6,1.33060281453476,0.669397185465239,66.9397185465238,"exclude",7847.5,"Western Central Gulf"
"region_3",2024,NA,NA,NA,NA,NA,"exclude",7847.5,"Western Central Gulf"
"region_4",2018,26949,18234.03,1.47795084246324,0.522049157536759,52.2049157536759,"exclude",1002,"Western Southern Gulf"
"region_4",2019,208.15,18234.03,0.0114154687691092,0.0114154687691092,1.14154687691092,"exclude",1002,"Western Southern Gulf"
"region_4",2020,10156,18234.03,0.556980546812745,0.556980546812745,55.6980546812745,"exclude",1002,"Western Southern Gulf"
"region_4",2021,52855,18234.03,2.89870094543006,0,0,"exclude",1002,"Western Southern Gulf"
"region_4",2022,1002,18234.03,0.0549521965248494,0.0549521965248494,5.49521965248494,"exclude",1002,"Western Southern Gulf"
"region_4",2023,168,18234.03,0.00921354193231008,0.00921354193231008,0.921354193231008,"exclude",1002,"Western Southern Gulf"
"region_4",2024,230,18234.03,0.0126137776454245,0.0126137776454245,1.26137776454245,"exclude",1002,"Western Southern Gulf"
"region_5",2018,441792,351969.2,1.25520073915559,0.744799260844415,74.4799260844415,"include",291905,"Eastern Upper Gulf"
"region_5",2019,170870,351969.2,0.485468614867437,0.485468614867437,48.5468614867437,"include",291905,"Eastern Upper Gulf"
"region_5",2020,275019,351969.2,0.781372347353121,0.781372347353121,78.1372347353121,"include",291905,"Eastern Upper Gulf"
"region_5",2021,153938,351969.2,0.437362132822986,0.437362132822986,43.7362132822986,"include",291905,"Eastern Upper Gulf"
"region_5",2022,718227,351969.2,2.04059616580087,0,0,"include",291905,"Eastern Upper Gulf"
"region_5",2023,1319836,351969.2,3.74986220385193,0,0,"include",291905,"Eastern Upper Gulf"
"region_5",2024,291905,351969.2,0.829348136143731,0.829348136143731,82.9348136143731,"include",291905,"Eastern Upper Gulf"
"region_6",2018,72442,241442.2,0.300038684206821,0.300038684206821,30.003868420682,"include",260404,"Eastern Midriff Islands"
"region_6",2019,381743,241442.2,1.58109477133658,0.418905228663423,41.8905228663423,"include",260404,"Eastern Midriff Islands"
"region_6",2020,260404,241442.2,1.0785355666905,1,100,"include",260404,"Eastern Midriff Islands"
"region_6",2021,245575,241442.2,1.01711714025137,1,100,"include",260404,"Eastern Midriff Islands"
"region_6",2022,247047,241442.2,1.02321383751473,1,100,"include",260404,"Eastern Midriff Islands"
"region_6",2023,301701,241442.2,1.24957857408523,0.750421425914774,75.0421425914774,"include",260404,"Eastern Midriff Islands"
"region_6",2024,334913,241442.2,1.38713530608982,0.612864693910178,61.2864693910178,"include",260404,"Eastern Midriff Islands"
"region_7",2018,748388,1000421.6,0.748072612586534,0.748072612586534,74.8072612586534,"include",869274,"Southern Sonora Coast"
"region_7",2019,1106826,1000421.6,1.10635955881001,0.893640441189994,89.3640441189994,"include",869274,"Southern Sonora Coast"
"region_7",2020,1162265,1000421.6,1.16177519557754,0.838224804422455,83.8224804422455,"include",869274,"Southern Sonora Coast"
"region_7",2021,1115355,1000421.6,1.11488496449897,0.885115035501033,88.5115035501033,"include",869274,"Southern Sonora Coast"
"region_7",2022,869274,1000421.6,0.868907668526949,0.868907668526949,86.8907668526949,"include",869274,"Southern Sonora Coast"
"region_7",2023,710485,1000421.6,0.710185585757045,0.710185585757045,71.0185585757045,"include",869274,"Southern Sonora Coast"
"region_7",2024,592156.5,1000421.6,0.591906952029025,0.591906952029025,59.1906952029025,"include",869274,"Southern Sonora Coast"
"region_8",2018,508206,529885,0.959087349141795,1,100,"include",508206,"Sinaloa Coast"
"region_8",2019,425545,529885,0.803089349575851,0.803089349575851,80.3089349575851,"include",508206,"Sinaloa Coast"
"region_8",2020,485924,529885,0.917036715513744,1,100,"include",508206,"Sinaloa Coast"
"region_8",2021,401289,529885,0.757313379318154,0.757313379318154,75.7313379318154,"include",508206,"Sinaloa Coast"
"region_8",2022,828461,529885,1.56347320645046,0.436526793549544,43.6526793549544,"include",508206,"Sinaloa Coast"
"region_8",2023,1186007,529885,2.23823471130528,0,0,"include",508206,"Sinaloa Coast"
"region_8",2024,1204143.31,529885,2.27246159072252,0,0,"include",508206,"Sinaloa Coast"
"region_9",2018,3889,2491.4,1.56096973589147,0.439030264108534,43.9030264108534,"exclude",1768,"Southeastern Gulf"
