"year","OHI_region_est","fillet_mt","ref_point_mt","fins_mt","FINS_score_prop","FINS_SubScore"
2018,"region_1",21.09972,1.054986,NA,NA,NA
2018,"region_2",499.1771,24.958855,NA,NA,NA
2018,"region_3",2.259,0.11295,NA,NA,NA
2018,"region_4",94.971,4.74855,4.17,100,100
2018,"region_5",1226.113,61.30565,0.12,100,100
2018,"region_6",127.593,6.37965,NA,NA,NA
2018,"region_7",266.046,13.3023,NA,NA,NA
2018,"region_8",3386.213,169.31065,26.898,100,100
2018,"region_9",3516.977,175.84885,58.2,100,100
2019,"region_1",28.127,1.40635,NA,NA,NA
2019,"region_2",223.44512,11.172256,0.096,100,100
2019,"region_3",157.256,7.8628,1.43,100,100
2019,"region_4",654.62,32.731,6.167,100,100
2019,"region_5",1012.008,50.6004,NA,NA,NA
2019,"region_6",277.287,13.86435,NA,NA,NA
2019,"region_7",378.662,18.9331,NA,NA,NA
2019,"region_8",3951.7235,197.586175,38.06,100,100
2019,"region_9",2959.858,147.9929,40.383,100,100
2020,"region_1",48.34,2.417,NA,NA,NA
2020,"region_2",379.649,18.98245,NA,NA,NA
2020,"region_3",230.157,11.50785,NA,NA,NA
2020,"region_4",938.256,46.9128,5.263,100,100
2020,"region_5",731.547,36.57735,NA,NA,NA
2020,"region_6",562.826,28.1413,NA,NA,NA
2020,"region_7",601.557,30.07785,NA,NA,NA
2020,"region_8",5728.113,286.40565,41.654,100,100
2020,"region_9",924.322,46.2161,1.759,100,100
2021,"region_1",90.109,4.50545,NA,NA,NA
2021,"region_2",267.286,13.3643,0.07,100,100
2021,"region_3",134.522,6.7261,NA,NA,NA
2021,"region_4",1180.53,59.0265,7.833,100,100
2021,"region_5",562.954,28.1477,NA,NA,NA
2021,"region_6",769.061,38.45305,NA,NA,NA
2021,"region_7",470.041,23.50205,0.79,100,100
2021,"region_8",5763.397,288.16985,43.485,100,100
2021,"region_9",659.522,32.9761,0.38,100,100
2022,"region_1",37.789,1.88945,NA,NA,NA
2022,"region_2",341.584,17.0792,2.74,100,100
2022,"region_3",158.466,7.9233,0.027,100,100
2022,"region_4",1378.709,68.93545,22.424,100,100
2022,"region_5",417.773,20.88865,0.5,100,100
2022,"region_6",504.551,25.22755,47,53.6756382978723,53.6756382978723
2022,"region_7",708.058,35.4029,NA,NA,NA
2022,"region_8",4219.251,210.96255,35.868,100,100
2022,"region_9",715.736,35.7868,1.3,100,100
2023,"region_1",132.796,6.6398,NA,NA,NA
2023,"region_2",344.671,17.23355,0.207,100,100
2023,"region_3",1894.929,94.74645,0.011,100,100
2023,"region_4",1930.106,96.5053,66.794,100,100
2023,"region_5",739.806,36.9903,0.9,100,100
2023,"region_6",471.882,23.5941,NA,NA,NA
2023,"region_7",475.741,23.78705,1,100,100
2023,"region_8",5830.629,291.53145,68.27,100,100
2023,"region_9",710.474,35.5237,0.2,100,100
2023,NA,3.635,0.18175,NA,NA,NA
2024,"region_1",92.718,4.6359,0.22,100,100
2024,"region_2",393.749,19.68745,0.3,100,100
2024,"region_3",1759.208,87.9604,NA,NA,NA
2024,"region_4",3361.3091,168.065455,6.144,100,100
2024,"region_5",723.998,36.1999,95.438,37.9302793436577,37.9302793436577
2024,"region_6",394.468,19.7234,3.134,100,100
2024,"region_7",576.099,28.80495,0.25,100,100
2024,"region_8",10274.09342,513.704671,86.02,100,100
2024,"region_9",715.478,35.7739,4,100,100
2024,NA,1.2,0.06,NA,NA,NA
