"OHI_region_est","year","sold_whole_mt","fillet_mt","ref_point_mt","fins_mt","FINS_score_prop","FINS_score","region_exclude_include","median_regional_prod_mt","OHI_region_name"
"region_1",2018,1.52,21.09972,1.054986,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2019,2.742,28.127,1.40635,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2020,3.726,48.34,2.417,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2021,0.2,90.109,4.50545,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2022,1.955,37.789,1.88945,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2023,1.125,132.796,6.6398,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2024,0.215,92.718,4.6359,0.22,100,100,"exclude",0.22,"Western Upper Gulf"
"region_2",2018,61.1219,499.1771,24.958855,NA,NA,NA,"exclude",0.207,"Western Midriff Islands"
"region_2",2019,71.977,223.44512,11.172256,0.096,100,100,"exclude",0.207,"Western Midriff Islands"
"region_2",2020,53.788,379.649,18.98245,NA,NA,NA,"exclude",0.207,"Western Midriff Islands"
"region_2",2021,69.993,267.286,13.3643,0.07,100,100,"exclude",0.207,"Western Midriff Islands"
"region_2",2022,32.738,341.584,17.0792,2.74,100,100,"exclude",0.207,"Western Midriff Islands"
"region_2",2023,20.921,344.671,17.23355,0.207,100,100,"exclude",0.207,"Western Midriff Islands"
"region_2",2024,77.01,393.749,19.68745,0.3,100,100,"exclude",0.207,"Western Midriff Islands"
"region_3",2018,286.358,2.259,0.11295,NA,NA,NA,"exclude",0.027,"Western Central Gulf"
"region_3",2019,314.093,157.256,7.8628,1.43,100,100,"exclude",0.027,"Western Central Gulf"
"region_3",2020,224.405,230.157,11.50785,NA,NA,NA,"exclude",0.027,"Western Central Gulf"
"region_3",2021,355.767,134.522,6.7261,NA,NA,NA,"exclude",0.027,"Western Central Gulf"
"region_3",2022,350.973,158.466,7.9233,0.027,100,100,"exclude",0.027,"Western Central Gulf"
"region_3",2023,235.966,1894.929,94.74645,0.011,100,100,"exclude",0.027,"Western Central Gulf"
"region_3",2024,179.156,1759.208,87.9604,NA,NA,NA,"exclude",0.027,"Western Central Gulf"
"region_4",2018,800.1847,94.971,4.74855,4.17,100,100,"include",6.167,"Western Southern Gulf"
"region_4",2019,468.386,654.62,32.731,6.167,100,100,"include",6.167,"Western Southern Gulf"
"region_4",2020,274.711,938.256,46.9128,5.263,100,100,"include",6.167,"Western Southern Gulf"
"region_4",2021,215.358,1180.53,59.0265,7.833,100,100,"include",6.167,"Western Southern Gulf"
"region_4",2022,251.086,1378.709,68.93545,22.424,100,100,"include",6.167,"Western Southern Gulf"
"region_4",2023,169.874,1930.106,96.5053,66.794,100,100,"include",6.167,"Western Southern Gulf"
"region_4",2024,345.3157,3361.3091,168.065455,6.144,100,100,"include",6.167,"Western Southern Gulf"
"region_5",2018,0.696,1226.113,61.30565,0.12,100,100,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2019,0.515,1012.008,50.6004,NA,NA,NA,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2020,13.798,731.547,36.57735,NA,NA,NA,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2021,49.864,562.954,28.1477,NA,NA,NA,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2022,88.029,417.773,20.88865,0.5,100,100,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2023,71.123,739.806,36.9903,0.9,100,100,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2024,275.741,723.998,36.1999,95.438,37.9302793436577,37.9302793436577,"exclude",0.7,"Eastern Upper Gulf"
"region_6",2018,473.869,127.593,6.37965,NA,NA,NA,"include",25.067,"Eastern Midriff Islands"
"region_6",2019,453.529,277.287,13.86435,NA,NA,NA,"include",25.067,"Eastern Midriff Islands"
