"OHI_region_est","year","StockStatus_geo.mean","Stock_landed.biomass_mt","FOFM_score","region_exclude_include","mean_regional_catch_mt"
"region_1",2018,NA,NA,NA,"exclude",86.403296
"region_1",2019,NA,NA,NA,"exclude",86.403296
"region_1",2020,NA,NA,NA,"exclude",86.403296
"region_1",2021,0.97094,86.403296,97.094,"exclude",86.403296
"region_1",2022,NA,NA,NA,"exclude",86.403296
"region_1",2023,NA,NA,NA,"exclude",86.403296
"region_1",2024,NA,NA,NA,"exclude",86.403296
"region_2",2018,NA,NA,NA,"exclude",0.038885
"region_2",2019,NA,NA,NA,"exclude",0.038885
"region_2",2020,1,0.05467,100,"exclude",0.038885
"region_2",2021,NA,NA,NA,"exclude",0.038885
"region_2",2022,NA,NA,NA,"exclude",0.038885
"region_2",2023,NA,NA,NA,"exclude",0.038885
"region_2",2024,1,0.0231,100,"exclude",0.038885
"region_3",2018,0.312746667,1157.1,31.2746667,"exclude",240.0272
"region_3",2019,NA,NA,NA,"exclude",240.0272
"region_3",2020,0.297673333,5.684,29.7673333,"exclude",240.0272
"region_3",2021,0.97094,16.24,97.094,"exclude",240.0272
"region_3",2022,0.430533333,16.24,43.0533333,"exclude",240.0272
"region_3",2023,NA,NA,NA,"exclude",240.0272
"region_3",2024,0.241266667,4.872,24.1266667,"exclude",240.0272
"region_4",2018,0.312746667,87.696,31.2746667,"exclude",87.696
"region_4",2019,NA,NA,NA,"exclude",87.696
"region_4",2020,NA,NA,NA,"exclude",87.696
"region_4",2021,NA,NA,NA,"exclude",87.696
"region_4",2022,NA,NA,NA,"exclude",87.696
"region_4",2023,NA,NA,NA,"exclude",87.696
"region_4",2024,NA,NA,NA,"exclude",87.696
"region_5",2018,NA,NA,NA,"exclude",295.7717
"region_5",2019,NA,NA,NA,"exclude",295.7717
"region_5",2020,NA,NA,NA,"exclude",295.7717
"region_5",2021,NA,NA,NA,"exclude",295.7717
"region_5",2022,NA,NA,NA,"exclude",295.7717
"region_5",2023,0.56127363471346,295.7717,56.127363471346,"exclude",295.7717
"region_5",2024,NA,NA,NA,"exclude",295.7717
"region_6",2018,NA,NA,NA,"exclude",NA
"region_6",2019,NA,NA,NA,"exclude",NA
"region_6",2020,NA,NA,NA,"exclude",NA
"region_6",2021,NA,NA,NA,"exclude",NA
"region_6",2022,NA,NA,NA,"exclude",NA
"region_6",2023,NA,NA,NA,"exclude",NA
"region_6",2024,NA,NA,NA,"exclude",NA
"region_7",2018,0.683067175383562,296452.529464,68.3067175383562,"include",325803.94671948
"region_7",2019,0.63548992058925,299824.871738,63.548992058925,"include",325803.94671948
"region_7",2020,0.678374559440293,356874.392756,67.8374559440293,"include",325803.94671948
"region_7",2021,0.798747383509823,494668.601196,79.8747383509823,"include",325803.94671948
"region_7",2022,0.619125272344225,384020.882252,61.9125272344225,"include",325803.94671948
"region_7",2023,0.592873677677323,278306.7735,59.2873677677323,"include",325803.94671948
"region_7",2024,0.55585990579778,170479.57613036,55.585990579778,"include",325803.94671948
"region_8",2018,1,57664.019924,100,"include",65049.364372
"region_8",2019,1,57941.54464,100,"include",65049.364372
"region_8",2020,0.999369204743267,52869.741568,99.9369204743267,"include",65049.364372
"region_8",2021,0.89860797292774,59935.960084,89.860797292774,"include",65049.364372
"region_8",2022,0.923260427044646,66091.71226,92.3260427044646,"include",65049.364372
"region_8",2023,0.857261327721932,88741.2708,85.7261327721932,"include",65049.364372
"region_8",2024,0.978661961908519,72101.301328,97.8661961908519,"include",65049.364372
"region_9",2018,0.336200495049505,2.2624,33.6200495049505,"exclude",0.715516666666667
"region_9",2019,1,0.462,100,"exclude",0.715516666666667
"region_9",2020,1,0.4116,100,"exclude",0.715516666666667
"region_9",2021,1,0.2471,100,"exclude",0.715516666666667
"region_9",2022,1,0.42,100,"exclude",0.715516666666667
"region_9",2023,NA,NA,NA,"exclude",0.715516666666667
"region_9",2024,1,0.49,100,"exclude",0.715516666666667
NA,2023,0.41476,85.8935,41.476,"exclude",85.8935
