"OHI_region_est","year","sold_whole_mt","fillet_mt","ref_point_mt","shell_mt","other_residue_mt","preparation_unknown_mt","SHEL_score_prop","SHEL_score","region_exclude_include","median_regional_prod_mt","OHI_region_name"
"region_1",2018,771.83681,3.58,2.864,NA,NA,3.397,NA,NA,"exclude",11.356,"Western Upper Gulf"
"region_1",2019,924.151,7.32,5.856,NA,NA,0.445,NA,NA,"exclude",11.356,"Western Upper Gulf"
"region_1",2020,1118.22,7.018,5.6144,NA,NA,NA,NA,NA,"exclude",11.356,"Western Upper Gulf"
"region_1",2021,1424.387,6.137,4.9096,NA,NA,NA,NA,NA,"exclude",11.356,"Western Upper Gulf"
"region_1",2022,1525.231,2.762,2.2096,11.356,NA,NA,513.939174511224,100,"exclude",11.356,"Western Upper Gulf"
"region_1",2023,1639.962,51.171,40.9368,NA,NA,NA,NA,NA,"exclude",11.356,"Western Upper Gulf"
"region_1",2024,1168.3984,1.377,1.1016,NA,NA,NA,NA,NA,"exclude",11.356,"Western Upper Gulf"
"region_2",2018,368.47928,107.075,85.66,NA,NA,5.764,NA,NA,"exclude",0.99,"Western Midriff Islands"
"region_2",2019,408.881,78.17,62.536,NA,NA,4.828,NA,NA,"exclude",0.99,"Western Midriff Islands"
"region_2",2020,424.056,45.38,36.304,3.192,NA,6.276,8.79241956809167,8.79241956809167,"exclude",0.99,"Western Midriff Islands"
"region_2",2021,411.075,15.971,12.7768,1.9,NA,15.782,14.8707031494584,14.8707031494584,"exclude",0.99,"Western Midriff Islands"
"region_2",2022,367.233,13.506,10.8048,0.033,NA,40.399,0.305419813416259,0.305419813416259,"exclude",0.99,"Western Midriff Islands"
"region_2",2023,490.317,12.072,9.6576,NA,NA,20.438,NA,NA,"exclude",0.99,"Western Midriff Islands"
"region_2",2024,365.87,17.164,13.7312,0.08,NA,5.195,0.582614775110697,0.582614775110697,"exclude",0.99,"Western Midriff Islands"
"region_3",2018,31.155,0.057,0.0456,NA,NA,1.2,NA,NA,"exclude",2.075,"Western Central Gulf"
"region_3",2019,2.85,0.63265,0.50612,NA,NA,2.8,NA,NA,"exclude",2.075,"Western Central Gulf"
"region_3",2020,5.021,1.21,0.968,3,NA,1.075,309.917355371901,100,"exclude",2.075,"Western Central Gulf"
"region_3",2021,29.905,6.686,5.3488,NA,NA,52.55,NA,NA,"exclude",2.075,"Western Central Gulf"
"region_3",2022,10.885,1.399,1.1192,1.15,NA,78.241,102.751965689778,100,"exclude",2.075,"Western Central Gulf"
"region_3",2023,7.734,4.96,3.968,NA,NA,73.63,NA,NA,"exclude",2.075,"Western Central Gulf"
"region_3",2024,0.553,4.832,3.8656,NA,NA,19.003,NA,NA,"exclude",2.075,"Western Central Gulf"
"region_4",2018,602.513,40.71559,32.572472,88.229,NA,NA,270.869831433119,100,"include",40.228,"Western Southern Gulf"
