"OHI_region_est","year","StockStatus_geo.mean","FINS_biomass_mt","FINS_score2","median_regional_prod_mt","region_exclude_include","OHI_region_name"
"region_1",2018,NA,NA,NA,0.22,"exclude","Western Upper Gulf"
"region_1",2019,NA,NA,NA,0.22,"exclude","Western Upper Gulf"
"region_1",2020,NA,NA,NA,0.22,"exclude","Western Upper Gulf"
"region_1",2021,NA,NA,NA,0.22,"exclude","Western Upper Gulf"
"region_1",2022,NA,NA,NA,0.22,"exclude","Western Upper Gulf"
"region_1",2023,NA,NA,NA,0.22,"exclude","Western Upper Gulf"
"region_1",2024,0.845778070743312,0.22,84.5778070743312,0.22,"exclude","Western Upper Gulf"
"region_2",2018,NA,NA,NA,0.207,"exclude","Western Midriff Islands"
"region_2",2019,0.977389854260902,0.096,97.7389854260902,0.207,"exclude","Western Midriff Islands"
"region_2",2020,NA,NA,NA,0.207,"exclude","Western Midriff Islands"
"region_2",2021,0.977389854260902,0.07,97.7389854260902,0.207,"exclude","Western Midriff Islands"
"region_2",2022,0.998934427948179,2.74,99.8934427948179,0.207,"exclude","Western Midriff Islands"
"region_2",2023,1,0.207,100,0.207,"exclude","Western Midriff Islands"
"region_2",2024,0.977389854260902,0.3,97.7389854260902,0.207,"exclude","Western Midriff Islands"
"region_3",2018,NA,NA,NA,0.027,"exclude","Western Central Gulf"
"region_3",2019,1,1.43,100,0.027,"exclude","Western Central Gulf"
"region_3",2020,NA,NA,NA,0.027,"exclude","Western Central Gulf"
"region_3",2021,NA,NA,NA,0.027,"exclude","Western Central Gulf"
"region_3",2022,0.996924049993799,0.027,99.6924049993799,0.027,"exclude","Western Central Gulf"
"region_3",2023,0.971121451994483,0.011,97.1121451994483,0.027,"exclude","Western Central Gulf"
"region_3",2024,NA,NA,NA,0.027,"exclude","Western Central Gulf"
"region_4",2018,0.974469744241981,4.17,97.4469744241981,6.167,"include","Western Southern Gulf"
"region_4",2019,0.974469744241981,6.167,97.4469744241981,6.167,"include","Western Southern Gulf"
"region_4",2020,0.860416761221808,5.263,86.0416761221808,6.167,"include","Western Southern Gulf"
"region_4",2021,0.974469744241981,7.833,97.4469744241981,6.167,"include","Western Southern Gulf"
"region_4",2022,0.839345974543156,22.424,83.9345974543156,6.167,"include","Western Southern Gulf"
"region_4",2023,0.517337919892211,66.794,51.7337919892211,6.167,"include","Western Southern Gulf"
"region_4",2024,0.749114500098955,6.144,74.9114500098955,6.167,"include","Western Southern Gulf"
"region_5",2018,0.991480024529811,0.12,99.1480024529811,0.7,"exclude","Eastern Upper Gulf"
"region_5",2019,NA,NA,NA,0.7,"exclude","Eastern Upper Gulf"
"region_5",2020,NA,NA,NA,0.7,"exclude","Eastern Upper Gulf"
"region_5",2021,NA,NA,NA,0.7,"exclude","Eastern Upper Gulf"
"region_5",2022,0.725538254908724,0.5,72.5538254908724,0.7,"exclude","Eastern Upper Gulf"
"region_5",2023,0.724183779871915,0.9,72.4183779871915,0.7,"exclude","Eastern Upper Gulf"
"region_5",2024,0.699506101972134,95.438,69.9506101972134,0.7,"exclude","Eastern Upper Gulf"
"region_6",2018,NA,NA,NA,25.067,"include","Eastern Midriff Islands"
"region_6",2019,NA,NA,NA,25.067,"include","Eastern Midriff Islands"
"region_6",2020,NA,NA,NA,25.067,"include","Eastern Midriff Islands"
"region_6",2021,NA,NA,NA,25.067,"include","Eastern Midriff Islands"
"region_6",2022,0.739850640889616,47,73.9850640889616,25.067,"include","Eastern Midriff Islands"
"region_6",2023,NA,NA,NA,25.067,"include","Eastern Midriff Islands"
"region_6",2024,0.989980721455055,3.134,98.9980721455055,25.067,"include","Eastern Midriff Islands"
"region_7",2018,NA,NA,NA,0.79,"exclude","Southern Sonora Coast"
"region_7",2019,NA,NA,NA,0.79,"exclude","Southern Sonora Coast"
"region_7",2020,NA,NA,NA,0.79,"exclude","Southern Sonora Coast"
"region_7",2021,0.918152958507971,0.79,91.8152958507971,0.79,"exclude","Southern Sonora Coast"
"region_7",2022,NA,NA,NA,0.79,"exclude","Southern Sonora Coast"
"region_7",2023,0.951564289495024,1,95.1564289495024,0.79,"exclude","Southern Sonora Coast"
"region_7",2024,0.918152958507971,0.25,91.8152958507971,0.79,"exclude","Southern Sonora Coast"
"region_8",2018,0.93448530068943,26.898,93.448530068943,41.654,"include","Sinaloa Coast"
"region_8",2019,0.93448530068943,38.06,93.448530068943,41.654,"include","Sinaloa Coast"
"region_8",2020,0.811340294031745,41.654,81.1340294031745,41.654,"include","Sinaloa Coast"
"region_8",2021,0.81332941691264,43.485,81.332941691264,41.654,"include","Sinaloa Coast"
"region_8",2022,0.922514408725403,35.868,92.2514408725403,41.654,"include","Sinaloa Coast"
"region_8",2023,0.806793987064795,68.27,80.6793987064795,41.654,"include","Sinaloa Coast"
"region_8",2024,0.67471076385221,86.02,67.471076385221,41.654,"include","Sinaloa Coast"
"region_9",2018,0.692916418265907,58.2,69.2916418265907,1.759,"exclude","Southeastern Gulf"
"region_9",2019,0.732821550233218,40.383,73.2821550233218,1.759,"exclude","Southeastern Gulf"
"region_9",2020,0.905430837778651,1.759,90.5430837778651,1.759,"exclude","Southeastern Gulf"
"region_9",2021,0.905430837778651,0.38,90.5430837778651,1.759,"exclude","Southeastern Gulf"
"region_9",2022,0.905430837778651,1.3,90.5430837778651,1.759,"exclude","Southeastern Gulf"
"region_9",2023,1,0.2,100,1.759,"exclude","Southeastern Gulf"
"region_9",2024,0.905430837778651,4,90.5430837778651,1.759,"exclude","Southeastern Gulf"
