"OHI_region_est","year","sold_whole_mt","fillet_mt","ref_point_mt","fins_mt","ref_v_fins_ratio","StockStatus_geo.mean","FINS_score","region_exclude_include","median_regional_prod_mt","OHI_region_name"
"region_1",2018,NA,NA,NA,NA,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2019,NA,NA,NA,NA,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2020,NA,NA,NA,NA,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2021,NA,NA,NA,NA,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2022,NA,NA,NA,NA,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2023,NA,NA,NA,NA,NA,NA,NA,"exclude",0.22,"Western Upper Gulf"
"region_1",2024,0.215,92.718,4.6359,0.22,1,0.845778070743312,84.5778070743312,"exclude",0.22,"Western Upper Gulf"
"region_2",2018,NA,NA,NA,NA,NA,NA,NA,"exclude",0.207,"Western Midriff Islands"
"region_2",2019,71.977,223.44512,11.172256,0.096,1,0.977389854260902,97.7389854260902,"exclude",0.207,"Western Midriff Islands"
"region_2",2020,NA,NA,NA,NA,NA,NA,NA,"exclude",0.207,"Western Midriff Islands"
"region_2",2021,69.993,267.286,13.3643,0.07,1,0.977389854260902,97.7389854260902,"exclude",0.207,"Western Midriff Islands"
"region_2",2022,32.738,341.584,17.0792,2.74,1,0.998934427948179,99.8934427948179,"exclude",0.207,"Western Midriff Islands"
"region_2",2023,20.921,344.671,17.23355,0.207,1,1,100,"exclude",0.207,"Western Midriff Islands"
"region_2",2024,77.01,393.749,19.68745,0.3,1,0.977389854260902,97.7389854260902,"exclude",0.207,"Western Midriff Islands"
"region_3",2018,NA,NA,NA,NA,NA,NA,NA,"exclude",0.027,"Western Central Gulf"
"region_3",2019,314.093,157.256,7.8628,1.43,1,1,100,"exclude",0.027,"Western Central Gulf"
"region_3",2020,NA,NA,NA,NA,NA,NA,NA,"exclude",0.027,"Western Central Gulf"
"region_3",2021,NA,NA,NA,NA,NA,NA,NA,"exclude",0.027,"Western Central Gulf"
"region_3",2022,350.973,158.466,7.9233,0.027,1,0.996924049993799,99.6924049993799,"exclude",0.027,"Western Central Gulf"
"region_3",2023,235.966,1894.929,94.74645,0.011,1,0.971121451994483,97.1121451994483,"exclude",0.027,"Western Central Gulf"
"region_3",2024,NA,NA,NA,NA,NA,NA,NA,"exclude",0.027,"Western Central Gulf"
"region_4",2018,800.1847,94.971,4.74855,4.17,1,0.974469744241981,97.4469744241981,"include",6.167,"Western Southern Gulf"
"region_4",2019,468.386,654.62,32.731,6.167,1,0.974469744241981,97.4469744241981,"include",6.167,"Western Southern Gulf"
"region_4",2020,274.711,938.256,46.9128,5.263,1,0.860416761221808,86.0416761221808,"include",6.167,"Western Southern Gulf"
"region_4",2021,215.358,1180.53,59.0265,7.833,1,0.974469744241981,97.4469744241981,"include",6.167,"Western Southern Gulf"
"region_4",2022,251.086,1378.709,68.93545,22.424,1,0.839345974543156,83.9345974543156,"include",6.167,"Western Southern Gulf"
"region_4",2023,169.874,1930.106,96.5053,66.794,1,0.517337919892211,51.7337919892211,"include",6.167,"Western Southern Gulf"
"region_4",2024,345.3157,3361.3091,168.065455,6.144,1,0.749114500098955,74.9114500098955,"include",6.167,"Western Southern Gulf"
"region_5",2018,0.696,1226.113,61.30565,0.12,1,0.991480024529811,99.1480024529811,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2019,NA,NA,NA,NA,NA,NA,NA,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2020,NA,NA,NA,NA,NA,NA,NA,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2021,NA,NA,NA,NA,NA,NA,NA,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2022,88.029,417.773,20.88865,0.5,1,0.725538254908724,72.5538254908724,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2023,71.123,739.806,36.9903,0.9,1,0.724183779871915,72.4183779871915,"exclude",0.7,"Eastern Upper Gulf"
"region_5",2024,275.741,723.998,36.1999,95.438,0.379302793436577,0.699506101972134,26.5324618503961,"exclude",0.7,"Eastern Upper Gulf"
"region_6",2018,NA,NA,NA,NA,NA,NA,NA,"include",25.067,"Eastern Midriff Islands"
"region_6",2019,NA,NA,NA,NA,NA,NA,NA,"include",25.067,"Eastern Midriff Islands"
"region_6",2020,NA,NA,NA,NA,NA,NA,NA,"include",25.067,"Eastern Midriff Islands"
"region_6",2021,NA,NA,NA,NA,NA,NA,NA,"include",25.067,"Eastern Midriff Islands"
"region_6",2022,191.029,504.551,25.22755,47,0.536756382978723,0.739850640889616,39.7119553948401,"include",25.067,"Eastern Midriff Islands"
"region_6",2023,NA,NA,NA,NA,NA,NA,NA,"include",25.067,"Eastern Midriff Islands"
"region_6",2024,125.668,394.468,19.7234,3.134,1,0.989980721455055,98.9980721455055,"include",25.067,"Eastern Midriff Islands"
"region_7",2018,NA,NA,NA,NA,NA,NA,NA,"exclude",0.79,"Southern Sonora Coast"
"region_7",2019,NA,NA,NA,NA,NA,NA,NA,"exclude",0.79,"Southern Sonora Coast"
"region_7",2020,NA,NA,NA,NA,NA,NA,NA,"exclude",0.79,"Southern Sonora Coast"
"region_7",2021,791.018,470.041,23.50205,0.79,1,0.918152958507971,91.8152958507971,"exclude",0.79,"Southern Sonora Coast"
"region_7",2022,NA,NA,NA,NA,NA,NA,NA,"exclude",0.79,"Southern Sonora Coast"
"region_7",2023,243.452,475.741,23.78705,1,1,0.951564289495024,95.1564289495024,"exclude",0.79,"Southern Sonora Coast"
"region_7",2024,270.224,576.099,28.80495,0.25,1,0.918152958507971,91.8152958507971,"exclude",0.79,"Southern Sonora Coast"
"region_8",2018,501.098,3386.213,169.31065,26.898,1,0.93448530068943,93.448530068943,"include",41.654,"Sinaloa Coast"
"region_8",2019,707.481,3951.7235,197.586175,38.06,1,0.93448530068943,93.448530068943,"include",41.654,"Sinaloa Coast"
"region_8",2020,893.149,5728.113,286.40565,41.654,1,0.811340294031745,81.1340294031745,"include",41.654,"Sinaloa Coast"
"region_8",2021,804.837,5763.397,288.16985,43.485,1,0.81332941691264,81.332941691264,"include",41.654,"Sinaloa Coast"
"region_8",2022,739.058,4219.251,210.96255,35.868,1,0.922514408725403,92.2514408725403,"include",41.654,"Sinaloa Coast"
"region_8",2023,653.953,5830.629,291.53145,68.27,1,0.806793987064795,80.6793987064795,"include",41.654,"Sinaloa Coast"
"region_8",2024,2528.467,10274.09342,513.704671,86.02,1,0.67471076385221,67.471076385221,"include",41.654,"Sinaloa Coast"
"region_9",2018,531.287,3516.977,175.84885,58.2,1,0.692916418265907,69.2916418265907,"exclude",1.759,"Southeastern Gulf"
"region_9",2019,380.47,2959.858,147.9929,40.383,1,0.732821550233218,73.2821550233218,"exclude",1.759,"Southeastern Gulf"
"region_9",2020,364.624,924.322,46.2161,1.759,1,0.905430837778651,90.5430837778651,"exclude",1.759,"Southeastern Gulf"
"region_9",2021,235.428,659.522,32.9761,0.38,1,0.905430837778651,90.5430837778651,"exclude",1.759,"Southeastern Gulf"
"region_9",2022,178.663,715.736,35.7868,1.3,1,0.905430837778651,90.5430837778651,"exclude",1.759,"Southeastern Gulf"
"region_9",2023,123.898,710.474,35.5237,0.2,1,1,100,"exclude",1.759,"Southeastern Gulf"
"region_9",2024,28.881,715.478,35.7739,4,1,0.905430837778651,90.5430837778651,"exclude",1.759,"Southeastern Gulf"
