"year","OHI_region","SALT_SubScore","AQRM_SubScore","SHEL_SubScore","FINS_SubScore","RESD_SubScore","NP_Score","NP_Score_n_components"
2018,"region_3",100,0,NA,NA,0.160664885287107,33.3868882950957,3
2019,"region_3",100,0,NA,100,3.04911337318605,50.7622783432965,4
2020,"region_3",100,100,100,NA,2.14191292054411,75.535478230136,4
2021,"region_3",100,100,NA,NA,1.33095153532332,67.1103171784411,3
2022,"region_3",100,0,100,100,6.91019804699598,61.3820396093992,5
2023,"region_3",100,NA,NA,100,2.66863479415358,67.5562115980512,3
2024,"region_3",100,NA,NA,NA,2.07843996474933,51.0392199823747,2
2018,"region_6",16.2019710578842,0,NA,NA,5.51036305041773,7.23744470276732,3
2019,"region_6",100,0,3.21798365122616,NA,1.43984646679829,26.1644575295061,4
2020,"region_6",100,0,1.78754037690522,NA,2.14673007933864,25.983567614061,4
2021,"region_6",NA,0,0.694173547450317,NA,5.39321313909019,2.0291288955135,3
2022,"region_6",100,0,25.7936281203755,53.6756382978723,5.3306774379499,36.9599887712396,5
2023,"region_6",100,NA,7.22612968494075,NA,2.03360020285374,36.4199099625982,3
2024,"region_6",100,NA,75.7512660845845,100,1.3321852695405,69.2708628385313,4
2018,"region_7",96.278561050222,0,6.68906859729967,NA,6.46460712422129,27.3580591929357,4
2019,"region_7",97.3318751069731,0,3.25394019443036,NA,5.39958922972073,26.4963511327811,4
2020,"region_7",97.6630911678904,0,1.92150761472596,NA,4.79376072210509,26.0945898761804,4
2021,"region_7",97.2731259145581,0,1.66334791533724,100,10.6761465808189,41.9225240821429,5
2022,"region_7",100,0,8.69672430423481,NA,6.10539268575982,28.7005292474987,4
2023,"region_7",97.7191606481342,NA,5.61437242077825,100,7.08155839032329,52.6037728648089,4
2024,"region_7",99.6384748096224,NA,2.94239629753102,100,8.89867910696011,52.8698875535284,4
2018,"region_8",18.8222058246844,0,100,100,1.82823948125837,44.1300890611885,5
2019,"region_8",NA,0,100,100,1.86021673573407,50.4650541839335,4
2020,"region_8",19.4381058451218,0,100,100,2.59257875279958,44.4061369195843,5
2021,"region_8",13.5146373918829,0,100,100,1.80452759155709,43.063832996688,5
2022,"region_8",30.6135698313645,0,100,100,1.58761693231461,46.4402373527358,5
2023,"region_8",39.3017348385576,NA,100,100,2.23459911608496,60.3840834886606,4
2024,"region_8",35.7323990123824,NA,86.7645306402121,100,2.31387137920688,56.2027002579504,4
2018,"region_1",NA,0,NA,NA,21.1800895418033,10.5900447709016,2
2019,"region_1",NA,13.9704266474115,NA,NA,15.5624486816896,14.7664376645506,2
2020,"region_1",NA,0,NA,NA,2.02716903790176,1.01358451895088,2
2021,"region_1",NA,6.2788434370389,NA,NA,3.10382900996442,4.69133622350166,2
2022,"region_1",NA,0,100,NA,4.04471404879674,34.6815713495989,3
2018,"region_2",NA,0,NA,NA,20.100900110684,10.050450055342,2
2019,"region_2",NA,0,NA,100,16.0725697227062,38.6908565742354,3
2020,"region_2",NA,0,8.79241956809167,NA,1.95452089950876,3.58231348920014,3
2021,"region_2",NA,0,14.8707031494584,100,7.92777684442951,30.699619998472,4
2022,"region_2",NA,0,0.305419813416259,100,8.80615156616638,27.2778928448957,4
2018,"region_4",NA,0,100,100,0.783431365809424,50.1958578414524,4
2020,"region_4",NA,55.9290701644903,3.84649361739719,100,0.598721292460071,40.0935712685869,4
2021,"region_4",NA,0,100,100,3.65482659387926,50.9137066484698,4
2018,"region_5",NA,0,100,100,17.2973120968327,54.3243280242082,4
2019,"region_5",NA,0,100,NA,17.9650328768784,39.3216776256261,3
2020,"region_5",NA,0,77.6789975079093,NA,9.65233307741827,29.1104435284425,3
2021,"region_5",NA,0,9.74848593338858,NA,8.74785380784825,6.16544658041228,3
2022,"region_5",NA,0,7.50581313009884,100,6.18833975471799,28.4235382212042,4
2018,"region_9",NA,100,NA,100,7.28804896155985,69.09601632052,3
2019,"region_9",NA,100,NA,100,4.05726378646453,68.0190879288215,3
2019,"region_4",NA,NA,100,100,1.62605166489512,67.2086838882984,3
2020,"region_9",NA,NA,NA,100,9.42754059792276,54.7137702989614,2
2021,"region_9",NA,NA,NA,100,19.8878360471305,59.9439180235652,2
2022,"region_4",NA,NA,100,100,3.00737205131981,67.6691240171066,3
2022,"region_9",NA,NA,NA,100,5.03214018222372,52.5160700911119,2
2023,"region_1",NA,NA,NA,NA,4.0777511061828,4.0777511061828,1
2023,"region_2",NA,NA,NA,100,9.03785946547076,54.5189297327354,2
2023,"region_4",NA,NA,100,100,0.79836245994951,66.9327874866498,3
2023,"region_5",NA,NA,100,100,8.00357439502632,69.3345247983421,3
2023,"region_9",NA,NA,NA,100,2.71412922835857,51.3570646141793,2
2024,"region_1",NA,NA,NA,100,2.4439112040703,51.2219556020352,2
2024,"region_2",NA,NA,0.582614775110697,100,10.2396146406809,36.9407431385972,3
2024,"region_4",NA,NA,100,100,0.377806392017553,66.7926021306725,3
2024,"region_5",NA,NA,18.1763931615216,37.9302793436577,5.25003673767344,20.4522364142842,3
2024,"region_9",NA,NA,NA,100,2.21748838570006,51.10874419285,2
