"year","OHI_region_est","sold_whole_mt","fillet_mt","ref_point_mt","residue_mt","preparation_unknown_mt","RESD_score_prop","RESD_score","region_exclude_include","median_regional_prod_mt","OHI_region_name"
2018,"region_1",736.5155,251.02358,83.6745266666667,1.74,16.06,0.0207948591921126,2.07948591921126,"exclude",14.4919,"Western Upper Gulf"
2018,"region_2",1544.69273,307.06132,102.353773333333,23.547,4.246,0.230055026142661,23.0055026142661,"exclude",20.93,"Western Midriff Islands"
2018,"region_3",1070.116,881.2685,293.756166666667,0.613,0.385,0.00208676470337928,0.208676470337928,"exclude",9.404,"Western Central Gulf"
2018,"region_4",2790.59539,1536.23745,512.07915,3.01,2.3,0.00587799757127389,0.587799757127389,"exclude",5.177,"Western Southern Gulf"
2018,"region_5",1844.849,7962.266,2654.08866666667,459.086,NA,0.172973120968327,17.2973120968327,"include",327.149,"Eastern Upper Gulf"
2018,"region_6",953.1635,327.095,109.031666666667,6.013,NA,0.0551491157003317,5.51491157003317,"exclude",15.726,"Eastern Midriff Islands"
2018,"region_7",3926.241,5847.3483,1949.1161,126.768,NA,0.0650387116498602,6.50387116498602,"include",126.768,"Southern Sonora Coast"
2018,"region_8",12749.19768,16355.61491,5451.87163666667,86.763,0.205,0.015914351214081,1.5914351214081,"include",70.314,"Sinaloa Coast"
2018,"region_9",8421.485,5342.4856,1780.82853333333,129.793,NA,0.0728834907856373,7.28834907856373,"include",58.476,"Southeastern Gulf"
2018,NA,41.328,80.87,26.9566666666667,NA,NA,NA,NA,"exclude",0.09,NA
2019,"region_1",367.4644,434.99,144.996666666667,2.189,20.555,0.0150968987792823,1.50968987792823,"exclude",14.4919,"Western Upper Gulf"
2019,"region_2",4642.0547,339.57236,113.190786666667,23.496,0.08,0.207578732261954,20.7578732261954,"exclude",20.93,"Western Midriff Islands"
2019,"region_3",987.684,766.52,255.506666666667,10.407,0.16,0.0407308354641758,4.07308354641758,"exclude",9.404,"Western Central Gulf"
2019,"region_4",2296.9504,1362.6603,454.2201,8.14,0.504,0.0179208273698148,1.79208273698148,"exclude",5.177,"Western Southern Gulf"
2019,"region_5",1991.769,7953.244,2651.08133333333,476.28979,4.8,0.179658686442916,17.9658686442916,"include",327.149,"Eastern Upper Gulf"
2019,"region_6",2874.081,1241.982,413.994,6.092,0.5,0.0147151891090209,1.47151891090209,"exclude",15.726,"Eastern Midriff Islands"
