"OHI_region","year","regional_production_mt","SALT_score","region_exclude_include","median_regional_prod_mt","OHI_region_name"
"region_1",2018,NA,NA,"exclude",NA,"Western Upper Gulf"
"region_1",2019,NA,NA,"exclude",NA,"Western Upper Gulf"
"region_1",2020,NA,NA,"exclude",NA,"Western Upper Gulf"
"region_1",2021,NA,NA,"exclude",NA,"Western Upper Gulf"
"region_1",2022,NA,NA,"exclude",NA,"Western Upper Gulf"
"region_1",2023,NA,NA,"exclude",NA,"Western Upper Gulf"
"region_1",2024,NA,NA,"exclude",NA,"Western Upper Gulf"
"region_2",2018,NA,NA,"exclude",NA,"Western Midriff Islands"
"region_2",2019,NA,NA,"exclude",NA,"Western Midriff Islands"
"region_2",2020,NA,NA,"exclude",NA,"Western Midriff Islands"
"region_2",2021,NA,NA,"exclude",NA,"Western Midriff Islands"
"region_2",2022,NA,NA,"exclude",NA,"Western Midriff Islands"
"region_2",2023,NA,NA,"exclude",NA,"Western Midriff Islands"
"region_2",2024,NA,NA,"exclude",NA,"Western Midriff Islands"
"region_3",2018,NA,NA,"exclude",NA,"Western Central Gulf"
"region_3",2019,NA,NA,"exclude",NA,"Western Central Gulf"
"region_3",2020,NA,NA,"exclude",NA,"Western Central Gulf"
"region_3",2021,NA,NA,"exclude",NA,"Western Central Gulf"
"region_3",2022,NA,NA,"exclude",NA,"Western Central Gulf"
"region_3",2023,NA,NA,"exclude",NA,"Western Central Gulf"
"region_3",2024,NA,NA,"exclude",NA,"Western Central Gulf"
"region_4",2018,NA,NA,"exclude",NA,"Western Southern Gulf"
"region_4",2019,NA,NA,"exclude",NA,"Western Southern Gulf"
"region_4",2020,NA,NA,"exclude",NA,"Western Southern Gulf"
"region_4",2021,NA,NA,"exclude",NA,"Western Southern Gulf"
"region_4",2022,NA,NA,"exclude",NA,"Western Southern Gulf"
"region_4",2023,NA,NA,"exclude",NA,"Western Southern Gulf"
"region_4",2024,NA,NA,"exclude",NA,"Western Southern Gulf"
"region_5",2018,NA,NA,"exclude",NA,"Eastern Upper Gulf"
"region_5",2019,NA,NA,"exclude",NA,"Eastern Upper Gulf"
"region_5",2020,NA,NA,"exclude",NA,"Eastern Upper Gulf"
"region_5",2021,NA,NA,"exclude",NA,"Eastern Upper Gulf"
"region_5",2022,NA,NA,"exclude",NA,"Eastern Upper Gulf"
"region_5",2023,NA,NA,"exclude",NA,"Eastern Upper Gulf"
"region_5",2024,NA,NA,"exclude",NA,"Eastern Upper Gulf"
"region_6",2018,3117,16.2019710578842,"exclude",27810,"Eastern Midriff Islands"
"region_6",2019,27810,100,"exclude",27810,"Eastern Midriff Islands"
"region_6",2020,26175,100,"exclude",27810,"Eastern Midriff Islands"
"region_6",2021,0,NA,"exclude",27810,"Eastern Midriff Islands"
"region_6",2022,39090,100,"exclude",27810,"Eastern Midriff Islands"
"region_6",2023,36981,100,"exclude",27810,"Eastern Midriff Islands"
"region_6",2024,39893.9999999981,100,"exclude",27810,"Eastern Midriff Islands"
"region_7",2018,163550,96.278561050222,"include",175507,"Southern Sonora Coast"
"region_7",2019,175507,97.3318751069731,"include",175507,"Southern Sonora Coast"
"region_7",2020,196947,97.6630911678904,"include",175507,"Southern Sonora Coast"
"region_7",2021,170592,97.2731259145581,"include",175507,"Southern Sonora Coast"
"region_7",2022,171160,100,"include",175507,"Southern Sonora Coast"
"region_7",2023,187267,97.7191606481342,"include",175507,"Southern Sonora Coast"
"region_7",2024,704711.800000006,99.6384748096224,"include",175507,"Southern Sonora Coast"
"region_8",2018,4055,18.8222058246844,"exclude",4289,"Sinaloa Coast"
"region_8",2019,0,NA,"exclude",4289,"Sinaloa Coast"
"region_8",2020,4289,19.4381058451218,"exclude",4289,"Sinaloa Coast"
"region_8",2021,2600,13.5146373918829,"exclude",4289,"Sinaloa Coast"
"region_8",2022,11390,30.6135698313645,"exclude",4289,"Sinaloa Coast"
"region_8",2023,13945,39.3017348385576,"exclude",4289,"Sinaloa Coast"
"region_8",2024,17706.2666666673,35.7323990123824,"exclude",4289,"Sinaloa Coast"
"region_9",2018,NA,NA,"exclude",NA,"Southeastern Gulf"
"region_9",2019,NA,NA,"exclude",NA,"Southeastern Gulf"
"region_9",2020,NA,NA,"exclude",NA,"Southeastern Gulf"
"region_9",2021,NA,NA,"exclude",NA,"Southeastern Gulf"
"region_9",2022,NA,NA,"exclude",NA,"Southeastern Gulf"
"region_9",2023,NA,NA,"exclude",NA,"Southeastern Gulf"
"region_9",2024,NA,NA,"exclude",NA,"Southeastern Gulf"
NA,2018,7150611,100,"include",6549296,NA
NA,2019,6889901,100,"include",6549296,NA
NA,2020,6462195,100,"include",6549296,NA
NA,2021,6211813,100,"include",6549296,NA
NA,2022,6853310,100,"include",6549296,NA
NA,2023,6549296,100,"include",6549296,NA
NA,2024,6349514.66666672,100,"include",6549296,NA
