bien_juridico_afectado,tipo_de_delito,subtipo_de_delito
El patrimonio,Abuso de confianza,Abuso de confianza
El patrimonio,Daño a la propiedad,Daño a la propiedad
El patrimonio,Despojo,Despojo
El patrimonio,Extorsión,Extorsión
El patrimonio,Fraude,Fraude
El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio
El patrimonio,Robo,Otros robos
El patrimonio,Robo,Robo a casa habitación
El patrimonio,Robo,Robo a institución bancaria
El patrimonio,Robo,Robo a negocio
El patrimonio,Robo,Robo a transeúnte en espacio abierto al público
El patrimonio,Robo,Robo a transeúnte en vía pública
El patrimonio,Robo,Robo a transportista
El patrimonio,Robo,Robo de autopartes
El patrimonio,Robo,Robo de ganado
El patrimonio,Robo,Robo de maquinaria
El patrimonio,Robo,Robo de vehículo automotor
El patrimonio,Robo,Robo en transporte individual
El patrimonio,Robo,Robo en transporte público colectivo
El patrimonio,Robo,Robo en transporte público individual
La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar
La familia,Otros delitos contra la familia,Otros delitos contra la familia
La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar
La familia,Violencia familiar,Violencia familiar
La libertad y la seguridad sexual,Abuso sexual,Abuso sexual
La libertad y la seguridad sexual,Acoso sexual,Acoso sexual
La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual
La libertad y la seguridad sexual,Incesto,Incesto
La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual
La libertad y la seguridad sexual,Violación equiparada,Violación equiparada
La libertad y la seguridad sexual,Violación simple,Violación simple
La sociedad,Corrupción de menores,Corrupción de menores
La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad
La sociedad,Trata de personas,Trata de personas
La vida y la Integridad corporal,Aborto,Aborto
La vida y la Integridad corporal,Feminicidio,Feminicidio
La vida y la Integridad corporal,Homicidio,Homicidio culposo
La vida y la Integridad corporal,Homicidio,Homicidio doloso
La vida y la Integridad corporal,Lesiones,Lesiones culposas
La vida y la Integridad corporal,Lesiones,Lesiones dolosas
La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal
Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal
Libertad personal,Rapto,Rapto
Libertad personal,Secuestro,Secuestro
Libertad personal,Tráfico de menores,Tráfico de menores
Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada
Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas
Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente
Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos
Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales
Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos
Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad
Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación
Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo
Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común
