Spanish,Accommodation,codigo_act,English
"Bares, cantinas y similares",0,722412,"Bars, cantinas, and similar establishments"
"Cabañas, villas y similares",1,721190,"Cabins, villas, and similar accommodations"
"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0,722515,"Cafeterias, soda fountains, ice cream parlors, refreshment stands, and similar"
Campamentos y albergues recreativos,1,721210,Camps and recreational hostels
"Centros nocturnos, discotecas y similares",0,722411,"Nightclubs, discotheques, and similar venues"
Departamentos y casas amueblados con servicios de hotelería,1,721312,Furnished apartments and houses with hotel services
Hoteles con otros servicios integrados,1,721111,Hotels with integrated services
Hoteles sin otros servicios integrados,1,721112,Hotels without integrated services
Moteles,1,721113,Motels
Pensiones y casas de huéspedes,1,721311,Boarding houses and guesthouses
Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0,722511,Restaurants with à la carte or set menu service
Restaurantes con servicio de preparación de antojitos,0,722513,Restaurants specializing in traditional snacks (antojitos)
Restaurantes con servicio de preparación de pescados y mariscos,0,722512,Restaurants specializing in fish and seafood dishes
"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0,722518,"Restaurants preparing pizzas, hamburgers, hot dogs, and rotisserie chicken for takeout"
Restaurantes con servicio de preparación de tacos y tortas,0,722514,Restaurants specializing in tacos and sandwiches (tortas)
Restaurantes de autoservicio,0,722516,Self-service restaurants
Restaurantes que preparan otro tipo de alimentos para llevar,0,722517,Restaurants preparing other types of food for takeout
Servicios de comedor para empresas e instituciones,0,722310,Cafeteria services for companies and institutions
Servicios de preparación de alimentos en unidades móviles,0,722330,Food preparation services in mobile units
Servicios de preparación de alimentos para ocasiones especiales,0,722320,Catering services for special events
Servicios de preparación de otros alimentos para consumo inmediato,0,722519,Preparation of other foods for immediate consumption
