ano,rgn_id,number_crimes,pop_ano_censal_original,population_original,population_interpolated,unidad_medida,is_gapfilled,tr_crimes_percapita,current_status
2015,Region_3,1185,2010,59114,61568,People,1,0.019247011434511435,63.29794026453509
2015,Region_4,15668,2010,507096,584250,People,1,0.026817287120239622,48.86220766381892
2015,Region_5,3119,2010,235722,248716,People,1,0.01254040753308995,76.08674011793536
2015,Region_6,10021,2010,875119,954813,People,1,0.010495248807881753,79.98664623876341
2015,Region_7,7464,2010,995312,1013783,People,1,0.00736252235438945,85.96043151042288
2015,Region_8,26525,2010,2767761,2897352,People,1,0.0091549111050366,82.54253158246469
2015,Region_9,11197,2010,1291389,1378062.5,People,1,0.008125175744931743,84.50613038983705
2016,Region_3,1572,2010,59114,62058.8,People,1,0.025330815291304376,51.69675566865062
2016,Region_4,19428,2010,507096,599680.8,People,1,0.032397235329195126,38.2218236653624
2016,Region_5,3481,2010,235722,251314.8,People,1,0.013851154010826263,73.58728217935544
2016,Region_6,18873,2010,875119,970751.8,People,1,0.019441632763390188,62.92681752360423
2016,Region_7,9006,2010,995312,1017477.2,People,1,0.008851303989907588,83.12147894338312
2016,Region_8,21875,2010,2767761,2923270.2,People,1,0.007483057843917404,85.73058280108164
2016,Region_9,8264,2010,1291389,1395397.2,People,1,0.0059223280654425855,88.70673303382844
2017,Region_3,2003,2010,59114,62549.6,People,1,0.03202258687505596,38.936239510669154
2017,Region_4,20070,2010,507096,615111.6,People,1,0.03262822551224851,37.78134928181577
2017,Region_5,1311,2010,235722,253913.6,People,1,0.00516317361496194,90.15436203767602
2017,Region_6,12420,2010,875119,986690.6,People,1,0.012587532505123693,75.99687767126413
2017,Region_7,7319,2010,995312,1021171.4,People,1,0.007167259090883274,86.3327783542812
2017,Region_8,24073,2010,2767761,2949188.4,People,1,0.008162584662275221,84.43479545435105
2017,Region_9,8677,2010,1291389,1412731.9,People,1,0.0061420004743999905,88.28784047467863
2018,Region_3,1469,2010,59114,63040.4,People,1,0.023302517116008146,55.56451046499136
2018,Region_4,18799,2010,507096,630542.4,People,1,0.029814014093263196,43.14775933250156
2018,Region_5,1000,2010,235722,256512.4,People,1,0.0038984470146472454,92.56606483068991
2018,Region_6,6805,2010,875119,1002629.4,People,1,0.006787153857646703,87.05759971283233
2018,Region_7,6213,2010,995312,1024865.6,People,1,0.00606225830977252,88.43990053343379
2018,Region_8,24131,2010,2767761,2975106.6,People,1,0.008110969872474486,84.53321951904003
2018,Region_9,10234,2010,1291389,1430066.6,People,1,0.007156310062762111,86.35365701825017
2019,Region_3,1255,2010,59114,63531.2,People,1,0.019754073589039717,62.3310251905553
2019,Region_4,18147,2010,507096,645973.2,People,1,0.028092496716582052,46.430514881828024
2019,Region_5,1617,2010,235722,259111.2,People,1,0.006240563896890601,88.09989022420517
2019,Region_6,7878,2010,875119,1018568.2,People,1,0.007734386367059172,85.25132530695268
2019,Region_7,7795,2010,995312,1028559.8,People,1,0.007578557902029614,85.54847406957802
2019,Region_8,23695,2010,2767761,3001024.8,People,1,0.007895636184012875,84.94383858703752
2019,Region_9,8257,2010,1291389,1447401.3,People,1,0.005704706773442859,89.12171432512449
2020,Region_3,1033,2020,64022,64022,People,0,0.01613507856674268,69.23207431928033
2020,Region_4,14824,2020,661404,661404,People,0,0.022412927650876015,57.26086554850194
2020,Region_5,2619,2020,261710,261710,People,0,0.01000725994421306,80.91719052017304
2020,Region_6,11301,2020,1034507,1034507,People,0,0.01092404401323529,79.16897814027891
2020,Region_7,10520,2020,1032254,1032254,People,0,0.01019129012820488,80.56626399690587
2020,Region_8,23203,2020,3026943,3026943,People,0,0.0076654895714917655,85.38270436884501
2020,Region_9,6811,2020,1464736,1464736,People,0,0.004649984707141765,91.13296019638139
2021,Region_2,1227,2020,117568,117568,People,1,0.010436513336962439,80.09864870572335
2021,Region_3,1084,2020,64022,64022,People,1,0.016931679735091062,67.71303829825739
2021,Region_4,15345,2020,661404,661404,People,1,0.02320064589872453,55.75876833794943
2021,Region_5,3253,2020,261710,261710,People,1,0.012429788697413168,76.29767879424317
2021,Region_6,12252,2020,1034507,1034507,People,1,0.011843322471476752,77.41600921818399
2021,Region_7,12423,2020,1032254,1032254,People,1,0.012034828637137758,77.0508267712511
2021,Region_8,25995,2020,3026943,3026943,People,1,0.008587872318705704,83.62381588881291
2021,Region_9,8323,2020,1464736,1464736,People,1,0.005682252638018046,89.164532038538
2022,Region_1,785,2020,17143,17143,People,1,0.045791285072624394,12.680756395995552
2022,Region_2,1360,2020,117568,117568,People,1,0.011567773543821448,77.94145251816117
2022,Region_3,1001,2020,64022,64022,People,1,0.015635250382680953,70.18519495992219
2022,Region_4,16991,2020,661404,661404,People,1,0.02568929126524787,51.013179070061824
2022,Region_5,2332,2020,261710,261710,People,1,0.008910626265713957,83.00835750020752
2022,Region_6,12486,2020,1034507,1034507,People,1,0.01206951717098096,76.98467932568114
2022,Region_7,12136,2020,1032254,1032254,People,1,0.0117567962923854,77.58100569072714
2022,Region_8,28380,2020,3026943,3026943,People,1,0.009375795976336521,82.12132698305484
2022,Region_9,11754,2020,1464736,1464736,People,1,0.008024654272169182,84.6978144396222
2023,Region_1,825,2020,17143,17143,People,1,0.04812459896167532,8.231368186874299
2023,Region_2,2355,2020,117568,117568,People,1,0.020030960805661406,61.8030299119629
2023,Region_3,1150,2020,64022,64022,People,1,0.01796257536471838,65.74722697693358
2023,Region_4,18578,2020,661404,661404,People,1,0.02808873245399181,46.43769294118113
2023,Region_5,2426,2020,261710,261710,People,1,0.009269802453096939,82.3234456670255
2023,Region_6,13075,2020,1034507,1034507,People,1,0.012638870495801383,75.8989814338684
2023,Region_7,11551,2020,1032254,1032254,People,1,0.011190075310921537,78.66168397607031
2023,Region_8,31631,2020,3026943,3026943,People,1,0.010449816861434126,80.07328026078251
2023,Region_9,15582,2020,1464736,1464736,People,1,0.010638094509863893,79.71425426222505
2024,Region_1,899,2020,17143,17143,People,1,0.05244122965641953,0
2024,Region_2,1903,2020,117568,117568,People,1,0.016186377245508983,69.13425304563287
2024,Region_3,1334,2020,64022,64022,People,1,0.02083658742307332,60.266783293242945
2024,Region_4,20946,2020,661404,661404,People,1,0.03166899504690023,39.61050254849714
2024,Region_5,2692,2020,261710,261710,People,1,0.010286194642925375,80.38529090504231
2024,Region_6,13942,2020,1034507,1034507,People,1,0.013476950856784922,74.30084888344118
2024,Region_7,11028,2020,1032254,1032254,People,1,0.010683417065954697,79.62782883630017
2024,Region_8,33187,2020,3026943,3026943,People,1,0.010963866845196622,79.09304011933196
2024,Region_9,14218,2020,1464736,1464736,People,1,0.00970686867804164,81.49000558980335
2025,Region_1,846,2020,17143,17143,People,1,0.04934958875342706,5.895439377085642
2025,Region_2,1844,2020,117568,117568,People,1,0.015684540010887316,70.0912047378597
2025,Region_3,1160,2020,64022,64022,People,1,0.018118771672237667,65.44937677673299
2025,Region_4,20762,2020,661404,661404,People,1,0.03139079896704586,40.14099369387463
2025,Region_5,2661,2020,261710,261710,People,1,0.010167742921554392,80.61116608407042
2025,Region_6,14859,2020,1034507,1034507,People,1,0.014363363418517227,72.61055182606889
2025,Region_7,9499,2020,1032254,1032254,People,1,0.009202192483632904,82.45237088465863
2025,Region_8,39235,2020,3026943,3026943,People,1,0.012961922309075526,75.2829550451077
2025,Region_9,13889,2020,1464736,1464736,People,1,0.00948225482271208,81.91832097600076
