ano,rgn_id,number_crimes,rgn_population_50km,tr_crimes_percapita,current_status
2015,Region_3,931,47507,0.0195971120045467,43.02325581395349
2015,Region_4,13963,847706,0.01647151252910797,52.11063979679729
2015,Region_5,468,57300,0.008167539267015706,76.25365434772857
2015,Region_7,2066,1239610,0.0016666532215777543,95.15436385572251
2015,Region_8,19641,2634614,0.007454982020136536,78.32534695039006
2015,Region_9,7764,1195696,0.00649328926416079,81.12137741294451
2016,Region_3,1269,47507,0.02671185299008567,22.337821297429628
2016,Region_4,17104,847706,0.020176806581527085,41.337848820770674
2016,Region_5,791,57300,0.013804537521815008,59.86461664327628
2016,Region_7,3151,1239610,0.002541928509773235,92.60958398324375
2016,Region_8,16248,2634614,0.006167127328709253,82.06966230079618
2016,Region_9,6114,1195696,0.0051133398455794786,85.13344944651504
2017,Region_3,1634,47507,0.03439493127328604,0
2017,Region_4,17039,847706,0.020100129054176803,41.56078145796956
2017,Region_5,220,57300,0.0038394415357766143,88.83718794123993
2017,Region_7,2543,1239610,0.002051451666249869,94.03559887952677
2017,Region_8,17709,2634614,0.006721667766131965,80.45738858227472
2017,Region_9,6364,1195696,0.005322423090819071,84.5255597444589
2018,Region_3,1139,47507,0.023975414149493758,30.2937576499388
2018,Region_4,16405,847706,0.019352228248944798,43.73523210387879
2018,Region_5,166,57300,0.0028970331588132636,91.57715090111739
2018,Region_7,2122,1239610,0.0017118287203233276,95.02302037843327
2018,Region_8,17104,2634614,0.006492032608951444,81.12503101876032
2018,Region_9,7406,1195696,0.006193882056977693,81.99187546628892
2019,Region_3,962,47507,0.020249647420380153,41.12607099143207
2019,Region_4,15081,847706,0.017790365999532858,48.276198436976294
2019,Region_5,501,57300,0.008743455497382199,74.57923253891457
2019,Region_7,1718,1239610,0.0013859197650874066,95.97056975030554
2019,Region_8,16257,2634614,0.006170543388898715,82.0597304298402
2019,Region_9,5730,1195696,0.004792187980891464,86.06716802887327
2020,Region_3,731,47507,0.015387206095943755,55.26315789473685
2020,Region_4,11643,847706,0.013734714629836288,60.06762007835786
2020,Region_5,1075,57300,0.018760907504363003,45.45444107651328
2020,Region_7,2421,1239610,0.0019530336154112988,94.3217400264783
2020,Region_8,15935,2634614,0.00604832434656462,82.41507070182097
2020,Region_9,4656,1195696,0.003893966359342174,88.67866218890644
2021,Region_3,752,47507,0.015829246216347063,53.9779681762546
2021,Region_4,11708,847706,0.013811392157186572,59.844687441158975
2021,Region_5,546,57300,0.009528795811518324,72.29593007235
2021,Region_7,3210,1239610,0.0025895241245230353,92.4712042482426
2021,Region_8,18011,2634614,0.006836295563600588,80.12411913464057
2021,Region_9,5595,1195696,0.004679283028462084,86.39542846798358
2022,Region_1,521,167506,0.0031103363461607346,90.95699211768311
2022,Region_3,679,47507,0.01429263055970699,58.44553243574051
2022,Region_4,13240,847706,0.015618622494119423,54.59033666902501
2022,Region_5,260,57300,0.004537521815008726,86.80758574873809
2022,Region_7,3411,1239610,0.0027516718968062536,91.99977498154378
2022,Region_8,19634,2634614,0.007452325084433621,78.33307173891139
2022,Region_9,7242,1195696,0.00605672344810052,82.39065111083774
2023,Region_1,547,167506,0.0032655546666985062,90.50570957461164
2023,Region_3,781,47507,0.016439682573094493,52.203182374541
2023,Region_4,14426,847706,0.01701769245469538,50.52267347336515
2023,Region_5,276,57300,0.0048167539267015705,85.99574487173736
2023,Region_7,3354,1239610,0.002705689692725938,92.13346387807032
2023,Region_8,21939,2634614,0.008327216055179242,75.78940923296204
2023,Region_9,9229,1195696,0.007718517081264803,77.55914375889553
2024,Region_1,575,167506,0.003432712858046876,90.01971298976544
2024,Region_3,875,47507,0.018418338350137873,46.45042839657283
2024,Region_4,15663,847706,0.01847692478288463,46.28009390082618
2024,Region_5,324,57300,0.005654450261780105,83.56022224073516
2024,Region_7,2796,1239610,0.0022555481159396906,93.44220781248795
2024,Region_8,22829,2634614,0.008665026451692735,74.80725754953693
2024,Region_9,8706,1195696,0.007281114932223575,78.83084901559698
2025,Region_1,351,167506,0.002095447327259919,93.90768566853507
2025,Region_3,502,47507,0.010566863830593387,69.27784577723378
2025,Region_4,10686,847706,0.01260578549638672,63.349874444501594
2025,Region_5,237,57300,0.004136125654450261,87.97460700942665
2025,Region_7,1304,1239610,0.0010519437565040617,96.9415733145509
2025,Region_8,18418,2634614,0.006990777396612939,79.6749778591866
2025,Region_9,5653,1195696,0.0047277903413576695,86.25439805710656
