"year","OHI_region","OHI_region_name","OCE_Score","n_groups"
2018,"region_1","Western Upper Gulf",86.1491697518721,2
2018,"region_2","Western Midriff Islands",82.4856033095962,3
2018,"region_3","Western Central Gulf",76.1203315193629,4
2018,"region_4","Western Southern Gulf",70.0457425009471,3
2018,"region_5","Eastern Upper Gulf",90.7661131679147,3
2018,"region_6","Eastern Midriff Islands",89.6006407952801,3
2018,"region_7","Southern Sonora Coast",78.1406424998905,4
2018,"region_8","Sinaloa Coast",90.650548623816,3
2018,"region_9","Southeastern Gulf",75.353581672328,2
2019,"region_1","Western Upper Gulf",94.5702391816976,2
2019,"region_2","Western Midriff Islands",69.7295580945909,3
2019,"region_3","Western Central Gulf",77.6895094621006,3
2019,"region_4","Western Southern Gulf",86.8176400430675,3
2019,"region_5","Eastern Upper Gulf",87.3647383232786,3
2019,"region_6","Eastern Midriff Islands",80.2989212184947,2
2019,"region_7","Southern Sonora Coast",78.8667698978002,4
2019,"region_8","Sinaloa Coast",88.6089089681672,3
2019,"region_9","Southeastern Gulf",81.3797510832317,2
2020,"region_1","Western Upper Gulf",90.3900292850054,2
2020,"region_2","Western Midriff Islands",85.2537262315279,3
2020,"region_3","Western Central Gulf",64.2771674845343,4
2020,"region_4","Western Southern Gulf",85.8308203123009,3
2020,"region_5","Eastern Upper Gulf",87.9970787777764,3
2020,"region_6","Eastern Midriff Islands",78.7448975521459,3
2020,"region_7","Southern Sonora Coast",81.7475730620737,4
2020,"region_8","Sinaloa Coast",69.1151836095309,4
2020,"region_9","Southeastern Gulf",85.6220958082824,2
2021,"region_1","Western Upper Gulf",80.9024123574139,3
2021,"region_2","Western Midriff Islands",90.5277276032114,3
2021,"region_3","Western Central Gulf",83.6481603664172,4
2021,"region_4","Western Southern Gulf",78.6737707522015,2
2021,"region_5","Eastern Upper Gulf",72.1275068941371,3
2021,"region_6","Eastern Midriff Islands",77.3660184352333,3
2021,"region_7","Southern Sonora Coast",73.5733043207273,4
2021,"region_8","Sinaloa Coast",81.2986156771002,3
2021,"region_9","Southeastern Gulf",81.2087273521265,3
2022,"region_1","Western Upper Gulf",70.1065810915993,2
2022,"region_2","Western Midriff Islands",82.0338552945347,3
2022,"region_3","Western Central Gulf",71.0958993736509,4
2022,"region_4","Western Southern Gulf",79.0618080846404,2
2022,"region_5","Eastern Upper Gulf",57.6607546405565,3
2022,"region_6","Eastern Midriff Islands",79.5299876557338,3
2022,"region_7","Southern Sonora Coast",72.6094914439401,4
2022,"region_8","Sinaloa Coast",74.3224381293756,3
2022,"region_9","Southeastern Gulf",79.5740395484426,2
2023,"region_1","Western Upper Gulf",64.6286956994483,2
2023,"region_2","Western Midriff Islands",81.6001046548186,3
2023,"region_3","Western Central Gulf",72.2128081002969,3
2023,"region_4","Western Southern Gulf",72.2043479381266,3
2023,"region_5","Eastern Upper Gulf",49.223805792852,4
2023,"region_6","Eastern Midriff Islands",76.6720944727308,3
2023,"region_7","Southern Sonora Coast",74.8041641914457,4
2023,"region_8","Sinaloa Coast",51.9400873778468,4
2023,"region_9","Southeastern Gulf",74.5084225121433,2
2024,"region_1","Western Upper Gulf",56.1262367402709,3
2024,"region_2","Western Midriff Islands",80.510059250314,3
2024,"region_3","Western Central Gulf",56.6926303594779,4
2024,"region_4","Western Southern Gulf",74.4571984954532,3
2024,"region_5","Eastern Upper Gulf",56.2897580653137,3
2024,"region_6","Eastern Midriff Islands",72.7960895195893,2
2024,"region_7","Southern Sonora Coast",68.4808603390083,4
2024,"region_8","Sinaloa Coast",53.2655888604196,3
2024,"region_9","Southeastern Gulf",76.1958376234473,2
