biome,taxonomic_group,specific_taxa,specific_site,OHI_region_est,citation,study_notes,cite_year,cite_link,t1_condition_est,t1_condition_manual,t1_condition_unit,t1_year,t2_condition_unit,t2_year,t2_condition_est,t2_condition_manual,status_t2_v_t1_est,status_t2_v_t1_manual,value_origin,observation_method,bias_risk,reviewer_notes,include_exclude,paper_checked_manually
open ocean,pinnipeds,California sea lion (Zalophus californianus),Gulf of California; resident population,Gulf-wide,Adame et al. 2020,Model-based population reconstruction; warming was a statistical correlate and prey mediation was not directly tested.,2020,https://www.nature.com/articles/s41598-020-67534-0.pdf,43834,46177,"animals (model estimate; range 34,080–58,274)",1991,"animals (model estimate; range 11,861–20,316)",2019,15291,16088.5,0.35,35,Source-reported numeric model estimates,Integrated numerical reconstruction from long-term Gulf population and environmental data,Moderate — model-based reconstruction integrates historically heterogeneous source data,OHI region assignment: Low: study is Gulf-wide or multi-site; no single OHI polygon is appropriate.,likely include,not yet
open ocean,cetaceans,Mysticeti (baleen whales),Northern Gulf of California,"Regions_1 and 5, Upper_Gulf (Baja California and Sonora marine)",Ainsworth 2011,Functional group; Figure 3 does not resolve constituent species. Values are high / medium / low proportions and should not be interpreted as direct population abundance.,2011,https://doi.org/10.1080/19425120.2010.549047,0.40 / 0.60 / 0.00,0.7,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),1950s,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),2000,0.00 / 0.60 / 0.40,0.34,0.43,49,Visually digitized from Figure 3 (approximate; not a source-reported numeric value),Local ecological knowledge interviews; stacked-bar values visually digitized from Figure 3,"High — perception-based, functional-group aggregation, northeastern-Gulf sampling, and approximate visual digitization","perception bias | Expected ordinal score added: high=1, medium=0.5, low=0; condition_t2_v_t1 is the t2/t1 ratio of this perception score, not an abundance ratio. | OHI region assignment: Moderate: northern-Gulf site description spans two OHI marine polygons.",likely include,yes
open ocean,cetaceans,Odontocetae (toothed whales),Northern Gulf of California,"Regions_1 and 5, Upper_Gulf (Baja California and Sonora marine)",Ainsworth 2011,Functional group; Figure 3 does not resolve constituent species. Values are high / medium / low proportions and should not be interpreted as direct population abundance.,2011,https://doi.org/10.1080/19425120.2010.549047,0.00 / 1.00 / 0.00,0.5,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),1950s,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),2000,0.00 / 0.85 / 0.15,0.44,0.85,88,Visually digitized from Figure 3 (approximate; not a source-reported numeric value),Local ecological knowledge interviews; stacked-bar values visually digitized from Figure 3,"High — perception-based, functional-group aggregation, northeastern-Gulf sampling, and approximate visual digitization","perception bias | Expected ordinal score added: high=1, medium=0.5, low=0; condition_t2_v_t1 is the t2/t1 ratio of this perception score, not an abundance ratio. | OHI region assignment: Moderate: northern-Gulf site description spans two OHI marine polygons.",likely include,yes
open ocean,large sharks,Large pelagic sharks,Northern Gulf of California,"Regions_1 and 5, Upper_Gulf (Baja California and Sonora marine)",Ainsworth 2011,Functional group; Figure 3 does not resolve individual shark species. Values are high / medium / low proportions and should not be interpreted as direct population abundance.,2011,https://doi.org/10.1080/19425120.2010.549047,1.00 / 0.00 / 0.00,1,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),1950s,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),2000,0.00 / 0.20 / 0.80,0.18,0.1,18,Visually digitized from Figure 3 (approximate; not a source-reported numeric value),Local ecological knowledge interviews; stacked-bar values visually digitized from Figure 3,"High — perception-based, functional-group aggregation, northeastern-Gulf sampling, and approximate visual digitization","perception bias | Expected ordinal score added: high=1, medium=0.5, low=0; condition_t2_v_t1 is the t2/t1 ratio of this perception score, not an abundance ratio. | OHI region assignment: Moderate: northern-Gulf site description spans two OHI marine polygons.",likely include,yes
open ocean,small sharks,Small migratory sharks,Northern Gulf of California,"Regions_1 and 5, Upper_Gulf (Baja California and Sonora marine)",Ainsworth 2011,Functional group; Figure 3 does not resolve individual shark species. Values are high / medium / low proportions and should not be interpreted as direct population abundance.,2011,https://doi.org/10.1080/19425120.2010.549047,0.60 / 0.20 / 0.20,0.72,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),1950s,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),2000,0.10 / 0.15 / 0.75,0.25,0.25,35,Visually digitized from Figure 3 (approximate; not a source-reported numeric value),Local ecological knowledge interviews; stacked-bar values visually digitized from Figure 3,"High — perception-based, functional-group aggregation, northeastern-Gulf sampling, and approximate visual digitization","perception bias | Expected ordinal score added: high=1, medium=0.5, low=0; condition_t2_v_t1 is the t2/t1 ratio of this perception score, not an abundance ratio. | OHI region assignment: Moderate: northern-Gulf site description spans two OHI marine polygons.",likely include,yes
open ocean,pinnipeds,Pinnipeds,Northern Gulf of California,"Regions_1 and 5, Upper_Gulf (Baja California and Sonora marine)",Ainsworth 2011,Functional group; California sea lion is the focal constituent in the source material. Values are high / medium / low proportions and should not be interpreted as direct population abundance.,2011,https://doi.org/10.1080/19425120.2010.549047,0.00 / 0.40 / 0.60,0.26,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),1950s,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),2000,0.30 / 0.50 / 0.20,0.57,2.75,219,Visually digitized from Figure 3 (approximate; not a source-reported numeric value),Local ecological knowledge interviews; stacked-bar values visually digitized from Figure 3,"High — perception-based, functional-group aggregation, northeastern-Gulf sampling, and approximate visual digitization","perception bias | Expected ordinal score added: high=1, medium=0.5, low=0; condition_t2_v_t1 is the t2/t1 ratio of this perception score, not an abundance ratio. | OHI region assignment: Moderate: northern-Gulf site description spans two OHI marine polygons.",likely include,yes
open ocean,sea birds,Seabirds,Northern Gulf of California,"Regions_1 and 5, Upper_Gulf (Baja California and Sonora marine)",Ainsworth 2011,Functional group; Figure 3 does not resolve individual seabird species. Values are high / medium / low proportions and should not be interpreted as direct population abundance.,2011,https://doi.org/10.1080/19425120.2010.549047,0.00 / 0.35 / 0.65,0.24,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),1950s,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),2000,0.25 / 0.55 / 0.20,0.545,3,227,Visually digitized from Figure 3 (approximate; not a source-reported numeric value),Local ecological knowledge interviews; stacked-bar values visually digitized from Figure 3,"High — perception-based, functional-group aggregation, northeastern-Gulf sampling, and approximate visual digitization","perception bias | Expected ordinal score added: high=1, medium=0.5, low=0; condition_t2_v_t1 is the t2/t1 ratio of this perception score, not an abundance ratio. | OHI region assignment: Moderate: northern-Gulf site description spans two OHI marine polygons.",likely include,yes
open ocean / coastal,sea turtles,Reef-associated turtles,Northern Gulf of California,"Regions_1 and 5, Upper_Gulf (Baja California and Sonora marine)",Ainsworth 2011,Functional group; Figure 3 does not resolve individual turtle species. Values are high / medium / low proportions and should not be interpreted as direct population abundance.,2011,https://doi.org/10.1080/19425120.2010.549047,1.00 / 0.00 / 0.00,1,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),1950s,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),2000,0.00 / 0.35 / 0.65,0.24,0.18,24,Visually digitized from Figure 3 (approximate; not a source-reported numeric value),Local ecological knowledge interviews; stacked-bar values visually digitized from Figure 3,"High — perception-based, functional-group aggregation, northeastern-Gulf sampling, and approximate visual digitization","perception bias | Expected ordinal score added: high=1, medium=0.5, low=0; condition_t2_v_t1 is the t2/t1 ratio of this perception score, not an abundance ratio. | OHI region assignment: Moderate: northern-Gulf site description spans two OHI marine polygons.",likely include,yes
open ocean / coastal,sharks (size unknown),"Skates, rays and sharks",Northern Gulf of California,"Regions_1 and 5, Upper_Gulf (Baja California and Sonora marine)",Ainsworth 2011,Functional group; includes multiple elasmobranch taxa. Values are high / medium / low proportions and should not be interpreted as direct population abundance.,2011,https://doi.org/10.1080/19425120.2010.549047,1.00 / 0.00 / 0.00,1,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),1950s,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),2000,0.05 / 0.10 / 0.85,0.185,0.1,19,Visually digitized from Figure 3 (approximate; not a source-reported numeric value),Local ecological knowledge interviews; stacked-bar values visually digitized from Figure 3,"High — perception-based, functional-group aggregation, northeastern-Gulf sampling, and approximate visual digitization","perception bias | Expected ordinal score added: high=1, medium=0.5, low=0; condition_t2_v_t1 is the t2/t1 ratio of this perception score, not an abundance ratio. | OHI region assignment: Moderate: northern-Gulf site description spans two OHI marine polygons.",likely include,yes
open ocean,small sharks,Pacific angel shark,Northern Gulf of California,"Regions_1 and 5, Upper_Gulf (Baja California and Sonora marine)",Ainsworth 2011,Functional-group label in Figure 3. Values are high / medium / low proportions and should not be interpreted as direct population abundance.,2011,https://doi.org/10.1080/19425120.2010.549047,0.65 / 0.25 / 0.10,0.785,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),1950s,proportion of fishers reporting high / medium / low biomass (visually digitized; approximate),2000,0.10 / 0.15 / 0.75,0.25,0.23,32,Visually digitized from Figure 3 (approximate; not a source-reported numeric value),Local ecological knowledge interviews; stacked-bar values visually digitized from Figure 3,"High — perception-based, functional-group aggregation, northeastern-Gulf sampling, and approximate visual digitization","perception bias | Expected ordinal score added: high=1, medium=0.5, low=0; condition_t2_v_t1 is the t2/t1 ratio of this perception score, not an abundance ratio. | OHI region assignment: Moderate: northern-Gulf site description spans two OHI marine polygons.",likely include,yes
