"year","Major_Functional_Group","total_landings_mt","mean_catch_pre2018","n_years_pre2018","period_start","period_end","OCE_Score_raw","OCE_Score_capped"
2018,"cephalopods",1480.152303,52059.2824075556,18,2000,2017,2.84320535080057,2.84320535080057
2018,"anchovy & sardine (small pelagics)",507681.40224,434005.813114444,18,2000,2017,116.975714817471,100
2018,"pelagic marine fish (excl. anchovy & sardine)",187794.82467,105089.048565556,18,2000,2017,178.700661232889,100
2018,"sharks",14242.061252,8816.05799141667,18,2000,2017,161.546819064327,100
2019,"cephalopods",1335.05105,52059.2824075556,18,2000,2017,2.56448223690121,2.56448223690121
2019,"anchovy & sardine (small pelagics)",512140.25094,434005.813114444,18,2000,2017,118.003085549675,100
2019,"pelagic marine fish (excl. anchovy & sardine)",191441.988631,105089.048565556,18,2000,2017,182.171207413279,100
2019,"sharks",14395.047432,8816.05799141667,18,2000,2017,163.282131832788,100
2020,"cephalopods",1116.37176,52059.2824075556,18,2000,2017,2.1444240265555,2.1444240265555
2020,"anchovy & sardine (small pelagics)",586222.42554,434005.813114444,18,2000,2017,135.072482401386,100
2020,"pelagic marine fish (excl. anchovy & sardine)",143949.77046,105089.048565556,18,2000,2017,136.97885024642,100
2020,"sharks",14767.84885,8816.05799141667,18,2000,2017,167.510795237259,100
2021,"cephalopods",1747.75025,52059.2824075556,18,2000,2017,3.35723077455701,3.35723077455701
2021,"anchovy & sardine (small pelagics)",793299.494,434005.813114444,18,2000,2017,182.785453565068,100
2021,"pelagic marine fish (excl. anchovy & sardine)",138912.73729,105089.048565556,18,2000,2017,132.185740746663,100
2021,"sharks",15089.15875,8816.05799141667,18,2000,2017,171.155393540864,100
2022,"cephalopods",1717.61635,52059.2824075556,18,2000,2017,3.29934695709658,3.29934695709658
2022,"anchovy & sardine (small pelagics)",643322.45732,434005.813114444,18,2000,2017,148.228995529689,100
2022,"pelagic marine fish (excl. anchovy & sardine)",147114.10078,105089.048565556,18,2000,2017,139.989944516653,100
2022,"sharks",12673.0717,8816.05799141667,18,2000,2017,143.749867711153,100
2023,"cephalopods",1755.984,52059.2824075556,18,2000,2017,3.37304687808211,3.37304687808211
2023,"anchovy & sardine (small pelagics)",751367.531,434005.813114444,18,2000,2017,173.123840348624,100
2023,"pelagic marine fish (excl. anchovy & sardine)",177114.202,105089.048565556,18,2000,2017,168.537259036573,100
2023,"sharks",17284.549,8816.05799141667,18,2000,2017,196.057569231376,100
2024,"cephalopods",1986.77667,52059.2824075556,18,2000,2017,3.81637352287371,3.81637352287371
2024,"anchovy & sardine (small pelagics)",573669.1648664,434005.813114444,18,2000,2017,132.180064766812,100
2024,"pelagic marine fish (excl. anchovy & sardine)",185422.5048619,105089.048565556,18,2000,2017,176.443223526029,100
2024,"sharks",26451.845365,8816.05799141667,18,2000,2017,300.041644357984,100
