"OHI_region","OHI_region_name","Major_Functional_Group","OCE_Score_raw","OCE_Score_capped","data_quality"
"region_1","Western Upper Gulf","anchovy & sardine (small pelagics)",51.8858036898504,51.8858036898504,"poor"
"region_1","Western Upper Gulf","cephalopods",139.86719328916,100,"high"
"region_1","Western Upper Gulf","pelagic marine fish (excl. anchovy & sardine)",80.5126513653587,80.5126513653587,"high"
"region_1","Western Upper Gulf","sharks",53.6879972223863,53.6879972223863,"high"
"region_2","Western Midriff Islands","anchovy & sardine (small pelagics)",8.56851339331405,8.56851339331405,"high, moderate"
"region_2","Western Midriff Islands","cephalopods",22.7831611110041,22.7831611110041,"high"
"region_2","Western Midriff Islands","pelagic marine fish (excl. anchovy & sardine)",490.571745749705,100,"high"
"region_2","Western Midriff Islands","sharks",257.179957290334,100,"high"
"region_3","Western Central Gulf","anchovy & sardine (small pelagics)",18.4766319780279,18.4766319780279,"high"
"region_3","Western Central Gulf","cephalopods",2.52119279258098,2.52119279258098,"high"
"region_3","Western Central Gulf","pelagic marine fish (excl. anchovy & sardine)",137.493098660644,100,"high"
"region_3","Western Central Gulf","sharks",374.50779554169,100,"high"
"region_4","Western Southern Gulf","anchovy & sardine (small pelagics)",144.927414187018,100,"high"
"region_4","Western Southern Gulf","cephalopods",7.63351708555828,7.63351708555828,"high"
"region_4","Western Southern Gulf","pelagic marine fish (excl. anchovy & sardine)",106.585346937689,100,"high"
"region_4","Western Southern Gulf","sharks",242.471497063209,100,"high"
"region_5","Eastern Upper Gulf","anchovy & sardine (small pelagics)",10.8712895374546,10.8712895374546,"moderate, high"
"region_5","Eastern Upper Gulf","cephalopods",40.2826558193891,40.2826558193891,"high"
"region_5","Eastern Upper Gulf","pelagic marine fish (excl. anchovy & sardine)",173.251528147978,100,"high"
"region_5","Eastern Upper Gulf","sharks",101.493450861791,100,"high"
"region_6","Eastern Midriff Islands","anchovy & sardine (small pelagics)",0.510955459770115,0.510955459770115,"high, poor"
"region_6","Eastern Midriff Islands","cephalopods",79.7592806042197,79.7592806042197,"high"
"region_6","Eastern Midriff Islands","pelagic marine fish (excl. anchovy & sardine)",72.8439285211999,72.8439285211999,"high"
"region_6","Eastern Midriff Islands","sharks",183.170315946649,100,"high"
"region_7","Southern Sonora Coast","anchovy & sardine (small pelagics)",132.992119372248,100,"high"
"region_7","Southern Sonora Coast","cephalopods",2.86199114095473,2.86199114095473,"high"
"region_7","Southern Sonora Coast","pelagic marine fish (excl. anchovy & sardine)",192.03436511995,100,"high"
"region_7","Southern Sonora Coast","sharks",207.749223504514,100,"high"
"region_8","Sinaloa Coast","anchovy & sardine (small pelagics)",99.5717829635379,99.5717829635379,"high"
"region_8","Sinaloa Coast","cephalopods",28.8049024239936,28.8049024239936,"high"
"region_8","Sinaloa Coast","pelagic marine fish (excl. anchovy & sardine)",136.138698317083,100,"high"
"region_8","Sinaloa Coast","sharks",179.738138716346,100,"high"
"region_9","Southeastern Gulf","anchovy & sardine (small pelagics)",49.0515622277154,49.0515622277154,"moderate, high"
"region_9","Southeastern Gulf","cephalopods",106.616767147277,100,"high"
"region_9","Southeastern Gulf","pelagic marine fish (excl. anchovy & sardine)",146.681742341665,100,"high"
"region_9","Southeastern Gulf","sharks",152.239512737095,100,"high"
