"OHI_region","year","mean_NRSI","n_reefs","OHI_region_name","ROK_score"
"region_4",1998,0.28611612758457,22,"Western Southern Gulf",28.611612758457
"region_2",1999,0.351869681750873,1,"Western Midriff Islands",35.1869681750873
"region_3",1999,0.27954073142362,3,"Western Central Gulf",27.954073142362
"region_4",1999,0.440791847741094,33,"Western Southern Gulf",44.0791847741094
"region_6",1999,0.220141797146357,3,"Eastern Midriff Islands",22.0141797146357
"region_7",1999,0.264004151663449,2,"Southern Sonora Coast",26.4004151663449
"region_4",2000,0.427736124903852,24,"Western Southern Gulf",42.7736124903852
"region_4",2001,0.34157078911807,27,"Western Southern Gulf",34.157078911807
"region_4",2002,0.389147794978708,20,"Western Southern Gulf",38.9147794978708
"region_4",2003,0.385263314211999,20,"Western Southern Gulf",38.5263314211999
"region_4",2004,0.353709871266738,22,"Western Southern Gulf",35.3709871266738
"region_2",2005,0.112262366247094,8,"Western Midriff Islands",11.2262366247094
"region_4",2005,0.337139993307605,21,"Western Southern Gulf",33.7139993307605
"region_2",2006,0.320160459888497,8,"Western Midriff Islands",32.0160459888497
"region_4",2006,0.415227281406616,22,"Western Southern Gulf",41.5227281406616
"region_2",2007,0.19221049135458,8,"Western Midriff Islands",19.221049135458
"region_4",2007,0.36854235548481,22,"Western Southern Gulf",36.854235548481
"region_2",2008,0.138433127321191,20,"Western Midriff Islands",13.8433127321191
"region_4",2008,0.37856648536836,20,"Western Southern Gulf",37.856648536836
"region_2",2009,0.254781456307629,13,"Western Midriff Islands",25.4781456307629
"region_3",2009,0.301767887163392,9,"Western Central Gulf",30.1767887163392
"region_4",2009,0.380779890265923,57,"Western Southern Gulf",38.0779890265923
"region_6",2009,0.269214963324379,5,"Eastern Midriff Islands",26.9214963324379
"region_2",2010,0.217339609299358,13,"Western Midriff Islands",21.7339609299358
"region_3",2010,0.319032951745583,6,"Western Central Gulf",31.9032951745583
"region_4",2010,0.418126840360412,45,"Western Southern Gulf",41.8126840360412
"region_6",2010,0.287214224432375,2,"Eastern Midriff Islands",28.7214224432375
"region_9",2010,0.406805823157099,24,"Southeastern Gulf",40.6805823157099
"region_4",2011,0.406530112452839,74,"Western Southern Gulf",40.6530112452839
"region_4",2012,0.48346062863762,47,"Western Southern Gulf",48.346062863762
"region_4",2013,0.369999608547909,114,"Western Southern Gulf",36.9999608547909
"region_9",2013,0.310399773684954,7,"Southeastern Gulf",31.0399773684954
"region_4",2014,0.456262479256728,68,"Western Southern Gulf",45.6262479256728
"region_4",2015,0.423919238330541,71,"Western Southern Gulf",42.3919238330541
"region_2",2016,0.378128122380678,6,"Western Midriff Islands",37.8128122380678
"region_3",2016,0.534575084196204,3,"Western Central Gulf",53.4575084196204
"region_4",2016,0.3841730338496,72,"Western Southern Gulf",38.41730338496
"region_6",2016,0.195730572410127,2,"Eastern Midriff Islands",19.5730572410127
"region_4",2017,0.447868022179278,71,"Western Southern Gulf",44.7868022179278
"region_4",2018,0.439288743134215,88,"Western Southern Gulf",43.9288743134215
"region_9",2018,0.402349891956076,22,"Southeastern Gulf",40.2349891956076
"region_3",2019,0.158574268678047,20,"Western Central Gulf",15.8574268678047
"region_4",2019,0.420742637318066,85,"Western Southern Gulf",42.0742637318067
"region_4",2020,0.603490425066368,13,"Western Southern Gulf",60.3490425066368
"region_3",2021,0.230758396817066,8,"Western Central Gulf",23.0758396817066
"region_4",2021,0.360116592662724,67,"Western Southern Gulf",36.0116592662724
"region_3",2022,0.295105313504844,10,"Western Central Gulf",29.5105313504844
"region_4",2022,0.340529661013926,65,"Western Southern Gulf",34.0529661013926
"region_2",2023,0.347740258731699,18,"Western Midriff Islands",34.7740258731699
"region_3",2023,0.319753173935379,10,"Western Central Gulf",31.9753173935379
"region_4",2023,0.334412201086926,86,"Western Southern Gulf",33.4412201086926
"region_6",2023,0.297622490561894,6,"Eastern Midriff Islands",29.7622490561894
"region_4",2024,0.293484612017126,74,"Western Southern Gulf",29.3484612017126
"region_3",2025,0.157918307067105,7,"Western Central Gulf",15.7918307067105
"region_4",2025,0.351889400363873,41,"Western Southern Gulf",35.1889400363873
