"year","OHI_region_no","LE_score","CW_score","AO_score","FP_score","NP_score","BD_score","SP_score","TR_score","HS_score","Index_score"
2003,"region_1",53.2586131006126,NA,NA,NA,NA,NA,NA,NA,NA,53.2586131006126
2003,"region_3",27.4261991225896,NA,NA,NA,NA,NA,NA,NA,NA,27.4261991225896
2003,"region_4",46.9202216828614,NA,NA,NA,NA,NA,NA,NA,NA,46.9202216828614
2003,"region_5",58.9877662302301,NA,NA,NA,NA,NA,NA,NA,NA,58.9877662302301
2003,"region_6",44.1672894575592,NA,NA,NA,NA,NA,NA,NA,NA,44.1672894575592
2003,"region_7",61.7499691748183,NA,NA,NA,NA,NA,NA,NA,NA,61.7499691748183
2003,"region_8",55.1694123347888,NA,NA,NA,NA,NA,NA,NA,NA,55.1694123347888
2003,"region_9",42.0039642363966,NA,NA,NA,NA,NA,NA,NA,NA,42.0039642363966
2008,"region_1",52.0807426320616,NA,NA,NA,NA,NA,NA,NA,NA,52.0807426320616
2008,"region_3",80.231860976135,NA,NA,NA,NA,NA,NA,NA,NA,80.231860976135
2008,"region_4",82.6064820299991,NA,NA,NA,NA,NA,NA,NA,NA,82.6064820299991
2008,"region_5",67.2527723542833,NA,NA,NA,NA,NA,NA,NA,NA,67.2527723542833
2008,"region_6",88.661775204043,NA,NA,NA,NA,NA,NA,NA,NA,88.661775204043
2008,"region_7",82.3075731831484,NA,NA,NA,NA,NA,NA,NA,NA,82.3075731831484
2008,"region_8",57.517896960649,NA,NA,NA,NA,NA,NA,NA,NA,57.517896960649
2008,"region_9",49.1911003047876,NA,NA,NA,NA,NA,NA,NA,NA,49.1911003047876
2013,"region_1",60.6519384043751,NA,NA,NA,NA,NA,NA,NA,NA,60.6519384043751
2013,"region_3",88.3443161402683,NA,NA,NA,NA,NA,NA,NA,NA,88.3443161402683
2013,"region_4",70.7994707987548,NA,NA,NA,NA,NA,NA,NA,NA,70.7994707987548
2013,"region_5",61.311161560927,NA,NA,NA,NA,NA,NA,NA,NA,61.311161560927
2013,"region_6",55.6711416334616,NA,NA,NA,NA,NA,NA,NA,NA,55.6711416334616
2013,"region_7",80.3917853148257,NA,NA,NA,NA,NA,NA,NA,NA,80.3917853148257
2013,"region_8",62.0688886888479,NA,NA,NA,NA,NA,NA,NA,NA,62.0688886888479
2013,"region_9",50.0317979739565,NA,NA,NA,NA,NA,NA,NA,NA,50.0317979739565
2017,"region_1",NA,69.4009218023957,NA,NA,NA,NA,NA,NA,NA,69.4009218023957
2017,"region_2",NA,89.9675684494539,NA,NA,NA,NA,NA,NA,NA,89.9675684494539
2017,"region_3",NA,96.3065182705504,NA,NA,NA,NA,NA,NA,NA,96.3065182705504
2017,"region_4",NA,94.4477768027541,NA,NA,NA,NA,NA,NA,NA,94.4477768027541
2017,"region_5",NA,79.3105321693685,NA,NA,NA,NA,NA,NA,NA,79.3105321693685
2017,"region_6",NA,80.4485163038105,NA,NA,NA,NA,NA,NA,NA,80.4485163038105
2017,"region_7",NA,69.4467982158431,NA,NA,NA,NA,NA,NA,NA,69.4467982158431
2017,"region_8",NA,53.4975308932472,NA,NA,NA,NA,NA,NA,NA,53.4975308932472
2017,"region_9",NA,72.0546298460523,NA,NA,NA,NA,NA,NA,NA,72.0546298460523
2018,"region_1",78.0835207237352,74.0873714129127,96.4527106319,99.0046072997678,35.1503118849688,NA,NA,NA,NA,76.5557043906569
2018,"region_2",NA,92.5712755438674,84.0437010727031,90.3880986342245,61.5027513071331,NA,NA,NA,NA,82.126456639482
2018,"region_3",90.1102065060589,96.2043820274758,84.1254032922608,79.3924505004851,15.019932565566,NA,NA,NA,NA,72.9704749783693
2018,"region_4",100,94.6711568767524,84.7912652285576,75.5620628157334,56.3028713270003,NA,NA,NA,NA,82.2654712496087
2018,"region_5",80.5546975347216,86.3456807047657,75.537949040305,83.0568180644588,72.7313101585638,NA,NA,NA,NA,79.645291100563
2018,"region_6",87.1796629347108,84.866497675708,87.3328898419442,26.9559947222304,17.2402503495331,NA,NA,NA,NA,60.7150591048253
2018,"region_7",81.8913700222414,69.4054542087764,88.1114373428309,71.9501090352346,50.5170959219035,NA,NA,NA,NA,72.3750933061974
2018,"region_8",80.4236899384921,58.1231295970968,90.6184732346479,80.0039272705311,68.9770285025059,NA,NA,NA,NA,75.6292497086548
2018,"region_9",77.5807515303574,75.2001081171693,67.7669327475723,65.7833786350128,38.5257667052396,NA,NA,NA,NA,64.9713875470703
2018,NA,NA,NA,78.7411893425165,NA,NA,NA,NA,NA,NA,78.7411893425165
2019,"region_1",NA,73.1891136265657,91.4140326444188,98.7455352570227,12.5381431534479,76.3719788682993,61.9857142857143,46.1740261758449,NA,65.7740777159019
2019,"region_2",NA,91.8456308843922,82.4639095613706,87.497895720524,72.8322862174285,74.0213305842438,74.4400908119658,52.5884062807761,NA,76.5270785801001
2019,"region_3",NA,96.1826570476746,82.9869462869131,80.1499346928182,64.4904397370646,77.5119113289924,77.0064484126984,66.7430545675336,NA,77.8673417248136
2019,"region_4",NA,94.4893221026749,87.3612942031549,76.5216171007817,50.0951510095226,74.9247644574545,74.5415029371149,62.2812268497756,NA,74.3164112372113
2019,"region_5",NA,84.892414251715,98.3927304061566,97.88669149926,55.5042433770118,63.6737581603929,63.962074829932,63.9801232952773,NA,75.4702908313922
