year,OHI_region_no,BD_score,goal
2019,region_1,76.3719788682993,biodiversity
2019,region_2,74.0213305842438,biodiversity
2019,region_3,77.5119113289924,biodiversity
2019,region_4,74.9247644574545,biodiversity
2019,region_5,63.6737581603929,biodiversity
2019,region_6,76.1579575385855,biodiversity
2019,region_7,74.777142849945207,biodiversity
2019,region_8,64.7469294896802,biodiversity
2019,region_9,68.0403751250913,biodiversity
2020,region_1,77.5083711371533,biodiversity
2020,region_2,74.5380074261785,biodiversity
2020,region_3,75.5833476202023,biodiversity
2020,region_4,75.9962148257245,biodiversity
2020,region_5,67.0747890364042,biodiversity
2020,region_6,77.1968716917148,biodiversity
2020,region_7,75.1165373638,biodiversity
2020,region_8,65.3586235335364,biodiversity
2020,region_9,68.3237289850692,biodiversity
2021,region_1,76.941757906983,biodiversity
2021,region_2,75.3554991885009,biodiversity
2021,region_3,75.100965860627,biodiversity
2021,region_4,75.4484288047316,biodiversity
2021,region_5,65.8552479406596,biodiversity
2021,region_6,77.4005048751553,biodiversity
2021,region_7,75.0786351539858,biodiversity
2021,region_8,64.6325027339014,biodiversity
2021,region_9,67.7401813815114,biodiversity
2022,region_1,77.5861370291699,biodiversity
2022,region_2,75.6070417572939,biodiversity
2022,region_3,76.3865776946142,biodiversity
2022,region_4,74.9323815750529,biodiversity
2022,region_5,68.5233272655189,biodiversity
2022,region_6,79.3928177437833,biodiversity
2022,region_7,76.1438253221059,biodiversity
2022,region_8,66.0936250048773,biodiversity
2022,region_9,68.6991118819383,biodiversity
2023,region_1,76.3351550414613,biodiversity
2023,region_2,76.0342934351972,biodiversity
2023,region_3,77.5655917513262,biodiversity
2023,region_4,73.0690363958281,biodiversity
2023,region_5,66.6683483080078,biodiversity
2023,region_6,79.4436796278348,biodiversity
2023,region_7,75.014184931929,biodiversity
2023,region_8,66.3493561584221,biodiversity
2023,region_9,68.5886615651589,biodiversity
2024,region_1,76.9208098569473,biodiversity
2024,region_2,74.7944908731851,biodiversity
2024,region_3,77.6820688981771,biodiversity
2024,region_4,72.5243863126886,biodiversity
2024,region_5,66.9763830662527,biodiversity
2024,region_6,79.5231222135226,biodiversity
2024,region_7,74.8150231437257,biodiversity
2024,region_8,65.8634783132654,biodiversity
2024,region_9,67.9427665438055,biodiversity
2025,region_1,76.7734451071828,biodiversity
2025,region_2,74.241110881615,biodiversity
2025,region_3,76.2932566656714,biodiversity
2025,region_4,72.5293372233556,biodiversity
2025,region_5,69.2116102549713,biodiversity
2025,region_6,79.9623832525731,biodiversity
2025,region_7,74.3865675480579,biodiversity
2025,region_8,64.9841281871265,biodiversity
2025,region_9,67.4761708958179,biodiversity
