year,OHI_region_no,CW_score,goal
2017,region_1,69.40092180239566,clean_waters
2018,region_1,74.08737141291274,clean_waters
2019,region_1,73.18911362656566,clean_waters
2020,region_1,75.34887959013385,clean_waters
2021,region_1,74.86253268035074,clean_waters
2022,region_1,77.69162687478467,clean_waters
2023,region_1,75.47017729629886,clean_waters
2024,region_1,74.59531544179994,clean_waters
2025,region_1,76.17904630338474,clean_waters
2017,region_2,89.96756844945395,clean_waters
2018,region_2,92.57127554386736,clean_waters
2019,region_2,91.84563088439216,clean_waters
2020,region_2,94.55436789065187,clean_waters
2021,region_2,94.86123445954136,clean_waters
2022,region_2,96.2389921949722,clean_waters
2023,region_2,97.36846866996704,clean_waters
2024,region_2,94.9819695798198,clean_waters
2025,region_2,94.30437334810354,clean_waters
2017,region_3,96.30651827055038,clean_waters
2018,region_3,96.20438202747582,clean_waters
2019,region_3,96.18265704767458,clean_waters
2020,region_3,96.3938949626999,clean_waters
2021,region_3,96.57411853236744,clean_waters
2022,region_3,97.21513376132734,clean_waters
2023,region_3,97.52794065576926,clean_waters
2024,region_3,97.5519235696131,clean_waters
2025,region_3,97.01387609006574,clean_waters
2017,region_4,94.4477768027541,clean_waters
2018,region_4,94.67115687675242,clean_waters
2019,region_4,94.48932210267488,clean_waters
2020,region_4,94.52659309818006,clean_waters
2021,region_4,94.55871152225204,clean_waters
2022,region_4,94.86404269926288,clean_waters
2023,region_4,95.2402486541798,clean_waters
2024,region_4,94.86500365006022,clean_waters
2025,region_4,94.20515222762484,clean_waters
2017,region_5,79.31053216936854,clean_waters
2018,region_5,86.34568070476568,clean_waters
2019,region_5,84.89241425171498,clean_waters
2020,region_5,91.58886430106963,clean_waters
2021,region_5,89.90318606564037,clean_waters
2022,region_5,92.79735061179186,clean_waters
2023,region_5,91.72377483627562,clean_waters
2024,region_5,92.70300112184913,clean_waters
2025,region_5,94.46669311795648,clean_waters
2017,region_6,80.448516303810493,clean_waters
2018,region_6,84.86649767570805,clean_waters
2019,region_6,84.78187953043246,clean_waters
2020,region_6,88.32501645652758,clean_waters
2021,region_6,87.07153436171626,clean_waters
2022,region_6,91.32699024258346,clean_waters
2023,region_6,89.6471727115471,clean_waters
2024,region_6,89.93985003325129,clean_waters
2025,region_6,89.57968749313673,clean_waters
2017,region_7,69.44679821584309,clean_waters
2018,region_7,69.40545420877643,clean_waters
2019,region_7,71.80711463303092,clean_waters
2020,region_7,78.33828245582258,clean_waters
2021,region_7,79.08631732750564,clean_waters
2022,region_7,85.0192446262077,clean_waters
2023,region_7,79.0848797038912,clean_waters
2024,region_7,81.7973595405701,clean_waters
2025,region_7,69.783360214475607,clean_waters
2017,region_8,53.49753089324716,clean_waters
2018,region_8,58.12312959709676,clean_waters
2019,region_8,60.34008922444282,clean_waters
2020,region_8,66.74023883236585,clean_waters
2021,region_8,63.77291647190639,clean_waters
2022,region_8,72.77841463569031,clean_waters
2023,region_8,68.42272753812797,clean_waters
2024,region_8,71.71003725010192,clean_waters
2025,region_8,70.33114186190011,clean_waters
2017,region_9,72.05462984605234,clean_waters
2018,region_9,75.20010811716934,clean_waters
2019,region_9,75.59942886602018,clean_waters
2020,region_9,76.19296641471763,clean_waters
2021,region_9,76.06152516890072,clean_waters
2022,region_9,77.03846610843327,clean_waters
2023,region_9,77.42408846490578,clean_waters
2024,region_9,69.57168037107064,clean_waters
2025,region_9,71.97696583134596,clean_waters
