year,OHI_region_no,FP_score,goal
2018,region_1,99.0046072997678,food_provisioning
2018,region_2,90.3880986342245,food_provisioning
2018,region_3,79.3924505004851,food_provisioning
2018,region_4,75.5620628157334,food_provisioning
2018,region_5,83.0568180644588,food_provisioning
2018,region_6,26.9559947222304,food_provisioning
2018,region_7,71.9501090352346,food_provisioning
2018,region_8,80.0039272705311,food_provisioning
2018,region_9,65.7833786350128,food_provisioning
2019,region_1,98.7455352570227,food_provisioning
2019,region_2,87.497895720524,food_provisioning
2019,region_3,80.1499346928182,food_provisioning
2019,region_4,76.5216171007817,food_provisioning
2019,region_5,97.88669149926,food_provisioning
2019,region_6,33.0040379264195,food_provisioning
2019,region_7,67.6619122984045,food_provisioning
2019,region_8,76.8796495258303,food_provisioning
2019,region_9,71.1418469720603,food_provisioning
2020,region_1,98.3777213317065,food_provisioning
2020,region_2,95.1503691957626,food_provisioning
2020,region_3,77.0819595470409,food_provisioning
2020,region_4,71.7382825327628,food_provisioning
2020,region_5,97.811769662009,food_provisioning
2020,region_6,30.9817146250751,food_provisioning
2020,region_7,71.2010460976017,food_provisioning
2020,region_8,76.4451500191808,food_provisioning
2020,region_9,64.5958778160919,food_provisioning
2021,region_1,81.6068328273876,food_provisioning
2021,region_2,92.8922881992666,food_provisioning
2021,region_3,81.5205312471676,food_provisioning
2021,region_4,70.111288970621,food_provisioning
2021,region_5,74.9947433440428,food_provisioning
2021,region_6,33.89689993403,food_provisioning
2021,region_7,80.7460753058621,food_provisioning
2021,region_8,74.6393873154657,food_provisioning
2021,region_9,62.4950771017474,food_provisioning
2022,region_1,62.9200546939025,food_provisioning
2022,region_2,92.1205112158334,food_provisioning
2022,region_3,71.0133060749113,food_provisioning
2022,region_4,69.0660671723319,food_provisioning
2022,region_5,78.1895293750795,food_provisioning
2022,region_6,34.6354957628002,food_provisioning
2022,region_7,66.4294154553881,food_provisioning
2022,region_8,75.1434963664941,food_provisioning
2022,region_9,61.4704217407073,food_provisioning
2023,region_1,57.0302038771914,food_provisioning
2023,region_2,87.9773283537502,food_provisioning
2023,region_3,59.5293727141935,food_provisioning
2023,region_4,65.3545930527196,food_provisioning
2023,region_5,81.3949760783322,food_provisioning
2023,region_6,32.2792552382915,food_provisioning
2023,region_7,64.8649578716924,food_provisioning
2023,region_8,74.2357627865434,food_provisioning
2023,region_9,63.2235331512127,food_provisioning
2024,region_1,50.9659650515643,food_provisioning
2024,region_2,80.3653879278378,food_provisioning
2024,region_3,58.9407468824658,food_provisioning
2024,region_4,66.8129187593876,food_provisioning
2024,region_5,78.3229776090355,food_provisioning
2024,region_6,32.7955725743912,food_provisioning
2024,region_7,59.9712374760736,food_provisioning
2024,region_8,75.8768286305268,food_provisioning
2024,region_9,58.1794547573001,food_provisioning
