year,OHI_region_no,LE_score,goal
2003,region_1,56.63070791544049,livelihoods_economies
2003,region_2,NA,livelihoods_economies
2003,region_3,26.27300010635488,livelihoods_economies
2003,region_4,46.92022168286138,livelihoods_economies
2003,region_5,63.61708377247367,livelihoods_economies
2003,region_6,48.60282933028411,livelihoods_economies
2003,region_7,66.53758680865359,livelihoods_economies
2003,region_8,64.57837485167539,livelihoods_economies
2003,region_9,57.80484601773275,livelihoods_economies
2004,region_1,56.304208594192446,livelihoods_economies
2004,region_2,NA,livelihoods_economies
2004,region_3,37.064772280310905,livelihoods_economies
2004,region_4,54.05747375228893,livelihoods_economies
2004,region_5,65.1627928652951,livelihoods_economies
2004,region_6,57.737385400184095,livelihoods_economies
2004,region_7,70.53030610793327,livelihoods_economies
2004,region_8,64.70326603008805,livelihoods_economies
2004,region_9,58.713782306789724,livelihoods_economies
2005,region_1,55.97770927294441,livelihoods_economies
2005,region_2,NA,livelihoods_economies
2005,region_3,47.856544454266924,livelihoods_economies
2005,region_4,61.194725821716474,livelihoods_economies
2005,region_5,66.70850195811653,livelihoods_economies
2005,region_6,66.87194147008408,livelihoods_economies
2005,region_7,74.52302540721294,livelihoods_economies
2005,region_8,64.8281572085007,livelihoods_economies
2005,region_9,59.6227185958467,livelihoods_economies
2006,region_1,55.651209951696366,livelihoods_economies
2006,region_2,NA,livelihoods_economies
2006,region_3,58.64831662822295,livelihoods_economies
2006,region_4,68.33197789114402,livelihoods_economies
2006,region_5,68.25421105093795,livelihoods_economies
2006,region_6,76.00649753998407,livelihoods_economies
2006,region_7,78.51574470649263,livelihoods_economies
2006,region_8,64.95304838691337,livelihoods_economies
2006,region_9,60.53165488490367,livelihoods_economies
2007,region_1,55.32471063044833,livelihoods_economies
2007,region_2,NA,livelihoods_economies
2007,region_3,69.44008880217898,livelihoods_economies
2007,region_4,75.46922996057157,livelihoods_economies
2007,region_5,69.79992014375938,livelihoods_economies
2007,region_6,85.14105360988405,livelihoods_economies
2007,region_7,82.50846400577231,livelihoods_economies
2007,region_8,65.07793956532602,livelihoods_economies
2007,region_9,61.44059117396065,livelihoods_economies
2008,region_1,54.998211309200286,livelihoods_economies
2008,region_2,NA,livelihoods_economies
2008,region_3,80.231860976135,livelihoods_economies
2008,region_4,82.60648202999911,livelihoods_economies
2008,region_5,71.3456292365808,livelihoods_economies
2008,region_6,94.27560967978404,livelihoods_economies
2008,region_7,86.50118330505198,livelihoods_economies
2008,region_8,65.20283074373867,livelihoods_economies
2008,region_9,62.34952746301762,livelihoods_economies
2009,region_1,57.342711450251805,livelihoods_economies
2009,region_2,NA,livelihoods_economies
2009,region_3,82.30883338442364,livelihoods_economies
2009,region_4,80.140414131277,livelihoods_economies
2009,region_5,70.44496751317075,livelihoods_economies
2009,region_6,87.34652478680276,livelihoods_economies
2009,region_7,86.39156728140878,livelihoods_economies
2009,region_8,65.90103142069523,livelihoods_economies
2009,region_9,61.896528538668036,livelihoods_economies
2010,region_1,59.687211591303324,livelihoods_economies
2010,region_2,NA,livelihoods_economies
2010,region_3,84.38580579271228,livelihoods_economies
2010,region_4,77.67434623255488,livelihoods_economies
2010,region_5,69.54430578976068,livelihoods_economies
2010,region_6,80.4174398938215,livelihoods_economies
