city,CVE_ENT,CVE_MUN,CVE_LOC
La Paz,3,3,1
La Paz,3,3,92
La Paz,3,3,108
Los Cabos,3,8,1
Los Cabos,3,8,54
Loreto,3,9,1
Heroica Mulegé,3,2,97
Santa Rosalía,3,2,1
San Felipe,2,2,284
Golfo de Santa Clara,26,55,11
Puerto Peñasco,26,48,1
Puerto Libertad,26,47,65
Bahía de Kino,26,30,137
San Carlos Nuevo Guaymas,26,29,25
Guaymas,26,29,1
Empalme,26,25,1
Bahía de Lobos,26,72,17
Paredón Colorado,26,71,139
Yavaros (Isla las Viejas),26,33,99
El Colorado,25,1,119
Topolobampo,25,1,240
Ejiodo Cerro Cabezon,25,11,65
La Reforma,25,2,93
Mazatlán,25,12,1
Teacapán,25,9,60
San Blas,18,12,1
La Colonia,18,4,322
La Peñita de Jaltemba,18,4,128
La Peñita de Jaltemba,18,4,154
Sayulita,18,20,92
La Cruz de Huanacaxtle,18,20,27
Bucerías,18,20,13
Mezcales,18,20,53
Las Jarretaderas,18,20,43
Las Juntas,14,67,31
Puerto Vallarta,14,67,1
Puerto Vallarta,14,67,9
Los Barriles,3,3,392
Los Barriles,3,3,1630
Nuevo Vallarta,18,20,59
Punta Mita,18,20,106
Lo de Marcos,18,20,46
Higuera Blanca,18,20,41
Flamingos,18,20,24
La Ribera,3,8,217
Altata,25,18,6
Yelapa,14,20,70
