city,CVE_ENT,CVE_MUN,CVE_LOC,NOM_MUN,ID_Beach,Name,length_km,equitable_access_score,Category,urban_rural,largely_gated_blocked,malecon,public_roads_within_1km,vehicle,public_transportation,parking,number_paths,protected_fee,notes
Los Barriles,3,3,392,La Paz,243,NA,22.207520612167425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,392,La Paz,244,NA,0.9614008352881077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,392,La Paz,245,NA,3.4178669874525553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,392,La Paz,246,NA,3.907804074431511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,1630,La Paz,391,NA,1.502771682434745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,1630,La Paz,392,NA,0.23033531872545385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,1630,La Paz,393,NA,0.8048258146497695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,1630,La Paz,394,NA,2.154614433355282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,1630,La Paz,395,NA,1.367158931929958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,1630,La Paz,396,NA,0.3751428537518912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,392,La Paz,577,NA,1.2756501529972448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,1630,La Paz,578,NA,30.647477389649517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,392,La Paz,625,NA,6.109783501886043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Barriles,3,3,392,La Paz,626,NA,3.5291179967386435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
