city,slug,refetch_osm,n_localities,n_beaches,n_roads_inegi,n_paths_osm,n_roads_osm,n_parking_osm,n_sites_inegi,n_mpa
Altata,altata,FALSE,1,31,571,30,0,0,1,1
Bahía de Kino,bahia_de_kino,FALSE,1,17,1756,32,0,455,1,1
Bahía de Lobos,bahia_de_lobos,FALSE,1,11,448,3,0,0,0,1
Bucerías,bucerias,FALSE,1,97,24633,1478,0,106,4,1
Ejiodo Cerro Cabezon,ejiodo_cerro_cabezon,FALSE,1,53,2071,11,0,7,1,1
El Colorado,el_colorado,FALSE,1,9,470,3,0,0,0,1
Empalme,empalme,FALSE,1,47,5451,162,0,12,3,1
Flamingos,flamingos,FALSE,1,94,24656,1439,0,101,4,1
Golfo de Santa Clara,golfo_de_santa_clara,FALSE,1,3,143,11,0,0,1,3
Guaymas,guaymas,FALSE,1,66,5459,198,0,17,4,1
Heroica Mulegé,heroica_mulege,FALSE,1,19,397,32,0,1,3,1
Higuera Blanca,higuera_blanca,FALSE,1,70,4452,549,0,24,1,2
La Colonia,la_colonia,FALSE,1,30,3893,203,0,3,4,1
La Cruz de Huanacaxtle,la_cruz_de_huanacaxtle,FALSE,1,90,19275,1229,0,95,4,2
La Paz,la_paz,FALSE,3,44,18638,443,0,91,9,3
La Peñita de Jaltemba,la_penita_de_jaltemba,FALSE,2,39,4062,213,0,3,4,1
La Reforma,la_reforma,FALSE,1,7,1647,30,0,0,1,1
La Ribera,la_ribera,FALSE,1,6,569,142,0,2,0,2
Las Jarretaderas,las_jarretaderas,FALSE,1,76,23871,1343,0,97,5,1
Las Juntas,las_juntas,FALSE,1,67,23916,1327,0,97,4,2
Lo de Marcos,lo_de_marcos,FALSE,1,43,3633,285,0,2,2,1
Loreto,loreto,FALSE,1,10,2163,166,0,8,4,4
Los Barriles,los_barriles,FALSE,2,14,1018,172,0,1,3,2
Los Cabos,los_cabos,FALSE,2,31,5128,1369,0,197,4,1
Mazatlán,mazatlan,FALSE,1,13,13985,1013,0,107,1,3
Mezcales,mezcales,FALSE,1,76,24082,1341,0,97,4,2
Nuevo Vallarta,nuevo_vallarta,FALSE,1,82,24010,1356,0,98,5,1
Paredón Colorado,paredon_colorado,FALSE,1,11,2251,13,0,0,0,1
Puerto Libertad,puerto_libertad,FALSE,1,7,42,0,0,0,1,0
Puerto Peñasco,puerto_penasco,FALSE,1,7,8927,126,0,40,2,2
Puerto Vallarta,puerto_vallarta,FALSE,2,87,24308,1450,0,98,5,2
Punta Mita,punta_mita,FALSE,1,62,3329,277,0,13,1,2
San Blas,san_blas,FALSE,1,30,2805,120,0,26,3,1
San Carlos Nuevo Guaymas,san_carlos_nuevo_guaymas,FALSE,1,69,3484,189,0,15,4,1
San Felipe,san_felipe,FALSE,1,4,882,53,0,2,2,1
Santa Rosalía,santa_rosalia,FALSE,1,10,359,135,0,3,3,2
Sayulita,sayulita,FALSE,1,75,5117,610,0,24,1,2
Teacapán,teacapan,FALSE,1,7,1099,10,0,0,1,1
Topolobampo,topolobampo,FALSE,1,58,6575,176,0,21,1,1
Yavaros (Isla las Viejas),yavaros_isla_las_viejas,FALSE,1,12,2605,49,0,10,1,1
Yelapa,yelapa,FALSE,1,42,437,176,0,3,1,0
