ID_beach,name,bus_access,footways,blockages,malecon,parking,roads,accessibility_score,region
1919,Playa Olas Altas,yes,4,none,yes,difficult,yes,10,Mazatlan
1354,Playa Los Pinitos,yes,4,none,yes,moderate,yes,10,Mazatlan
1353,Playa Norte,yes,30,none,yes,moderate,yes,10,Mazatlan
1918,Playa Gaviotas,yes,1,high,no,difficult,yes,3,Mazatlan
1352,Playa Sabalo,yes,8,medium,no,difficult,yes,5,Mazatlan
1388,Playa Atun,yes,4,medium,no,easy,yes,5,Mazatlan
1724,Playa Punta del sabalo,yes,2,medium,no,moderate,yes,5,Mazatlan
1351,Faro Mazatlan Beach Resort,no,0,obstructed,no,none,no,0,Mazatlan
1350,Playa Ceritos,yes,13,medium,no,easy,yes,10,Mazatlan
1348,Playa La Escopama,no,NA,none,no,easy,yes,9,Mazatlan
