year,state,mdp_total,mdp_inspeccion,pop_censo2020,source,mdp_insp_per_100k
2018,Baja California,6.026,6.026,3769020,INEGI Censo 2020,0.15988240975107587
2018,Baja California Sur,3.572,3.572,798447,INEGI Censo 2020,0.44736845401134956
2018,Jalisco,3.29,3.29,8348151,INEGI Censo 2020,0.0394099244251811
2018,Nayarit,2.162,2.162,1235456,INEGI Censo 2020,0.17499611479486116
2018,Sinaloa,3.29,3.29,3026943,INEGI Censo 2020,0.10869051713230146
2018,Sonora,6.0164,6.0164,2944840,INEGI Censo 2020,0.20430312003368603
2019,Baja California,4.282141,4.282141,3769020,INEGI Censo 2020,0.11361417556818484
2019,Baja California Sur,2.540108,2.540108,798447,INEGI Censo 2020,0.31813107194341017
2019,Jalisco,2.336785,2.336785,8348151,INEGI Censo 2020,0.02799164749176195
2019,Nayarit,1.535998,1.535998,1235456,INEGI Censo 2020,0.12432640255905511
2019,Sinaloa,2.338911,2.338911,3026943,INEGI Censo 2020,0.07726974046092047
2019,Sonora,4.274523,4.274523,2944840,INEGI Censo 2020,0.1451529794487986
2020,Baja California,4.282141,4.282141,3769020,INEGI Censo 2020,0.11361417556818484
2020,Baja California Sur,2.540108,2.540108,798447,INEGI Censo 2020,0.31813107194341017
2020,Jalisco,2.336785,2.336785,8348151,INEGI Censo 2020,0.02799164749176195
2020,Nayarit,1.535998,1.535998,1235456,INEGI Censo 2020,0.12432640255905511
2020,Sinaloa,2.5263560000000003,2.5263560000000003,3026943,INEGI Censo 2020,0.08346229182379715
2020,Sonora,4.274523,4.274523,2944840,INEGI Censo 2020,0.1451529794487986
2021,Baja California,3.10155,3.10155,3769020,INEGI Censo 2020,0.08229062196539154
2021,Baja California Sur,1.925506,1.925506,798447,INEGI Censo 2020,0.2411563948515055
2021,Jalisco,1.849878,1.849878,8348151,INEGI Censo 2020,0.022159134399940775
2021,Nayarit,1.129427,1.129427,1235456,INEGI Censo 2020,0.09141782467364276
2021,Sinaloa,1.856307,1.856307,3026943,INEGI Censo 2020,0.06132613002623438
2021,Sonora,3.409162,3.409162,2944840,INEGI Censo 2020,0.11576730824085517
2022,Baja California,3.21795,3.21795,3769020,INEGI Censo 2020,0.08537895792540236
2022,Baja California Sur,1.997769,1.997769,798447,INEGI Censo 2020,0.25020683902625973
2022,Jalisco,1.919306,1.919306,8348151,INEGI Censo 2020,0.022990791613616
2022,Nayarit,1.171813,1.171813,1235456,INEGI Censo 2020,0.09484862269477828
2022,Sinaloa,1.925974,1.925974,3026943,INEGI Censo 2020,0.06362769302230005
2022,Sonora,3.537109,3.537109,2944840,INEGI Censo 2020,0.1201120943752462
2023,Baja California,3.408941,3.408941,3769020,INEGI Censo 2020,0.09044634944892836
2023,Baja California Sur,2.117309,2.117309,798447,INEGI Censo 2020,0.2651784025739968
2023,Jalisco,2.033712,2.033712,8348151,INEGI Censo 2020,0.02436122681537504
2023,Nayarit,1.244139,1.244139,1235456,INEGI Censo 2020,0.10070281742125985
2023,Sinaloa,2.039061,2.039061,3026943,INEGI Censo 2020,0.06736370655146132
2023,Sonora,3.748554,3.748554,2944840,INEGI Censo 2020,0.12729228073511634
2024,Baja California,3.573444,3.573444,3769020,INEGI Censo 2020,0.09481095881688077
2024,Baja California Sur,2.219484,2.219484,798447,INEGI Censo 2020,0.2779751192001473
2024,Jalisco,2.131852,2.131852,8348151,INEGI Censo 2020,0.025536816475887892
2024,Nayarit,1.304178,1.304178,1235456,INEGI Censo 2020,0.10556248057397431
2024,Sinaloa,2.137459,2.137459,3026943,INEGI Censo 2020,0.07061444500276352
2024,Sonora,3.929448,3.929448,2944840,INEGI Censo 2020,0.1334350253324459
2025,Baja California,3.711022,3.711022,3769020,INEGI Censo 2020,0.0984611915033616
2025,Baja California Sur,2.304934,2.304934,798447,INEGI Censo 2020,0.2886771445067738
2025,Jalisco,2.21393,2.21393,8348151,INEGI Censo 2020,0.026520004250042913
2025,Nayarit,1.354388,1.354388,1235456,INEGI Censo 2020,0.10962656703273932
2025,Sinaloa,2.219752,2.219752,3026943,INEGI Censo 2020,0.07333312850621898
2025,Sonora,4.080732,4.080732,2944840,INEGI Censo 2020,0.13857228236508606
2026,Baja California,2.794996,2.794996,3769020,INEGI Censo 2020,0.07415710184610322
2026,Baja California Sur,1.716717,1.716717,798447,INEGI Censo 2020,0.21500700735302408
2026,Jalisco,1.615595,1.615595,8348151,INEGI Censo 2020,0.01935272852635272
2026,Nayarit,0.994392,0.994392,1235456,INEGI Censo 2020,0.08048785225859927
2026,Sinaloa,1.660114,1.660114,3026943,INEGI Censo 2020,0.05484457421233238
2026,Sonora,3.004061,3.004061,2944840,INEGI Censo 2020,0.10201100908708115
