year,mdp,series
2018,63.58018,DGZFMTAC
2018,693.080235,PROFEPA_admin_001
2018,295.924032,PROFEPA_inspeccion
2018,989.004267,PROFEPA_total
2018,37580.635702,SEMARNAT_Ramo16
2019,48.47954,DGZFMTAC
2019,586.10506,PROFEPA_admin_001
2019,210.058312,PROFEPA_inspeccion
2019,796.163372,PROFEPA_total
2019,31020.459536,SEMARNAT_Ramo16
2020,27.145906,DGZFMTAC
2020,573.555377,PROFEPA_admin_001
2020,219.514279,PROFEPA_inspeccion
2020,793.069656,PROFEPA_total
2020,29869.450777,SEMARNAT_Ramo16
2021,27.230305,DGZFMTAC
2021,583.925685,PROFEPA_admin_001
2021,158.177443,PROFEPA_inspeccion
2021,742.103128,PROFEPA_total
2021,31348.192349,SEMARNAT_Ramo16
2022,40.945993,DGZFMTAC
2022,604.5488349999999,PROFEPA_admin_001
2022,171.92767,PROFEPA_inspeccion
2022,776.476505,PROFEPA_total
2022,40795.855575,SEMARNAT_Ramo16
2023,45.095374,DGZFMTAC
2023,648.301167,PROFEPA_admin_001
2023,182.040191,PROFEPA_inspeccion
2023,830.341358,PROFEPA_total
2023,75627.265287,SEMARNAT_Ramo16
2024,47.002010999999996,DGZFMTAC
2024,708.407496,PROFEPA_admin_001
2024,187.667354,PROFEPA_inspeccion
2024,896.07485,PROFEPA_total
2024,70245.482469,SEMARNAT_Ramo16
2025,43.379444,DGZFMTAC
2025,644.6530359999999,PROFEPA_admin_001
2025,194.892551,PROFEPA_inspeccion
2025,839.545587,PROFEPA_total
2025,44370.522371,SEMARNAT_Ramo16
2026,41.889908999999996,DGZFMTAC
2026,665.219183,PROFEPA_admin_001
2026,161.853115,PROFEPA_inspeccion
2026,827.072298,PROFEPA_total
2026,45564.073902,SEMARNAT_Ramo16
