year,state,mdp
2018,Baja California,21.196244
2018,Baja California Sur,17.841888
2018,Jalisco,25.26207
2018,Nayarit,19.048314
2018,Sinaloa,18.462201
2018,Sonora,16.266146
2019,Baja California,17.957437
2019,Baja California Sur,15.173081
2019,Jalisco,21.543446
2019,Nayarit,16.088721
2019,Sinaloa,15.51812
2019,Sonora,13.091149999999999
2020,Baja California,20.356958
2020,Baja California Sur,15.479858
2020,Jalisco,23.063197
2020,Nayarit,16.957909
2020,Sinaloa,16.275018
2020,Sonora,13.69324
2021,Baja California,20.348115
2021,Baja California Sur,15.491642
2021,Jalisco,22.631719
2021,Nayarit,16.90218
2021,Sinaloa,16.251390999999998
2021,Sonora,13.549593
2022,Baja California,22.204989
2022,Baja California Sur,17.2983
2022,Jalisco,24.357411
2022,Nayarit,18.749796
2022,Sinaloa,17.664226
2022,Sonora,14.235215
2023,Baja California,24.179636
2023,Baja California Sur,18.979138
2023,Jalisco,26.620266
2023,Nayarit,20.577078
2023,Sinaloa,19.386523
2023,Sonora,15.718241
2024,Baja California,25.723212
2024,Baja California Sur,20.214038
2024,Jalisco,28.342174
2024,Nayarit,21.916642
2024,Sinaloa,20.645137000000002
2024,Sonora,16.740118
2025,Baja California,23.837816
2025,Baja California Sur,18.483639
2025,Jalisco,26.072537
2025,Nayarit,20.123306
2025,Sinaloa,18.960576
2025,Sonora,15.398586
2026,Baja California,22.935565999999998
2026,Baja California Sur,18.646366
2026,Jalisco,26.371965
2026,Nayarit,20.102786
2026,Sinaloa,18.850155
2026,Sonora,15.121075000000001
