city,CVE_ENT,CVE_MUN,CVE_LOC,rgn_id,ecorgn
El Colorado,25,1,119,Region_8,Southern_Gulf
Topolobampo,25,1,240,Region_8,Southern_Gulf
Santa Rosalía,3,2,1,Region_3,Central_Gulf
La Reforma,25,2,93,Region_8,Southern_Gulf
Heroica Mulegé,3,2,97,Region_3,Central_Gulf
San Felipe,2,2,284,Region_1,Upper_Gulf
La Paz,3,3,1,Region_4,Southern_Gulf
La Paz,3,3,92,Region_4,Southern_Gulf
La Paz,3,3,108,Region_4,Southern_Gulf
Los Barriles,3,3,392,Region_4,Southern_Gulf
Los Barriles,3,3,1630,Region_4,Southern_Gulf
La Peñita de Jaltemba,18,4,128,Region_9,Southern_Gulf
La Peñita de Jaltemba,18,4,154,Region_9,Southern_Gulf
La Colonia,18,4,322,Region_9,Southern_Gulf
Los Cabos,3,8,1,Region_4,Southern_Gulf
Los Cabos,3,8,54,Region_4,Southern_Gulf
La Ribera,3,8,217,Region_4,Southern_Gulf
Loreto,3,9,1,Region_4,Southern_Gulf
Teacapán,25,9,60,Region_8,Southern_Gulf
Ejiodo Cerro Cabezon,25,11,65,Region_8,Southern_Gulf
San Blas,18,12,1,Region_9,Southern_Gulf
Mazatlán,25,12,1,Region_8,Southern_Gulf
Altata,25,18,6,Region_8,Southern_Gulf
Bucerías,18,20,13,Region_9,Southern_Gulf
Flamingos,18,20,24,Region_9,Southern_Gulf
La Cruz de Huanacaxtle,18,20,27,Region_9,Southern_Gulf
Higuera Blanca,18,20,41,Region_9,Southern_Gulf
Las Jarretaderas,18,20,43,Region_9,Southern_Gulf
Lo de Marcos,18,20,46,Region_9,Southern_Gulf
Mezcales,18,20,53,Region_9,Southern_Gulf
Nuevo Vallarta,18,20,59,Region_9,Southern_Gulf
Yelapa,14,20,70,Region_9,Southern_Gulf
Sayulita,18,20,92,Region_9,Southern_Gulf
Punta Mita,18,20,106,Region_9,Southern_Gulf
Empalme,26,25,1,Region_7,Central_Gulf
Guaymas,26,29,1,Region_7,Central_Gulf
San Carlos Nuevo Guaymas,26,29,25,Region_7,Central_Gulf
Bahía de Kino,26,30,137,Region_6,Midriff_Region
Yavaros (Isla las Viejas),26,33,99,Region_7,Central_Gulf
Puerto Libertad,26,47,65,Region_6,Midriff_Region
Puerto Peñasco,26,48,1,Region_5,Upper_Gulf
Golfo de Santa Clara,26,55,11,Region_5,Upper_Gulf
Puerto Vallarta,14,67,1,Region_9,Southern_Gulf
Puerto Vallarta,14,67,9,Region_9,Southern_Gulf
Las Juntas,14,67,31,Region_9,Southern_Gulf
Paredón Colorado,26,71,139,Region_7,Central_Gulf
Bahía de Lobos,26,72,17,Region_7,Central_Gulf
