CVE_ENT,CVE_MUN,rgn_id,ecorgn,municipality_coded,state,has_local_zofemat_office,n_study_localities,study_localities
25,1,Region_8,Southern_Gulf,Ahome,Sinaloa,unclear,2,El Colorado; Topolobampo
3,2,Region_3,Central_Gulf,Mulegé,Baja California Sur,unclear,2,Heroica Mulegé; Santa Rosalía
25,2,Region_8,Southern_Gulf,Angostura,Sinaloa,no,1,La Reforma
2,2,Region_1,Upper_Gulf,Mexicali,Baja California,unclear,1,San Felipe
3,3,Region_4,Southern_Gulf,La Paz,Baja California Sur,yes,2,La Paz; Los Barriles
18,4,Region_9,Southern_Gulf,Compostela,Nayarit,unclear,2,La Colonia; La Peñita de Jaltemba
3,8,Region_4,Southern_Gulf,Los Cabos,Baja California Sur,yes,2,Los Cabos; La Ribera
3,9,Region_4,Southern_Gulf,Loreto,Baja California Sur,unclear,1,Loreto
25,9,Region_8,Southern_Gulf,Escuinapa,Sinaloa,no,1,Teacapán
25,11,Region_8,Southern_Gulf,Guasave,Sinaloa,no,1,Ejiodo Cerro Cabezon
18,12,Region_9,Southern_Gulf,San Blas,Nayarit,unclear,1,San Blas
25,12,Region_8,Southern_Gulf,Mazatlán,Sinaloa,proposed,1,Mazatlán
25,18,Region_8,Southern_Gulf,Navolato,Sinaloa,no,1,Altata
18,20,Region_9,Southern_Gulf,Bahía de Banderas,Nayarit,yes,10,Sayulita; La Cruz de Huanacaxtle; Bucerías; Mezcales; Las Jarretaderas; Nuevo Vallarta; Punta Mita; Lo de Marcos; Higuera Blanca; Flamingos
14,20,Region_9,Southern_Gulf,Cabo Corrientes,Jalisco,no,1,Yelapa
26,25,Region_7,Central_Gulf,Empalme,Sonora,no,1,Empalme
26,29,Region_7,Central_Gulf,Guaymas,Sonora,unclear,2,San Carlos Nuevo Guaymas; Guaymas
26,30,Region_6,Midriff_Region,Hermosillo,Sonora,unclear,1,Bahía de Kino
26,33,Region_7,Central_Gulf,Huatabampo,Sonora,no,1,Yavaros (Isla las Viejas)
26,47,Region_6,Midriff_Region,Pitiquito,Sonora,no,1,Puerto Libertad
26,48,Region_5,Upper_Gulf,Puerto Peñasco,Sonora,yes,1,Puerto Peñasco
26,55,Region_5,Upper_Gulf,San Luis Río Colorado,Sonora,no,1,Golfo de Santa Clara
14,67,Region_9,Southern_Gulf,Puerto Vallarta,Jalisco,unclear,2,Las Juntas; Puerto Vallarta
26,71,Region_7,Central_Gulf,Benito Juárez,Sonora,no,1,Paredón Colorado
26,72,Region_7,Central_Gulf,San Ignacio Río Muerto,Sonora,no,1,Bahía de Lobos
