ID_Beach,Name,equitable_access_score,notes,Category,urban_rural,largely_gated_blocked,malecon,public_roads_within_1km,vehicle,public_transportation,parking,number_paths,protected_fee
294,"El Mogote (Gulf facing) and East of Peninsula(Las Pacas, Quelele Playa)",10,This beach is accessible by personal car (roads can be rough) or boat. Water taxis are readily available from the malecon and are affordable and reliable.,recreational,rural,no,no,yes,"4WD, boat",watertaxi,informal,,
431,El Mogote (Bay facing),10,This island beach is accessible by boat. Water taxis are readily available from the malecon and are affordable and reliable.,recreational,rural,no,no,no,boat,watertaxi,NA,,
430,El Mogote (Bay facing) Playa del Paraíso,7,"Paraíso del Mar / El Mogote residential-resort development, doesn't seem accessible by car due to being gated, but it is somewhat remote an undeveloped so arrival by vehicle is difficult and many people only access by water taxi",recreational,rural,yes,no,no,boat,watertaxi,none,NA,
428,El Mogote (Bay facing),7,"Paraíso del Mar / El Mogote residential-resort development, doesn't seem accessible by car due to being gated, but it is somewhat remote an undeveloped so arrival by vehicle is difficult and many people only access by water taxi",recreational,rural,yes,no,no,boat,watertaxi,none,NA,
280,El Mogote (Bay facing),10,This beach is accessible by personal car (roads can be rough) or boat. Water taxis are readily available from the malecon and are affordable and reliable.,recreational,rural,no,no,yes,"4WD, boat",watertaxi,informal,,
426,El Mogote (Bay facing),10,This beach is accessible by personal car (roads can be rough) or boat. Water taxis are readily available from the malecon and are affordable and reliable.,recreational,rural,no,no,yes,"4WD, boat",watertaxi,informal,,
425,El Mogote (Bay facing),10,This beach is accessible by personal car (roads can be rough) or boat. Water taxis are readily available from the malecon and are affordable and reliable.,recreational,rural,no,no,yes,"4WD, boat",watertaxi,informal,,
424,"Playa El Mogote (inner bay curve, north of El Comitán)",10,This beach is accessible by personal car (roads can be rough) or boat. Water taxis are readily available from the malecon and are affordable and reliable.,recreational,rural,no,no,yes,"4WD, boat",watertaxi,informal,,
423,Playa El Comitan,10,"There are roads that run along this beach, parking is readily available, there are also walking paths to the beach",recreational,rural,no,no,yes,standard,bus,informal,,
636,Playa El Comitan-Punto Playa Centenario,10,"There are roads that run along this beach, parking is readily available, there are also walking paths to the beach",recreational,urban,no,no,yes,no,bus,informal,,
422,Conchalito-Marina segment,2,Appears gated and blocked access from walls and Sport Club St. Johns,recreational,urban,yes,no,yes,no,NA,none,0,
95,"Playa Conchalito (Playa Cet Mar, Playa La Posada, Playa Barco Hundido)",7,"CETMAR technical high school may limit some access on west end. Additionally, there were large areas that were gated off but there were also highly visible access points (I counted 5).",recreational,urban,partial,no,yes,no,bus,formal,5,
421,Caimancito–Coromuel stretch,10,,recreational,urban,no,no,yes,no,bus,formal,,
420,Playa El Anzuelo,10,"Along the malecon, with bike parking, lots of access, no blockages",recreational,urban,no,yes,yes,no,bus,formal,,
419,Playa El Caimancito,10,"Along the malecon, with bike parking, lots of access, no blockages",recreational,urban,no,yes,yes,no,bus,formal,,
418,Playa El Caimancito,10,"Along the malecon, with bike parking, lots of access, no blockages",recreational,urban,no,yes,yes,no,bus,formal,,
417,Playa El Coromuel,10,Parking and infrastructure,recreational,urban,no,no,yes,no,bus,formal,,
416,Playa El Coromuel,10,Parking and infrastructure,recreational,urban,no,no,yes,no,bus,formal,,
415,Playa El Concha,5,"Considered a private beach club with lots of human-created obstacles between the road and the beach with only one access point., parking across the street, one path that provides access to the beach from street parking",recreational,urban,yes,no,yes,no,NA,informal,1,
414,Playa El Caimancito,5,Gated hotel but parking located near the entrance and  marked entrance,recreational,urban,yes,no,yes,no,NA,none,1,
413,Playa El Caimancito,4,"Gated hotel with no nearby parking and no obvious entry point, but could get in through nearby beach.",recreational,urban,yes,no,yes,no,NA,none,0,
412,Costa Baja Gulf Beach,0,"Gated hotel/club/pier peninsula; Parking is not clearly public (although there may be some informal areas), entry routes appear gated, resort fronted.",recreational,urban,yes,no,yes,no,NA,none,0,
94,Playa El Sonorense and Playa Erendira,10,"Open beaches informal parking; no obstructions, only accessible by car/boat. ",recreational,rural,no,no,yes,standard,no,informal,,
411,Playa Leroke,10,"A little bit of a difficult drive, no public transportation, but a more rural beach experience, near aquaculture farm",recreational,rural,no,no,yes,standard,no,informal,,
410,Playa El Tesoro,10,"A little bit of a difficult drive, no public transportation, but a more rural beach experience, near aquaculture farm",recreational,rural,no,no,yes,standard,no,informal,,
609,Baja Ferries,NA,"Near ferries, not considered a beach",industrial,urban,NA,no,yes,standard,no,,,
409,Playa Pichilingue,10,"A popular beach with locals, requires vehicle, some nearby restaurants.",recreational,rural,no,no,yes,standard,no,informal,,
408,Playa Balandra,10,"This is in a protected area and requires an entry fee for non-residents, but access appears equitable.",protected,rural,NA,no,yes,standard,no,,,yes
407,Playa Balandra,10,"This is in a protected area and requires an entry fee for non-residents, but access appears equitable.",protected,rural,NA,no,yes,standard,no,,,yes
406,Playa Balandra,10,"This is in a protected area and requires an entry fee for non-residents, but access appears equitable.",protected,rural,NA,no,yes,standard,no,,,yes
404,Playa Tecolotito,10,"Requires a 5-10 walk to get the beach, but is accessible.",recreational,rural,no,no,yes,standard,no,informal,,
403,Playa El Tecolote,10,"About a 30-40 minute drive from La Paz, bars/restaurants/rentals",recreational,rural,no,no,yes,standard,no,formal,,
402,Playa Cachimbas,10,"Park at southern Tecolote, Walk 5–10 minutes around rocky point (slightly uneven terrain)",recreational,rural,no,no,yes,standard,no,informal,,
401,Playa el Coyote,10,Requires a vehicle and 35-45 minute drive. Parking and driving are straigthforward.,recreational,rural,no,no,yes,standard,no,informal,,
400,Bahia Valle,9,"There are some large estates that present friction to entry, but there are access points.",recreational,rural,no,no,yes,standard,no,informal,,
399,Playa El Rosario,10,"Rough road, or 4.5 km walk from road, ",recreational,rural,no,no,yes,4WD,no,informal,,
398,Playa Los Muertitos,10,Paved road ends a few km from water. ,recreational,rural,no,no,yes,4WD,no,informal,,
397,Playa El Saltito N,10,"Need all terrain vehicle, no obstacles",recreational,rural,no,no,yes,4WD,no,informal,,
396,Playa El Saltito S,10,"Need all terrain vehicle, no obstacles",recreational,rural,no,no,yes,4WD,no,informal,,
395,Playa El Carrizalito,10,"Need all terrain vehicle, no obstacles",recreational,rural,no,no,yes,4WD,no,informal,,
394,Playa Las Cruces,10,"Some resorts and estates but nothing is gated, roads are accessible, informal street parkign",recreational,rural,no,no,yes,standard,no,informal,,
