city,CVE_ENT,CVE_MUN,CVE_LOC,NOM_MUN,ID_Beach,Name,length_km,equitable_access_score,Category,urban_rural,largely_gated_blocked,malecon,public_roads_within_1km,vehicle,public_transportation,parking,number_paths,protected_fee,notes
Loreto,3,9,1,Loreto,100,NA,9.121573176427493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loreto,3,9,1,Loreto,473,NA,0.2629792098989116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loreto,3,9,1,Loreto,474,NA,0.3090153866496443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loreto,3,9,1,Loreto,475,NA,2.094801432427005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loreto,3,9,1,Loreto,476,NA,5.304879896236463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loreto,3,9,1,Loreto,477,NA,0.7851229874436563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loreto,3,9,1,Loreto,478,NA,2.6126710643709066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loreto,3,9,1,Loreto,479,NA,2.00993788625731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loreto,3,9,1,Loreto,480,NA,1.256310296239402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loreto,3,9,1,Loreto,621,NA,11.073661365022867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
