locality,state,CVE_ENT,municipality_coded,CVE_MUN,inventory_score,inventory_status,inventory_product,n_sites_cited,data_publicly_downloadable,confidence,notes,sources,date_checked
La Paz,Baja California Sur,3,La Paz,3,0.75,completed_not_public,Reglamento de Acceso a Playas / inventario municipal de playas y accesos (ZOFEMAT La Paz); earlier Informe de Playas y sus Accesos,127,no,high,"Cabildo approved beach-access reglamento (2026) that contemplates an official inventory of playas/caminos/accesos (~127 playas cited). Prior PNT request for ZOFEMAT Informe de Playas y sus Accesos (folio 1800776260000005) was refused May 2026 as still a proyecto pending SEMARNAT DGZFMTAC validation — so GIS/data are not publicly released. Score 0.75 = completed/known inventory work but not easily available.",https://hoybcs.com/aprueba-la-paz-reglamento-para-blindar-acceso-libre-a-playas-podran-reportar-bloqueos/; https://oem.com.mx/elsudcaliforniano/local/buscan-blindar-accesos-a-127-playas-de-la-paz-ante-cierres-y-disputas-por-caminos-tradicionales-30521634; https://heraldodemexico.com.mx/nacional/2026/6/4/gobierno-de-milena-quiroga-consolida-el-acceso-libre-playas-para-las-familias-825702.html; https://www.bcsnoticias.mx/ayuntamiento-de-la-paz-avanza-en-reglamento-para-regular-accesos-uso-y-conservacion-de-playas/,2026-07-28
Los Barriles,Baja California Sur,3,La Paz,3,0.75,completed_not_public,Same as La Paz municipio inventory/reglamento,127,no,high,Inherits La Paz municipal inventory status (Los Barriles / El Sargento are localities in La Paz municipio).,https://hoybcs.com/aprueba-la-paz-reglamento-para-blindar-acceso-libre-a-playas-podran-reportar-bloqueos/; https://oem.com.mx/elsudcaliforniano/local/buscan-blindar-accesos-a-127-playas-de-la-paz-ante-cierres-y-disputas-por-caminos-tradicionales-30521634,2026-07-28
Los Cabos,Baja California Sur,3,Los Cabos,8,0.75,completed_not_public,IMPLAN diagnóstico de accesos a playa (2023–2025); transitioning to catálogo oficial; ZOFEMAT Censo Delimitación y Acceso a Playas,132,no,high,"IMPLAN field diagnostic identified 132 beach access points along ~192 km and evaluated conditions (signage services etc.). Official catalog and legal formalization still in progress; PDU previously recognized only 56 urban-corridor accesses. No open shapefile found on IMPLAN datos abiertos for the access catalog. Score 0.75.",https://cabovision.tv/articulo/81762-avanza-implan-en-catalogo-oficial-de-accesos-a-playas-en-los-cabos-identifican-132-puntos-a-lo-largo-del-litoral; https://hoybcs.com/identifican-132-accesos-a-playa-en-los-cabos-trabajan-en-creacion-de-catalogo/; https://cabovision.tv/articulo/81576-ordenamiento-de-playas-y-accesos-a-playas-en-los-cabos; https://www.diarioelindependiente.mx/2026/04/impulsan-en-los-cabos-programa-para-ordenar-y-garantizar-el-acceso-libre-a-playas; https://implanloscabos.mx/datos-abiertos/,2026-07-28
La Ribera,Baja California Sur,3,Los Cabos,8,0.75,completed_not_public,Same as Los Cabos municipio IMPLAN diagnóstico / catálogo,132,no,high,Inherits Los Cabos municipal inventory status (East Cape locality within Los Cabos).,https://cabovision.tv/articulo/81762-avanza-implan-en-catalogo-oficial-de-accesos-a-playas-en-los-cabos-identifican-132-puntos-a-lo-largo-del-litoral,2026-07-28
Loreto,Baja California Sur,3,Loreto,9,0,none_found,none,,no,medium,No municipal beach-access inventory or atlas found in web search (only general tourism/ZOFEMAT delimitation layers).,https://geomaticasig1.semarnat.gob.mx/arcgis/rest/services/zofem/Delimitaciones_ZOFEMAT/MapServer,2026-07-28
Heroica Mulegé,Baja California Sur,3,Mulegé,2,0,none_found,none,,no,medium,No municipal beach-access inventory found.,,2026-07-28
Santa Rosalía,Baja California Sur,3,Mulegé,2,0,none_found,none,,no,medium,No municipal beach-access inventory found.,,2026-07-28
San Felipe,Baja California,2,Mexicali,2,0,none_found,none,,no,medium,No municipal beach-access inventory found for San Felipe / Mexicali coding.,,2026-07-28
Golfo de Santa Clara,Sonora,26,San Luis Río Colorado,55,0,none_found,none,,no,medium,No municipal beach-access inventory found.,,2026-07-28
Puerto Peñasco,Sonora,26,Puerto Peñasco,48,0.5,in_review,Plan Maestro para Control de Accesos a Playas de Puerto Peñasco,147,no,high,"ZOFEMAT Peñasco reported ~147 access points on ~157 km coast; plan ~90% complete awaiting Cabildo approval and SEMARNAT validation/delimitation. Not published as downloadable GIS. Score 0.5 = in review.",https://www.elimparcial.com/son/sonora/2024/08/16/trabajan-en-plan-para-garantizar-libre-acceso-a-playas-de-penasco/,2026-07-28
Puerto Libertad,Sonora,26,Pitiquito,47,0,none_found,none,,no,medium,No municipal beach-access inventory found.,,2026-07-28
Bahía de Kino,Sonora,26,Hermosillo,30,0,none_found,none,,no,medium,No Hermosillo/Kino municipal access inventory found (only tourism guides).,,2026-07-28
San Carlos Nuevo Guaymas,Sonora,26,Guaymas,29,0,none_found,none,,no,medium,No Guaymas municipal beach-access inventory found (tourism guides only).,,2026-07-28
Guaymas,Sonora,26,Guaymas,29,0,none_found,none,,no,medium,No Guaymas municipal beach-access inventory found.,,2026-07-28
Empalme,Sonora,26,Empalme,25,0,none_found,none,,no,low,No Empalme municipal beach-access inventory found.,,2026-07-28
Bahía de Lobos,Sonora,26,San Ignacio Río Muerto,72,0,none_found,none,,no,low,No municipal beach-access inventory found.,,2026-07-28
Paredón Colorado,Sonora,26,Benito Juárez,71,0,none_found,none,,no,low,No municipal beach-access inventory found.,,2026-07-28
