locality,state,CVE_ENT,municipality_coded,CVE_MUN,CVE_LOC_list
La Paz,Baja California Sur,3,La Paz,3,1;92;108
Los Cabos,Baja California Sur,3,Los Cabos,8,1;54
Loreto,Baja California Sur,3,Loreto,9,1
Heroica Mulegé,Baja California Sur,3,Mulegé,2,97
Santa Rosalía,Baja California Sur,3,Mulegé,2,1
San Felipe,Baja California,2,Mexicali,2,284
Golfo de Santa Clara,Sonora,26,San Luis Río Colorado,55,11
Puerto Peñasco,Sonora,26,Puerto Peñasco,48,1
Puerto Libertad,Sonora,26,Pitiquito,47,65
Bahía de Kino,Sonora,26,Hermosillo,30,137
San Carlos Nuevo Guaymas,Sonora,26,Guaymas,29,25
Guaymas,Sonora,26,Guaymas,29,1
Empalme,Sonora,26,Empalme,25,1
Bahía de Lobos,Sonora,26,San Ignacio Río Muerto,72,17
Paredón Colorado,Sonora,26,Benito Juárez,71,139
Yavaros (Isla las Viejas),Sonora,26,Huatabampo,33,99
El Colorado,Sinaloa,25,Ahome,1,119
Topolobampo,Sinaloa,25,Ahome,1,240
Ejiodo Cerro Cabezon,Sinaloa,25,Guasave,11,65
La Reforma,Sinaloa,25,Angostura,2,93
Mazatlán,Sinaloa,25,Mazatlán,12,1
Teacapán,Sinaloa,25,Escuinapa,9,60
San Blas,Nayarit,18,San Blas,12,1
La Colonia,Nayarit,18,Compostela,4,322
La Peñita de Jaltemba,Nayarit,18,Compostela,4,128;154
Sayulita,Nayarit,18,Bahía de Banderas,20,92
La Cruz de Huanacaxtle,Nayarit,18,Bahía de Banderas,20,27
Bucerías,Nayarit,18,Bahía de Banderas,20,13
Mezcales,Nayarit,18,Bahía de Banderas,20,53
Las Jarretaderas,Nayarit,18,Bahía de Banderas,20,43
Las Juntas,Jalisco,14,Puerto Vallarta,67,31
Puerto Vallarta,Jalisco,14,Puerto Vallarta,67,1;9
Los Barriles,Baja California Sur,3,La Paz,3,392;1630
Nuevo Vallarta,Nayarit,18,Bahía de Banderas,20,59
Punta Mita,Nayarit,18,Bahía de Banderas,20,106
Lo de Marcos,Nayarit,18,Bahía de Banderas,20,46
Higuera Blanca,Nayarit,18,Bahía de Banderas,20,41
Flamingos,Nayarit,18,Bahía de Banderas,20,24
La Ribera,Baja California Sur,3,Los Cabos,8,217
Altata,Sinaloa,25,Navolato,18,6
Yelapa,Jalisco,14,Cabo Corrientes,20,70
