state,CVE_ENT,municipality_coded,CVE_MUN,office_municipality,n_study_localities,study_localities,has_local_zofemat_office,office_type,office_name,website,n_employees,budget_mxn,budget_year,presupuesto_note,phone,email,address,responsable,hours,convenio_semarnat,collects_derechos,facebook,profepa_state_office,profepa_address,profepa_phone,profepa_email,profepa_contact,profepa_url,profepa_hours,profepa_hotline,confidence,date_checked,sources,other_notes
Baja California,2,Mexicali,2,San Felipe (operational); source CVE_MUN=2 is Mexicali,1,San Felipe,unclear,municipal_parent_evolving,Municipio de San Felipe (ZOFEMAT vía Comité Técnico estatal BC); no dedicated page found,https://sanfelipe.gob.mx/,,,,"State of Baja California maintains Comité Técnico del Fondo ZOFEMAT including municipio San Felipe (with Ensenada, Rosarito, San Quintín, Tijuana).",686-577-1021,,"Casa Municipal, Av. Mar Blanco 773, Primera Sección, C.P. 21850, San Felipe, B.C.",,,state_committee_yes,unknown,,OR PROFEPA Baja California (Mexicali),"Calle Licenciado Alfonso García González 198, Col. Profesores Federales, C.P. 21370, Mexicali, B.C.",686-568-92-66,daniel.yanez@profepa.gob.mx,Daniel Arturo Yañez Sánchez,https://www.profepa.gob.mx/innovaportal/v/563/1/mx/baja_california_-_mexicali.html,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),medium,2026-07-15,http://www.bajacalifornia.gob.mx/hacienda/Conocenos/Zofemat; https://sanfelipe.gob.mx/,San Felipe became a separate municipality after 2020; INEGI codes in GofC_access_localities.csv still show CVE_MUN=2 (Mexicali). Treat operational office as San Felipe Ayuntamiento.
Baja California Sur,3,La Paz,3,La Paz,2,La Paz; Los Barriles,yes,municipal_admin,Departamento de ZOFEMAT (adscrito a Tesorería Municipal),https://www.lapaz.gob.mx/catalogo-tramites-servicios/tramite/945,,,,Listed as Centro Gestor DEPARTAMENTO DE ZOFEMAT in municipal Matrices 2025/2026 (lapaz.gob.mx). Publicado ~MXN 5.75M vehicle/equipment investment (2023 press). Plantilla pública no encontrada.,612-123-7900 ext. 2481,,"Av. de los Deportistas y Carabineros, Col. Unidad Donceles 28, La Paz, B.C.S.",,Mon–Fri 08:00–15:00,historic_yes,yes,,OR PROFEPA Baja California Sur (La Paz),"Blvd. Padre Eusebio Kino esq. Manuel Encinas S/N, Col. Los Olivos, C.P. 23040, La Paz, B.C.S.",612-122-07-87,andrea.geiger@profepa.gob.mx,Dra. Andrea Marcela Geiger Villalpando,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),high,2026-07-15,https://www.lapaz.gob.mx/catalogo-tramites-servicios/tramite/945; https://www.lapaz.gob.mx/storage/archivos/Matrices%202026.pdf; https://diariohumano.com.mx/2023/11/05/equipamiento-para-la-zofemat-la-paz-fortalece-su-labor-en-la-zona-costera/; SEMARNAT convenio roster ~1997,Processes pago de derechos / estado de cuenta for ZOFEMAT occupancy. Recaudación partially returns to municipality for coastal operations (press).
Baja California Sur,3,Loreto,9,Loreto,1,Loreto,unclear,unknown,,https://loreto.gob.mx/,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Baja California Sur (La Paz),"Blvd. Padre Eusebio Kino esq. Manuel Encinas S/N, Col. Los Olivos, C.P. 23040, La Paz, B.C.S.",612-122-07-87,andrea.geiger@profepa.gob.mx,Dra. Andrea Marcela Geiger Villalpando,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic municipal convenio list (BCS: includes Loreto); no dedicated ZOFEMAT unit page found in Jul 2026 web search,Likely ZOFEMAT/derechos functions sit under Tesorería or Ecología without a branded public office page. Confirm with Ayuntamiento.
Baja California Sur,3,Los Cabos,8,Los Cabos,2,Los Cabos; La Ribera,yes,municipal_admin,Coordinación Municipal de ZOFEMAT (Tesorería Municipal),https://transparencialoscabos.gob.mx/dependencias/tesoreria-municipal/zofemat/,,,2026,"Comité Técnico ZOFEMAT approved 2026 execution program/presupuesto for limpieza, vigilancia, conservación (Feb 2026 press). Exact MDP amount not published in searched articles.",624-146-7600,tesoreria@loscabos.gob.mx,"Plaza Arámburo, San José del Cabo, B.C.S. (Coordinación); Tesorería: Blvd. Mijares 1413, Col. Centro, San José del Cabo","Lic. Rafael Guillermo Álvarez Munguía (Coordinador Municipal de ZOFEMAT); Diego Gutiérrez Orci (Coordinador administrativo, mentioned 2026)",,historic_yes,likely_yes,,OR PROFEPA Baja California Sur (La Paz),"Blvd. Padre Eusebio Kino esq. Manuel Encinas S/N, Col. Los Olivos, C.P. 23040, La Paz, B.C.S.",612-122-07-87,andrea.geiger@profepa.gob.mx,Dra. Andrea Marcela Geiger Villalpando,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),high,2026-07-15,https://www.tesoreria.loscabos.gob.mx/directorio/; https://transparencialoscabos.gob.mx/dependencias/tesoreria-municipal/zofemat/; https://cabovision.tv/articulo/80551-sesiona-comite-tecnico-de-zofemat-para-fortalecer-acciones-de-proteccion-y-conservacion-del-litoral-en-2026,Active Comité Técnico (municipal + SEMARNAT + SAT/SHCP). Cited by Mazatlán officials as a model municipal ZOFEMAT direction.
Baja California Sur,3,Mulegé,2,Mulegé,2,Heroica Mulegé; Santa Rosalía,unclear,unknown,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Baja California Sur (La Paz),"Blvd. Padre Eusebio Kino esq. Manuel Encinas S/N, Col. Los Olivos, C.P. 23040, La Paz, B.C.S.",612-122-07-87,andrea.geiger@profepa.gob.mx,Dra. Andrea Marcela Geiger Villalpando,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio list (BCS: Mulegé); no dedicated ZOFEMAT office found Jul 2026,Covers Santa Rosalía and Heroica Mulegé localities in this study.
Jalisco,14,Cabo Corrientes,20,Cabo Corrientes,1,Yelapa,no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Jalisco (Guadalajara),"Av. Plan de San Luis 1880, Chapultepec Country, C.P. 44620, Guadalajara, Jal.",333-824-65-08; 333-824-65-82,lorena.barillas@profepa.gob.mx,Biol. Lorena Minerva Barillas Arriaga,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic Jalisco convenio (Cabo Corrientes); no dedicated office for Yelapa Jul 2026,
Jalisco,14,Puerto Vallarta,67,Puerto Vallarta,2,Las Juntas; Puerto Vallarta,unclear,unknown,,https://www.puertovallarta.gob.mx/,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Jalisco (Guadalajara),"Av. Plan de San Luis 1880, Chapultepec Country, C.P. 44620, Guadalajara, Jal.",333-824-65-08; 333-824-65-82,lorena.barillas@profepa.gob.mx,Biol. Lorena Minerva Barillas Arriaga,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio / ASF concession audits cite Puerto Vallarta; no branded municipal ZOFEMAT página found Jul 2026,High concession activity historically. Functions may sit under Tesorería or Medio Ambiente without public ZOFEMAT branding. Covers Las Juntas + Puerto Vallarta.
Nayarit,18,Bahía de Banderas,20,Bahía de Banderas,10,Sayulita; La Cruz de Huanacaxtle; Bucerías; Mezcales; Las Jarretaderas; Nuevo Vallarta; Punta Mita; Lo de Marcos; Higuera Blanca; Flamingos,yes,municipal_admin,Oficina de ZOFEMAT (municipal); Playas Limpias also under Tesorería,https://transparencia.bahiadebanderas.gob.mx/?page_id=10071,,,,,329-291-1870 (Tesorería / Palacio),presidencia@bahiadebanderas.gob.mx,"ZOFEMAT office listed at Av. Héroe de Nacozari No. 40, Col. Dorada, Bucerías, C.P. 63732; Tesorería: Calle Morelos #12, Centro, Valle de Banderas",,,historic_yes,likely_yes,,OR PROFEPA Nayarit (Tepic),"Joaquín Herrera 239 esq. Oaxaca, Zona Centro, C.P. 63000, Tepic, Nay.",311-122-82-80,karina.lopez@profepa.gob.mx,Lic. Karina Guadalupe López Serrano,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),high,2026-07-15,https://mexicoo.mx/oficina-de-zofemat-8718654; https://transparencia.bahiadebanderas.gob.mx/?page_id=10071; https://sonplayas.com/playas/quieren-crear-direccion-municipal-de-zofemat-en-mazatlan-para-vigilar-playas/; http://rivieranayaritone.blogspot.com/2019/11/bahia-de-banderas-nay-entrega-de.html,"Cited (as Nuevo Vallarta area) among municipalities with municipal ZOFEMAT directions. Serves Sayulita, Bucerías, Nuevo Vallarta, Punta Mita, Cruz de Huanacaxtle, etc."
Nayarit,18,Compostela,4,Compostela,2,La Colonia; La Peñita de Jaltemba,unclear,unknown,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Nayarit (Tepic),"Joaquín Herrera 239 esq. Oaxaca, Zona Centro, C.P. 63000, Tepic, Nay.",311-122-82-80,karina.lopez@profepa.gob.mx,Lic. Karina Guadalupe López Serrano,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio; no dedicated office for La Peñita / La Colonia Jul 2026,Covers La Colonia and La Peñita de Jaltemba.
Nayarit,18,San Blas,12,San Blas,1,San Blas,unclear,unknown,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Nayarit (Tepic),"Joaquín Herrera 239 esq. Oaxaca, Zona Centro, C.P. 63000, Tepic, Nay.",311-122-82-80,karina.lopez@profepa.gob.mx,Lic. Karina Guadalupe López Serrano,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic Nayarit convenio list; no dedicated ZOFEMAT office page found Jul 2026,
Sinaloa,25,Ahome,1,Ahome,2,El Colorado; Topolobampo,unclear,unknown,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sinaloa (Culiacán),"Prolongación Ángel Flores 1248-201 Pte, Centro, C.P. 80000, Culiacán, Sin.",667-716-50-17,pedro.leon@profepa.gob.mx,Biol. Pedro Luis León Rubio,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio (Ahome); no dedicated ZOFEMAT office page found Jul 2026 for Topolobampo/El Colorado,
Sinaloa,25,Angostura,2,Angostura,1,La Reforma,no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sinaloa (Culiacán),"Prolongación Ángel Flores 1248-201 Pte, Centro, C.P. 80000, Culiacán, Sin.",667-716-50-17,pedro.leon@profepa.gob.mx,Biol. Pedro Luis León Rubio,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio; no dedicated office found Jul 2026,
Sinaloa,25,Escuinapa,9,Escuinapa,1,Teacapán,no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sinaloa (Culiacán),"Prolongación Ángel Flores 1248-201 Pte, Centro, C.P. 80000, Culiacán, Sin.",667-716-50-17,pedro.leon@profepa.gob.mx,Biol. Pedro Luis León Rubio,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio; no dedicated office for Teacapán Jul 2026,
