layer_id,layer_name,ENTIDAD,MUNICIPIO,count
0,Historial por Trámite,Guerrero,Acapulco de Juárez,4578
0,Historial por Trámite,Quintana Roo,Benito Juárez,2409
0,Historial por Trámite,Guerrero,Zihuatanejo de Azueta,1203
0,Historial por Trámite,Quintana Roo,Isla Mujeres,1146
0,Historial por Trámite,Quintana Roo,Solidaridad,920
0,Historial por Trámite,Quintana Roo,Othón P. Blanco,857
0,Historial por Trámite,Quintana Roo,Cozumel,752
0,Historial por Trámite,Quintana Roo,Tulum,600
0,Historial por Trámite,Guerrero,La Unión de Isidoro Montes de Oca,441
0,Historial por Trámite,Quintana Roo,Lázaro Cárdenas,331
0,Historial por Trámite,Guerrero,Copala,185
0,Historial por Trámite,,,177
0,Historial por Trámite,Guerrero,Petatlán,163
0,Historial por Trámite,Guerrero,Coyuca de Benítez,90
0,Historial por Trámite,Guerrero,Marquelia,54
0,Historial por Trámite,Guerrero,Benito Juárez,32
0,Historial por Trámite,Quintana Roo,Felipe Carrillo Puerto,25
0,Historial por Trámite,Guerrero,Técpan de Galeana,24
0,Historial por Trámite,Guerrero,Florencio Villarreal,6
0,Historial por Trámite,Guerrero,Cuajinicuilapa,5
0,Historial por Trámite,Guerrero,Azoyú,4
0,Historial por Trámite,Guerrero,San Marcos,3
0,Historial por Trámite,Quintana Roo,Bacalar,2
0,Historial por Trámite,Quintana Roo,Cancún,1
0,Historial por Trámite,Quintana Roo,Rosarito,1
1,Historial por Estatus,Guerrero,Acapulco de Juárez,4578
1,Historial por Estatus,Quintana Roo,Benito Juárez,2409
1,Historial por Estatus,Guerrero,Zihuatanejo de Azueta,1203
1,Historial por Estatus,Quintana Roo,Isla Mujeres,1146
1,Historial por Estatus,Quintana Roo,Solidaridad,920
1,Historial por Estatus,Quintana Roo,Othón P. Blanco,857
1,Historial por Estatus,Quintana Roo,Cozumel,752
1,Historial por Estatus,Quintana Roo,Tulum,600
1,Historial por Estatus,Guerrero,La Unión de Isidoro Montes de Oca,441
1,Historial por Estatus,Quintana Roo,Lázaro Cárdenas,331
1,Historial por Estatus,Guerrero,Copala,185
1,Historial por Estatus,,,177
1,Historial por Estatus,Guerrero,Petatlán,163
1,Historial por Estatus,Guerrero,Coyuca de Benítez,90
1,Historial por Estatus,Guerrero,Marquelia,54
1,Historial por Estatus,Guerrero,Benito Juárez,32
1,Historial por Estatus,Quintana Roo,Felipe Carrillo Puerto,25
1,Historial por Estatus,Guerrero,Técpan de Galeana,24
1,Historial por Estatus,Guerrero,Florencio Villarreal,6
1,Historial por Estatus,Guerrero,Cuajinicuilapa,5
1,Historial por Estatus,Guerrero,Azoyú,4
1,Historial por Estatus,Guerrero,San Marcos,3
1,Historial por Estatus,Quintana Roo,Bacalar,2
1,Historial por Estatus,Quintana Roo,Cancún,1
1,Historial por Estatus,Quintana Roo,Rosarito,1
2,Trámites Vigentes,Guerrero,Acapulco de Juárez,965
2,Trámites Vigentes,Quintana Roo,Benito Juárez,579
2,Trámites Vigentes,Quintana Roo,Isla Mujeres,416
2,Trámites Vigentes,Quintana Roo,Othón P. Blanco,415
2,Trámites Vigentes,Guerrero,Zihuatanejo de Azueta,367
2,Trámites Vigentes,Quintana Roo,Solidaridad,325
2,Trámites Vigentes,Quintana Roo,Tulum,275
2,Trámites Vigentes,Guerrero,La Unión de Isidoro Montes de Oca,246
2,Trámites Vigentes,Quintana Roo,Cozumel,218
2,Trámites Vigentes,Guerrero,Copala,134
2,Trámites Vigentes,Guerrero,Petatlán,119
2,Trámites Vigentes,Quintana Roo,Lázaro Cárdenas,101
2,Trámites Vigentes,Guerrero,Coyuca de Benítez,39
2,Trámites Vigentes,Guerrero,Marquelia,16
2,Trámites Vigentes,Quintana Roo,Felipe Carrillo Puerto,13
2,Trámites Vigentes,Guerrero,Técpan de Galeana,12
2,Trámites Vigentes,Guerrero,Benito Juárez,7
2,Trámites Vigentes,Guerrero,Florencio Villarreal,5
2,Trámites Vigentes,Guerrero,Cuajinicuilapa,3
3,Trámites Vigentes por Estatus,Guerrero,Acapulco de Juárez,965
3,Trámites Vigentes por Estatus,Quintana Roo,Benito Juárez,579
3,Trámites Vigentes por Estatus,Quintana Roo,Isla Mujeres,416
3,Trámites Vigentes por Estatus,Quintana Roo,Othón P. Blanco,415
3,Trámites Vigentes por Estatus,Guerrero,Zihuatanejo de Azueta,367
3,Trámites Vigentes por Estatus,Quintana Roo,Solidaridad,325
3,Trámites Vigentes por Estatus,Quintana Roo,Tulum,275
3,Trámites Vigentes por Estatus,Guerrero,La Unión de Isidoro Montes de Oca,246
3,Trámites Vigentes por Estatus,Quintana Roo,Cozumel,218
3,Trámites Vigentes por Estatus,Guerrero,Copala,134
3,Trámites Vigentes por Estatus,Guerrero,Petatlán,119
3,Trámites Vigentes por Estatus,Quintana Roo,Lázaro Cárdenas,101
3,Trámites Vigentes por Estatus,Guerrero,Coyuca de Benítez,39
3,Trámites Vigentes por Estatus,Guerrero,Marquelia,16
3,Trámites Vigentes por Estatus,Quintana Roo,Felipe Carrillo Puerto,13
3,Trámites Vigentes por Estatus,Guerrero,Técpan de Galeana,12
3,Trámites Vigentes por Estatus,Guerrero,Benito Juárez,7
3,Trámites Vigentes por Estatus,Guerrero,Florencio Villarreal,5
3,Trámites Vigentes por Estatus,Guerrero,Cuajinicuilapa,3
4,Trámites en Proceso,Guerrero,Acapulco de Juárez,444
4,Trámites en Proceso,Quintana Roo,Benito Juárez,344
4,Trámites en Proceso,Quintana Roo,Isla Mujeres,148
4,Trámites en Proceso,Quintana Roo,Solidaridad,115
4,Trámites en Proceso,Guerrero,Zihuatanejo de Azueta,103
4,Trámites en Proceso,Quintana Roo,Cozumel,92
4,Trámites en Proceso,Quintana Roo,Tulum,80
4,Trámites en Proceso,Quintana Roo,Lázaro Cárdenas,76
4,Trámites en Proceso,Quintana Roo,Othón P. Blanco,73
4,Trámites en Proceso,Guerrero,La Unión de Isidoro Montes de Oca,17
4,Trámites en Proceso,Guerrero,Coyuca de Benítez,12
4,Trámites en Proceso,Guerrero,Benito Juárez,4
4,Trámites en Proceso,Guerrero,Copala,4
4,Trámites en Proceso,Guerrero,Petatlán,4
4,Trámites en Proceso,Guerrero,Marquelia,3
4,Trámites en Proceso,Quintana Roo,Felipe Carrillo Puerto,3
4,Trámites en Proceso,Quintana Roo,Bacalar,1
5,Trámites en Proceso por Estatus,Guerrero,Acapulco de Juárez,444
5,Trámites en Proceso por Estatus,Quintana Roo,Benito Juárez,344
5,Trámites en Proceso por Estatus,Quintana Roo,Isla Mujeres,148
5,Trámites en Proceso por Estatus,Quintana Roo,Solidaridad,115
5,Trámites en Proceso por Estatus,Guerrero,Zihuatanejo de Azueta,103
5,Trámites en Proceso por Estatus,Quintana Roo,Cozumel,92
5,Trámites en Proceso por Estatus,Quintana Roo,Tulum,80
5,Trámites en Proceso por Estatus,Quintana Roo,Lázaro Cárdenas,76
5,Trámites en Proceso por Estatus,Quintana Roo,Othón P. Blanco,73
5,Trámites en Proceso por Estatus,Guerrero,La Unión de Isidoro Montes de Oca,17
5,Trámites en Proceso por Estatus,Guerrero,Coyuca de Benítez,12
5,Trámites en Proceso por Estatus,Guerrero,Benito Juárez,4
5,Trámites en Proceso por Estatus,Guerrero,Copala,4
5,Trámites en Proceso por Estatus,Guerrero,Petatlán,4
5,Trámites en Proceso por Estatus,Guerrero,Marquelia,3
5,Trámites en Proceso por Estatus,Quintana Roo,Felipe Carrillo Puerto,3
5,Trámites en Proceso por Estatus,Quintana Roo,Bacalar,1
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,Acapulco de Juárez,1409
6,Trámites Vigentes y en Proceso(Traslape),Quintana Roo,Benito Juárez,923
6,Trámites Vigentes y en Proceso(Traslape),Quintana Roo,Isla Mujeres,564
6,Trámites Vigentes y en Proceso(Traslape),Quintana Roo,Othón P. Blanco,488
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,Zihuatanejo de Azueta,470
6,Trámites Vigentes y en Proceso(Traslape),Quintana Roo,Solidaridad,440
6,Trámites Vigentes y en Proceso(Traslape),Quintana Roo,Tulum,355
6,Trámites Vigentes y en Proceso(Traslape),Quintana Roo,Cozumel,310
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,La Unión de Isidoro Montes de Oca,263
6,Trámites Vigentes y en Proceso(Traslape),Quintana Roo,Lázaro Cárdenas,177
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,Copala,138
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,Petatlán,123
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,Coyuca de Benítez,51
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,Marquelia,19
6,Trámites Vigentes y en Proceso(Traslape),Quintana Roo,Felipe Carrillo Puerto,16
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,Técpan de Galeana,12
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,Benito Juárez,11
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,Florencio Villarreal,5
6,Trámites Vigentes y en Proceso(Traslape),Guerrero,Cuajinicuilapa,3
6,Trámites Vigentes y en Proceso(Traslape),Quintana Roo,Bacalar,1
