state,CVE_ENT,municipality_coded,CVE_MUN,has_local_zofemat_office,n_resolutivos_2013_2016,n_resolutivos_2018,n_resolutivos_2020_mensuales_partial,n_unique_expedientes,year_min,year_max,matched_municipio_names_in_source,source_file,notes
Nayarit,18,Bahía de Banderas,20,yes,205,16,3,175,2013,2016,Bahia de banderas; Bahía de banderas,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Nayarit,18,Compostela,4,unclear,191,17,3,144,2013,2016,Compostela,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Baja California Sur,3,Los Cabos,8,yes,186,11,1,160,2013,2016,Los cabos,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Nayarit,18,San Blas,12,unclear,183,5,0,167,2013,2016,San blas,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sonora,26,Huatabampo,33,no,173,0,0,169,2013,2016,Huatabampo,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sinaloa,25,Navolato,18,no,157,12,2,150,2013,2016,Navolato,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Jalisco,14,Puerto Vallarta,67,unclear,130,7,8,109,2013,2016,Puerto vallarta,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Baja California Sur,3,La Paz,3,yes,129,6,4,122,2013,2016,La paz,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sinaloa,25,Mazatlán,12,proposed,126,3,2,122,2013,2016,Mazatlan; Mazatlán,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sonora,26,Guaymas,29,unclear,88,1,0,79,2013,2016,Guaymas,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sonora,26,Puerto Peñasco,48,yes,88,0,1,84,2013,2016,Puerto peÑasco; Puerto peñasco,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sinaloa,25,Escuinapa,9,no,66,0,0,63,2013,2016,Escuinapa; Escuinapa de hidalgo,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sinaloa,25,Ahome,1,unclear,61,3,4,56,2013,2016,Ahome,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Jalisco,14,Cabo Corrientes,20,no,57,0,3,50,2013,2016,Cabo corrientes,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Baja California Sur,3,Mulegé,2,unclear,49,0,2,46,2013,2016,Mulege; Mulegé,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sonora,26,Hermosillo,30,unclear,42,1,0,40,2013,2016,Hermosillo,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sonora,26,San Luis Río Colorado,55,no,33,0,0,33,2013,2016,San luis rio colorado; San luis río colorado,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Baja California Sur,3,Loreto,9,unclear,30,0,0,27,2013,2016,Loreto,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sonora,26,Empalme,25,no,30,0,0,26,2013,2016,Empalme,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Baja California,2,Mexicali,2,unclear,25,0,0,24,2013,2015,Mexicali,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,Study localities include San Felipe; INEGI CVE_MUN still Mexicali. SAN FELIPE alias included under Mexicali if present in source (usually absent; counts are Mexicali ZF rows). No SAN FELIPE-labeled MUNICIPIO rows found under Baja California in CSV.
Sinaloa,25,Guasave,11,no,10,0,0,10,2013,2016,Guasave,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sinaloa,25,Angostura,2,no,9,0,0,9,2013,2016,Angostura,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sonora,26,Benito Juárez,71,no,3,0,0,3,2014,2016,Benito juarez; Benito juárez,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sonora,26,San Ignacio Río Muerto,72,no,1,0,1,1,2013,2013,San ignacio rio muerto,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,
Sonora,26,Pitiquito,47,no,0,2,0,0,,,,local_zofemat/sources/concessions/Resolutivos_zona_federal.csv,No Pitiquito rows in Resolutivos_zona_federal.csv (2013–2016). Municipio name not present in source for Sonora.
