state,CVE_ENT,municipality_coded,CVE_MUN,has_local_zofemat_office,n_resolutivos,n_unique_expedientes,matched_municipio_names_in_source,source_file,notes
Nayarit,18,Compostela,4,unclear,17,11,Compostela,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Nayarit,18,Bahía de Banderas,20,yes,16,15,Bahía de Banderas,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sinaloa,25,Navolato,18,no,12,9,Navolato,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Baja California Sur,3,Los Cabos,8,yes,11,9,Los Cabos,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Jalisco,14,Puerto Vallarta,67,unclear,7,6,Puerto Vallarta,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Baja California Sur,3,La Paz,3,yes,6,5,La Paz,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Nayarit,18,San Blas,12,unclear,5,4,San Blas,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sinaloa,25,Ahome,1,unclear,3,3,Ahome,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sinaloa,25,Mazatlán,12,proposed,3,3,Mazatlán,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sonora,26,Pitiquito,47,no,2,1,Pitiquito,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sonora,26,Guaymas,29,unclear,1,1,Guaymas,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sonora,26,Hermosillo,30,unclear,1,1,Hermosillo,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Baja California,2,Mexicali,2,unclear,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,Study localities include San Felipe; INEGI CVE_MUN still Mexicali. SAN FELIPE alias included under Mexicali if present as MUNICIPIO under Baja California. No SAN FELIPE-labeled MUNICIPIO rows found in 2018 xlsx for Baja California.
Baja California Sur,3,Loreto,9,unclear,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Baja California Sur,3,Mulegé,2,unclear,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Jalisco,14,Cabo Corrientes,20,no,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sinaloa,25,Angostura,2,no,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sinaloa,25,Escuinapa,9,no,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sinaloa,25,Guasave,11,no,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sonora,26,Benito Juárez,71,no,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sonora,26,Empalme,25,no,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sonora,26,Huatabampo,33,no,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sonora,26,Puerto Peñasco,48,yes,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sonora,26,San Ignacio Río Muerto,72,no,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
Sonora,26,San Luis Río Colorado,55,no,0,0,,local_zofemat/sources/concessions/Resolutivos_ZF_2018.xlsx,
