state,CVE_ENT,municipality_coded,CVE_MUN,has_local_zofemat_office,n_resolutivos,n_unique_expedientes,matched_municipio_names_in_source,months_files_used,source_dir,notes
Jalisco,14,Puerto Vallarta,67,unclear,8,4,Puerto vallarta,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Baja California Sur,3,La Paz,3,yes,4,4,La paz,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sinaloa,25,Ahome,1,unclear,4,4,Ahome,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Jalisco,14,Cabo Corrientes,20,no,3,3,Cabo corrientes,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Nayarit,18,Bahía de Banderas,20,yes,3,3,Bahía de banderas,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Nayarit,18,Compostela,4,unclear,3,3,Compostela,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Baja California Sur,3,Mulegé,2,unclear,2,2,Mulegé,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sinaloa,25,Mazatlán,12,proposed,2,2,Mazatlán,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sinaloa,25,Navolato,18,no,2,2,Navolato,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Baja California Sur,3,Los Cabos,8,yes,1,1,Los cabos,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sonora,26,Puerto Peñasco,48,yes,1,1,Puerto peñasco,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sonora,26,San Ignacio Río Muerto,72,no,1,1,San ignacio río muerto,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Baja California,2,Mexicali,2,unclear,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year). SAN FELIPE alias under Baja California counted with Mexicali if present. No SAN FELIPE-labeled MUNICIPIO in available 2020 mensuales for BC."
Baja California Sur,3,Loreto,9,unclear,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Nayarit,18,San Blas,12,unclear,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sinaloa,25,Angostura,2,no,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sinaloa,25,Escuinapa,9,no,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sinaloa,25,Guasave,11,no,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sonora,26,Benito Juárez,71,no,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sonora,26,Empalme,25,no,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sonora,26,Guaymas,29,unclear,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sonora,26,Hermosillo,30,unclear,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sonora,26,Huatabampo,33,no,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
Sonora,26,Pitiquito,47,no,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year). No Pitiquito rows in available mensuales."
Sonora,26,San Luis Río Colorado,55,no,0,0,,"enero_2020, agosto_2020",local_zofemat/sources/concessions/mensuales/,"Summed across mensuales xlsx: enero_2020, agosto_2020. Partial-year 2020 coverage only (not full calendar year)."
