state,CVE_ENT,municipality_coded,CVE_MUN,year,n_resolutivos
Nayarit,18,Bahía de Banderas,20,2013,59
Nayarit,18,Bahía de Banderas,20,2014,59
Nayarit,18,Bahía de Banderas,20,2015,33
Nayarit,18,Bahía de Banderas,20,2016,54
Nayarit,18,Compostela,4,2013,60
Nayarit,18,Compostela,4,2014,48
Nayarit,18,Compostela,4,2015,51
Nayarit,18,Compostela,4,2016,32
Baja California Sur,3,Los Cabos,8,2013,64
Baja California Sur,3,Los Cabos,8,2014,66
Baja California Sur,3,Los Cabos,8,2015,25
Baja California Sur,3,Los Cabos,8,2016,31
Nayarit,18,San Blas,12,2013,64
Nayarit,18,San Blas,12,2014,52
Nayarit,18,San Blas,12,2015,30
Nayarit,18,San Blas,12,2016,37
Sonora,26,Huatabampo,33,2013,16
Sonora,26,Huatabampo,33,2014,120
Sonora,26,Huatabampo,33,2015,15
Sonora,26,Huatabampo,33,2016,22
Sinaloa,25,Navolato,18,2013,58
Sinaloa,25,Navolato,18,2014,36
Sinaloa,25,Navolato,18,2015,23
Sinaloa,25,Navolato,18,2016,40
Jalisco,14,Puerto Vallarta,67,2013,38
Jalisco,14,Puerto Vallarta,67,2014,32
Jalisco,14,Puerto Vallarta,67,2015,29
Jalisco,14,Puerto Vallarta,67,2016,31
Baja California Sur,3,La Paz,3,2013,51
Baja California Sur,3,La Paz,3,2014,39
Baja California Sur,3,La Paz,3,2015,21
Baja California Sur,3,La Paz,3,2016,18
Sinaloa,25,Mazatlán,12,2013,71
Sinaloa,25,Mazatlán,12,2014,17
Sinaloa,25,Mazatlán,12,2015,18
Sinaloa,25,Mazatlán,12,2016,20
Sonora,26,Guaymas,29,2013,35
Sonora,26,Guaymas,29,2014,30
Sonora,26,Guaymas,29,2015,17
Sonora,26,Guaymas,29,2016,6
Sonora,26,Puerto Peñasco,48,2013,51
Sonora,26,Puerto Peñasco,48,2014,20
Sonora,26,Puerto Peñasco,48,2015,6
Sonora,26,Puerto Peñasco,48,2016,11
Sinaloa,25,Escuinapa,9,2013,32
Sinaloa,25,Escuinapa,9,2014,16
Sinaloa,25,Escuinapa,9,2015,11
Sinaloa,25,Escuinapa,9,2016,7
Sinaloa,25,Ahome,1,2013,25
Sinaloa,25,Ahome,1,2014,17
Sinaloa,25,Ahome,1,2015,5
Sinaloa,25,Ahome,1,2016,14
Jalisco,14,Cabo Corrientes,20,2013,11
Jalisco,14,Cabo Corrientes,20,2014,19
Jalisco,14,Cabo Corrientes,20,2015,13
Jalisco,14,Cabo Corrientes,20,2016,14
Baja California Sur,3,Mulegé,2,2013,27
Baja California Sur,3,Mulegé,2,2014,12
Baja California Sur,3,Mulegé,2,2015,5
Baja California Sur,3,Mulegé,2,2016,5
Sonora,26,Hermosillo,30,2013,26
Sonora,26,Hermosillo,30,2014,7
Sonora,26,Hermosillo,30,2015,6
Sonora,26,Hermosillo,30,2016,3
Sonora,26,San Luis Río Colorado,55,2013,23
Sonora,26,San Luis Río Colorado,55,2014,7
Sonora,26,San Luis Río Colorado,55,2016,3
Baja California Sur,3,Loreto,9,2013,19
Baja California Sur,3,Loreto,9,2014,6
Baja California Sur,3,Loreto,9,2015,3
Baja California Sur,3,Loreto,9,2016,2
Sonora,26,Empalme,25,2013,9
Sonora,26,Empalme,25,2014,11
Sonora,26,Empalme,25,2015,7
Sonora,26,Empalme,25,2016,3
Baja California,2,Mexicali,2,2013,10
Baja California,2,Mexicali,2,2014,10
Baja California,2,Mexicali,2,2015,5
Sinaloa,25,Guasave,11,2013,2
Sinaloa,25,Guasave,11,2014,1
Sinaloa,25,Guasave,11,2015,2
Sinaloa,25,Guasave,11,2016,5
Sinaloa,25,Angostura,2,2013,2
Sinaloa,25,Angostura,2,2014,1
Sinaloa,25,Angostura,2,2015,3
Sinaloa,25,Angostura,2,2016,3
Sonora,26,Benito Juárez,71,2014,1
Sonora,26,Benito Juárez,71,2015,1
Sonora,26,Benito Juárez,71,2016,1
Sonora,26,San Ignacio Río Muerto,72,2013,1
