year,class,shore_class,length_km,n_segments
2010,0,artificial,395.3739315690408,168
2010,1,biogenic,747.9279602922486,134
2010,2,sandy,2079.4321966680645,798
2010,3,muddy,178.22959551056587,55
2010,4,rocky,1162.5509795322012,640
2010,5,estuary,4.651044291459394,29
2015,0,artificial,352.3709618314014,168
2015,1,biogenic,731.4456994571159,137
2015,2,sandy,2072.108398658803,797
2015,3,muddy,162.53822439295968,53
2015,4,rocky,1156.0250407326089,641
2015,5,estuary,4.720822528127479,29
2020,0,artificial,356.04831785586987,167
2020,1,biogenic,893.6020050872003,180
2020,2,sandy,1999.737426009585,739
2020,3,muddy,127.09585132439024,43
2020,4,rocky,1267.498622456802,680
2020,5,estuary,4.452694468234159,28
