year,major_taxonomic_group,hours_effort,catch_kg,catch_kg_per_hour
2018,Anchovy & Sardine (small pelagics),197415.30896513356,496721539.84,2516.1247242873565
2018,Demersal marine fishes,300359.24277372187,9922486.75,33.03539674147863
2018,Other,10592.384125072951,260877.65,24.62879432237389
2018,Pelagic marine fish (excl. anchovy & sardine),115003.6187937477,168221087.87,1462.746039076342
2018,Sharks,130588.07067084883,3124629.15,23.927370501366255
2018,"Shrimps, prawns",1203738.5246714752,18752145.168,15.578254565806013
2019,Anchovy & Sardine (small pelagics),214887.6707058934,505436017.62,2352.0940776158645
2019,Demersal marine fishes,287867.1841026726,8666732.85,30.106706594624782
2019,Other,12642.08013871024,848868.7,67.14628373543933
2019,Pelagic marine fish (excl. anchovy & sardine),120181.03983042223,174667137.67,1453.3668365364344
2019,Sharks,138541.27390691958,2924408.4,21.10857160130341
2019,"Shrimps, prawns",1109685.351315382,16176435.352,14.57749742557656
2020,Anchovy & Sardine (small pelagics),202137.1660913782,586046123.26,2899.2497252834332
2020,Demersal marine fishes,178313.1616182028,8948247.5,50.18276507911199
2020,Other,9674.287193316699,2359326.57,243.87601100263973
2020,Pelagic marine fish (excl. anchovy & sardine),84962.49827152728,122090878.71,1436.9972775496317
2020,Sharks,113263.84423653393,3023212.9,26.69177371100428
2020,"Shrimps, prawns",742137.5092557077,13492117.08,18.18007702309952
2021,Anchovy & Sardine (small pelagics),221657.63669297355,793250511.52,3578.719521487823
2021,Demersal marine fishes,218398.633149908,13935597.65,63.80808088865033
2021,Other,14911.788540464173,2250617.95,150.92877315774646
2021,Pelagic marine fish (excl. anchovy & sardine),73888.06336417724,121154213.86,1639.6994094006604
2021,Sharks,96545.55481593897,2668018.15,27.63481089405402
2021,"Shrimps, prawns",795142.723436538,13547568.2,17.037907536207566
2022,Anchovy & Sardine (small pelagics),159680.33840066148,639934070.52,4007.5946539786955
2022,Demersal marine fishes,125637.94804013529,23879739.9,190.06789168803974
2022,Other,7199.972241383138,2177884.44,302.48511619006206
2022,Pelagic marine fish (excl. anchovy & sardine),48478.49274442812,131057121.37,2703.407510231701
2022,Sharks,45316.105391803656,2686157,59.275989778367986
2022,"Shrimps, prawns",363990.74318158836,12435472.2,34.1642539898224
2023,Anchovy & Sardine (small pelagics),120625.84032812981,746618033,6189.536429085415
2023,Demersal marine fishes,116171.58960355655,26350441,226.82345218760173
2023,Other,6942.8836597015215,168231,24.230709924819962
2023,Pelagic marine fish (excl. anchovy & sardine),35191.700014801114,162462996,4616.51457393847
2023,Sharks,60464.30503253608,3770749,62.36322402070023
2023,"Shrimps, prawns",501787.6480279416,12271804,24.456169952028503
2024,Anchovy & Sardine (small pelagics),250573.9055936225,559650682.7664,2233.4755147011765
2024,Demersal marine fishes,192569.09768840126,34309031.98,178.16478548139597
2024,Other,8956.88572510894,402606.61,44.94939673857492
2024,Pelagic marine fish (excl. anchovy & sardine),75090.85146843498,167577007.8264,2231.6567804114234
2024,Sharks,76450.74489201498,2974575.45,38.908390679535216
2024,"Shrimps, prawns",410291.831299084,8930045.456,21.76510662599667
