gear_type,target_species,n_vessels,gilman_gear_category,gilman_mapping_method,gilman_mapping_confidence,gilman_component_categories,R,C,A,O,H_gear,ghost_initial_mortality,ghost_duration_efficiency,ghost_vulnerability_species,ghost_fishing_mean,H_gear_ghost,bottom_destructive,confidence,mapping_notes,gilman_reference,gilman_ghost_reference
ARRASTRE,CAMARÓN,652,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unclassified permit (gear and target both missing).,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,CAMARÓN | ESCAMA,136,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO,SARDINA Y ANCHOVETA,82,"Purse seine, non-tuna",table2_single,high,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO,OTRAS,74,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,low,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,CAMARÓN | OTRAS,71,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO,ATÚN,43,"Purse seine, tuna, including drifting and anchored FADs",table2_single,high,NA,0.75,0.05,1,0.72,0.54,0.5,0.8,0.5,0.6,0.45,FALSE,high,Tuna purse seine mapped with FAD category; FAD use not recorded in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO,CAMARÓN,38,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
NA,CAMARÓN,38,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,CAMARÓN | TIBURÓN,21,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,CAMARÓN | ESCAMA | OTRAS,18,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO,SARDINA Y ANCHOVETA | OTRAS,17,"Purse seine, non-tuna",table2_single,high,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PALANGRE,TIBURÓN,17,"Longline, demersal",table2_single,high,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
NA,ESCAMA,16,"Longline, demersal",dominant_guess,low,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,ESCAMA,15,"Longline, demersal",dominant_guess,low,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,CAMARÓN,13,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,CAMARÓN | TIBURÓN | OTRAS,11,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PALANGRE,ESCAMA,8,"Longline, demersal",table2_single,high,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,ESCAMA,7,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE | PESCA MULTIPLE,CAMARÓN | OTRAS,7,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO,ESCAMA,7,"Longline, demersal",dominant_guess,low,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PALANGRE,ESCAMA | TIBURÓN,7,"Longline, demersal",table2_single,high,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,OTRAS,7,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,low,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE | PALANGRE,CAMARÓN | TIBURÓN | OTRAS,6,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
ARRASTRE,CAMARÓN | ESCAMA | TIBURÓN,5,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE | PALANGRE,CAMARÓN | TIBURÓN,5,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
PALANGRE,CAMARÓN,5,"Longline, demersal",table2_single,high,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Shrimp on longline permit uncommon; verify against fishery.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PALANGRE,TIBURÓN | OTRAS,5,"Longline, demersal",table2_single,high,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,ESCAMA | TIBURÓN | OTRAS,4,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,ATÚN,3,"Trawl, midwater",table2_single,high,NA,0.49,0.39,0.09,0.42,0.2058,0.4,0.25,0.25,0.3,0.147,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO,CAMARÓN,3,"Purse seine, non-tuna",table2_single,high,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,Shrimp + purse seine; may understate risk if trawl also used.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO,SARDINA Y ANCHOVETA,3,"Purse seine, non-tuna",dominant_guess,low,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
