gear_type,target_species,n_vessels,bottom_destructive,confidence
ARRASTRE,CAMARÓN,652,TRUE,high
NA,NA,222,NA,NA
ARRASTRE,CAMARÓN | ESCAMA,136,TRUE,high
CERCO,SARDINA Y ANCHOVETA,82,FALSE,high
OTRO,OTRAS,74,FALSE,high
ARRASTRE,CAMARÓN | OTRAS,71,TRUE,high
CERCO,ATÚN,43,FALSE,high
OTRO,CAMARÓN,38,TRUE,low
NA,CAMARÓN,38,TRUE,low
ARRASTRE,CAMARÓN | TIBURÓN,21,TRUE,high
ARRASTRE,CAMARÓN | ESCAMA | OTRAS,18,TRUE,high
CERCO,SARDINA Y ANCHOVETA | OTRAS,17,FALSE,high
PALANGRE,TIBURÓN,17,FALSE,high
NA,ESCAMA,16,FALSE,high
PESCA MULTIPLE,ESCAMA,15,FALSE,high
PESCA MULTIPLE,CAMARÓN,13,TRUE,low
ARRASTRE,CAMARÓN | TIBURÓN | OTRAS,11,TRUE,high
PALANGRE,ESCAMA,8,FALSE,high
ARRASTRE,ESCAMA,7,TRUE,medium
ARRASTRE | PESCA MULTIPLE,CAMARÓN | OTRAS,7,TRUE,high
OTRO,ESCAMA,7,FALSE,high
PALANGRE,ESCAMA | TIBURÓN,7,FALSE,high
PESCA MULTIPLE,OTRAS,7,FALSE,high
ARRASTRE | PALANGRE,CAMARÓN | TIBURÓN | OTRAS,6,TRUE,medium
ARRASTRE,CAMARÓN | ESCAMA | TIBURÓN,5,TRUE,high
ARRASTRE | PALANGRE,CAMARÓN | TIBURÓN,5,TRUE,medium
PALANGRE,CAMARÓN,5,FALSE,high
PALANGRE,TIBURÓN | OTRAS,5,FALSE,high
ARRASTRE,ESCAMA | TIBURÓN | OTRAS,4,TRUE,medium
ARRASTRE,ATÚN,3,FALSE,high
CERCO,CAMARÓN,3,FALSE,high
OTRO,SARDINA Y ANCHOVETA,3,FALSE,high
OTRO | OTRO | PALANGRE,ESCAMA | TIBURÓN | OTRAS,3,FALSE,high
OTRO | OTRO | PALANGRE,ESCAMA | TIBURÓN | OTRAS | OTRAS,3,FALSE,high
OTRO | PALANGRE,TIBURÓN | OTRAS,3,FALSE,high
PALANGRE,ESCAMA | TIBURÓN | OTRAS,3,FALSE,high
PESCA MULTIPLE,CAMARÓN | ESCAMA,3,TRUE,low
PESCA MULTIPLE,CAMARÓN | ESCAMA | TIBURÓN,3,TRUE,low
PESCA MULTIPLE,CAMARÓN | TIBURÓN,3,TRUE,low
VARA,ATÚN,3,FALSE,high
ARRASTRE,CAMARÓN | ESCAMA | TIBURÓN | OTRAS,2,TRUE,high
ARRASTRE,ESCAMA | TIBURÓN,2,TRUE,medium
ARRASTRE,OTRAS,2,TRUE,medium
ARRASTRE,SARDINA Y ANCHOVETA,2,FALSE,high
ARRASTRE,TIBURÓN,2,TRUE,medium
ARRASTRE | PALANGRE,CAMARÓN | OTRAS,2,TRUE,medium
ARRASTRE | PALANGRE | PESCA MULTIPLE,CAMARÓN | TIBURÓN | OTRAS,2,TRUE,medium
ARRASTRE | PESCA MULTIPLE,CAMARÓN | TIBURÓN,2,TRUE,high
CERCO,OTRAS,2,FALSE,high
OTRO,ESCAMA | TIBURÓN,2,FALSE,high
OTRO,TIBURÓN,2,FALSE,high
OTRO | OTRO | OTRO,ESCAMA | OTRAS | OTRAS,2,FALSE,high
OTRO | OTRO | OTRO | OTRO,ESCAMA | OTRAS,2,FALSE,high
OTRO | OTRO | OTRO | OTRO | PALANGRE,ESCAMA | TIBURÓN | OTRAS,2,FALSE,high
OTRO | OTRO | OTRO | PALANGRE,ESCAMA | OTRAS,2,FALSE,high
OTRO | OTRO | OTRO | PALANGRE,ESCAMA | TIBURÓN | OTRAS | OTRAS,2,FALSE,high
PESCA MULTIPLE,CAMARÓN | ESCAMA | OTRAS,2,TRUE,low
PESCA MULTIPLE,CAMARÓN | TIBURÓN | OTRAS,2,TRUE,low
PESCA MULTIPLE,ESCAMA | TIBURÓN,2,FALSE,high
PESCA MULTIPLE,ESCAMA | TIBURÓN | OTRAS,2,FALSE,high
ARRASTRE,CAMARÓN | OTRAS | OTRAS,1,TRUE,high
ARRASTRE,ESCAMA | ATÚN,1,TRUE,medium
ARRASTRE,ESCAMA | ATÚN | OTRAS,1,TRUE,medium
ARRASTRE,ESCAMA | OTRAS,1,TRUE,medium
ARRASTRE,ESCAMA | TIBURÓN | OTRAS | OTRAS,1,TRUE,medium
ARRASTRE | PALANGRE,CAMARÓN | ESCAMA | OTRAS | OTRAS,1,TRUE,medium
ARRASTRE | PALANGRE,CAMARÓN | ESCAMA | TIBURÓN,1,TRUE,medium
ARRASTRE | PALANGRE,ESCAMA | ATÚN,1,TRUE,medium
ARRASTRE | PALANGRE,ESCAMA | TIBURÓN | OTRAS,1,TRUE,medium
ARRASTRE | PALANGRE | PESCA MULTIPLE,CAMARÓN | OTRAS | OTRAS,1,TRUE,medium
ARRASTRE | PALANGRE | PESCA MULTIPLE,OTRAS,1,TRUE,medium
ARRASTRE | PESCA MULTIPLE,CAMARÓN | ESCAMA | OTRAS,1,TRUE,high
ARRASTRE | PESCA MULTIPLE,CAMARÓN | ESCAMA | TIBURÓN,1,TRUE,high
CERCO,ESCAMA,1,FALSE,high
CERCO,SARDINA Y ANCHOVETA | ATÚN,1,FALSE,high
CERCO,SARDINA Y ANCHOVETA | ATÚN | OTRAS,1,FALSE,high
CERCO,SARDINA Y ANCHOVETA | OTRAS | OTRAS,1,FALSE,high
CERCO,NA,1,FALSE,high
CERCO | ARRASTRE,SARDINA Y ANCHOVETA,1,FALSE,high
CERCO | ARRASTRE | PALANGRE | PESCA MULTIPLE,ESCAMA | TIBURÓN | OTRAS,1,TRUE,medium
CERCO | OTRO,ATÚN | TIBURÓN,1,FALSE,high
CERCO | OTRO,OTRAS,1,FALSE,high
CERCO | OTRO | OTRO | OTRO,ESCAMA | OTRAS | OTRAS,1,FALSE,high
CERCO | OTRO | PALANGRE,ESCAMA | ATÚN,1,FALSE,high
CERCO | PALANGRE,SARDINA Y ANCHOVETA,1,FALSE,high
CERCO | VARA,ESCAMA | OTRAS,1,FALSE,high
OTRO,ATÚN,1,FALSE,high
OTRO,ESCAMA | ATÚN | OTRAS,1,FALSE,high
OTRO,ESCAMA | OTRAS,1,FALSE,high
OTRO,OTRAS | OTRAS | OTRAS | OTRAS,1,FALSE,high
OTRO,SARDINA Y ANCHOVETA | OTRAS,1,FALSE,high
OTRO | ARRASTRE,CAMARÓN | ESCAMA,1,TRUE,high
OTRO | ARRASTRE,CAMARÓN | ESCAMA | OTRAS,1,TRUE,high
OTRO | ARRASTRE,CAMARÓN | OTRAS,1,TRUE,high
OTRO | ARRASTRE,ESCAMA | TIBURÓN,1,TRUE,medium
OTRO | ARRASTRE,TIBURÓN | OTRAS,1,TRUE,medium
OTRO | ARRASTRE | PALANGRE,CAMARÓN | ESCAMA | TIBURÓN,1,TRUE,medium
OTRO | ARRASTRE | PALANGRE,CAMARÓN | ESCAMA | TIBURÓN | OTRAS,1,TRUE,medium
OTRO | ARRASTRE | PALANGRE,CAMARÓN | TIBURÓN | OTRAS | OTRAS,1,TRUE,medium
OTRO | OTRO,ESCAMA,1,FALSE,high
OTRO | OTRO,ESCAMA | OTRAS | OTRAS,1,FALSE,high
OTRO | OTRO,ESCAMA | TIBURÓN,1,FALSE,high
OTRO | OTRO,OTRAS,1,FALSE,high
OTRO | OTRO,OTRAS | OTRAS,1,FALSE,high
OTRO | OTRO | ARRASTRE,ESCAMA | TIBURÓN | OTRAS,1,TRUE,medium
OTRO | OTRO | ARRASTRE | PALANGRE,CAMARÓN | ESCAMA | TIBURÓN | OTRAS,1,TRUE,medium
OTRO | OTRO | OTRO,ESCAMA | OTRAS,1,FALSE,high
OTRO | OTRO | OTRO,SARDINA Y ANCHOVETA,1,FALSE,high
OTRO | OTRO | OTRO | ARRASTRE,CAMARÓN | ESCAMA | OTRAS | OTRAS,1,TRUE,high
OTRO | OTRO | PALANGRE,ESCAMA | TIBURÓN,1,FALSE,high
OTRO | OTRO | PALANGRE,TIBURÓN | OTRAS | OTRAS,1,FALSE,high
OTRO | PALANGRE,ATÚN,1,FALSE,high
OTRO | PALANGRE,ESCAMA | TIBURÓN | OTRAS,1,FALSE,high
PALANGRE,ESCAMA | ATÚN | TIBURÓN,1,FALSE,high
PALANGRE,ESCAMA | OTRAS,1,FALSE,high
PALANGRE,ESCAMA | TIBURÓN | OTRAS | OTRAS,1,FALSE,high
PALANGRE | PESCA MULTIPLE,ESCAMA,1,FALSE,high
PALANGRE | PESCA MULTIPLE,OTRAS,1,FALSE,high
PESCA MULTIPLE,CAMARÓN | ESCAMA | TIBURÓN | OTRAS,1,TRUE,low
PESCA MULTIPLE,CAMARÓN | OTRAS,1,TRUE,low
PESCA MULTIPLE,CAMARÓN | TIBURÓN | OTRAS | OTRAS,1,TRUE,low
PESCA MULTIPLE,ESCAMA | ATÚN | TIBURÓN,1,FALSE,high
PESCA MULTIPLE,SARDINA Y ANCHOVETA,1,FALSE,high
PESCA MULTIPLE,TIBURÓN,1,FALSE,high
VARA,CAMARÓN,1,FALSE,high
VARA,OTRAS,1,FALSE,high
VARA | OTRO | PALANGRE,ESCAMA | ATÚN | TIBURÓN,1,FALSE,high
