gilman_gear_category,R,C,A,O,is_composite,component_categories,source
"Barrier, fence, weir, corral",0.12,0.02,0.05,0.55,FALSE,NA,Gilman et al. 2021 Table 2
Fyke net,0.19,0.02,0.05,0.62,FALSE,NA,Gilman et al. 2021 Table 2
"Gillnet, drift",0.15,0.12,0.06,1,FALSE,NA,Gilman et al. 2021 Table 2
"Gillnet, set and fixed; trammel net; combination gillnet/trammel net",0.39,0.24,0.32,0.95,FALSE,NA,Gilman et al. 2021 Table 2
"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",0.001,0.05,0.06,0.003,FALSE,NA,Gilman et al. 2021 Table 2
"Handline, pelagic and bottom",1,0.16,0.87,0.19,FALSE,NA,Gilman et al. 2021 Table 2
"Longline, demersal",0.88,0.02,0.01,0.21,FALSE,NA,Gilman et al. 2021 Table 2
"Longline, pelagic",0.11,0.06,0.45,0.43,FALSE,NA,Gilman et al. 2021 Table 2
"Pole-and-line, including anchored FADs",0.96,0.01,0.87,0.51,FALSE,NA,Gilman et al. 2021 Table 2
Pot,0.89,0.04,0.05,0.57,FALSE,NA,Gilman et al. 2021 Table 2
Pound net,0.12,0.02,0.05,0.54,FALSE,NA,Gilman et al. 2021 Table 2
"Purse seine, non-tuna",0.07,0.49,0.21,0.1,FALSE,NA,Gilman et al. 2021 Table 2
"Purse seine, tuna, including drifting and anchored FADs",0.75,0.05,1,0.72,FALSE,NA,Gilman et al. 2021 Table 2
"Seine, beach",0.21,0.01,0.02,0.42,FALSE,NA,Gilman et al. 2021 Table 2
"Seine, boat",0.24,0.1,0.07,0.51,FALSE,NA,Gilman et al. 2021 Table 2
"Trawl, bottom",0.16,1,0.21,0.78,FALSE,NA,Gilman et al. 2021 Table 2
"Trawl, midwater",0.49,0.39,0.09,0.42,FALSE,NA,Gilman et al. 2021 Table 2
Troll,0.16,0.01,0.87,0.16,FALSE,NA,Gilman et al. 2021 Table 2
"Composite: Longline, demersal + Purse seine, non-tuna",0.475,0.255,0.11,0.155,TRUE,"Longline, demersal; Purse seine, non-tuna",Composite mean of Table 2 components
"Composite: Longline, demersal + Purse seine, non-tuna + Trawl, bottom",0.37,0.5033,0.1433,0.3633,TRUE,"Longline, demersal; Purse seine, non-tuna; Trawl, bottom",Composite mean of Table 2 components
"Composite: Longline, demersal + Trawl, bottom",0.52,0.51,0.11,0.495,TRUE,"Longline, demersal; Trawl, bottom",Composite mean of Table 2 components
"Composite: Longline, pelagic + Pole-and-line, including anchored FADs",0.535,0.035,0.66,0.47,TRUE,"Longline, pelagic; Pole-and-line, including anchored FADs",Composite mean of Table 2 components
"Composite: Longline, pelagic + Purse seine, tuna, including drifting and anchored FADs",0.43,0.055,0.725,0.575,TRUE,"Longline, pelagic; Purse seine, tuna, including drifting and anchored FADs",Composite mean of Table 2 components
"Composite: Longline, pelagic + Trawl, bottom",0.135,0.53,0.33,0.605,TRUE,"Longline, pelagic; Trawl, bottom",Composite mean of Table 2 components
"Composite: Pole-and-line, including anchored FADs + Purse seine, non-tuna",0.515,0.25,0.54,0.305,TRUE,"Pole-and-line, including anchored FADs; Purse seine, non-tuna",Composite mean of Table 2 components
"Composite: Purse seine, non-tuna + Trawl, midwater",0.28,0.44,0.15,0.26,TRUE,"Purse seine, non-tuna; Trawl, midwater",Composite mean of Table 2 components
