gilman_gear_category,ghost_initial_mortality,ghost_duration_efficiency,ghost_vulnerability_species,ghost_fishing_mean,source,notes
"Barrier, fence, weir, corral",1.0,1.0,1.0,1.0,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Fyke net",1.0,1.0,1.0,1.0,"Gilman et al. 2021 Supplement Table S2 (S3.1)",Criterion 3 assumed same as pots per rationale
"Pot",1.0,1.0,1.0,1.0,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Pound net",1.0,1.0,1.0,1.0,"Gilman et al. 2021 Supplement Table S2 (S3.1)",Scores assumed same as barrier/fence/weir/corral per rationale
"Gillnet, drift",1.0,0.5,1.0,0.8333,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Gillnet, set and fixed; trammel net; combination gillnet/trammel net",1.0,1.0,1.0,1.0,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",0.0,0.0,0.0,0.0,"Gilman et al. 2021 Supplement Table S2 (S3.1)",Single combined score (0.0) for criteria 1–3
"Handline, pelagic and bottom",0.0,0.1,0.1,0.0667,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Longline, demersal",1.0,0.0,0.0,0.3333,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Longline, pelagic",1.0,0.0,0.0,0.3333,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Pole-and-line, including anchored FADs",0.25,0.6,0.25,0.3667,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Purse seine, non-tuna",0.1,0.0,0.1,0.0667,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Purse seine, tuna, including drifting and anchored FADs",0.5,0.8,0.5,0.6,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Seine, beach",0.2,0.5,0.2,0.3,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Seine, boat",0.5,0.5,0.4,0.4667,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Trawl, bottom",0.75,0.75,0.5,0.6667,"Gilman et al. 2021 Supplement Table S2 (S3.1)",NA
"Trawl, midwater",0.4,0.25,0.25,0.3,"Gilman et al. 2021 Supplement Table S2 (S3.1)",Supplement label: Trawl midwater otter
"Troll",0.0,0.1,0.1,0.0667,"Gilman et al. 2021 Supplement Table S2 (S3.1)",Handline scores applied per rationale
