gilman_gear_category,ghost_initial_mortality,ghost_duration_efficiency,ghost_vulnerability_species,ghost_fishing_mean,source,notes,is_composite,component_categories
"Barrier, fence, weir, corral",1,1,1,1,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
Fyke net,1,1,1,1,Gilman et al. 2021 Supplement Table S2 (S3.1),Criterion 3 assumed same as pots per rationale,FALSE,NA
"Gillnet, drift",1,0.5,1,0.8333,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
"Gillnet, set and fixed; trammel net; combination gillnet/trammel net",1,1,1,1,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",0,0,0,0,Gilman et al. 2021 Supplement Table S2 (S3.1),Single combined score (0.0) for criteria 1–3,FALSE,NA
"Handline, pelagic and bottom",0,0.1,0.1,0.0667,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
"Longline, demersal",1,0,0,0.3333,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
"Longline, pelagic",1,0,0,0.3333,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
"Pole-and-line, including anchored FADs",0.25,0.6,0.25,0.3667,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
Pot,1,1,1,1,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
Pound net,1,1,1,1,Gilman et al. 2021 Supplement Table S2 (S3.1),Scores assumed same as barrier/fence/weir/corral per rationale,FALSE,NA
"Purse seine, non-tuna",0.1,0,0.1,0.0667,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
"Purse seine, tuna, including drifting and anchored FADs",0.5,0.8,0.5,0.6,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
"Seine, beach",0.2,0.5,0.2,0.3,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
"Seine, boat",0.5,0.5,0.4,0.4667,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
"Trawl, bottom",0.75,0.75,0.5,0.6667,Gilman et al. 2021 Supplement Table S2 (S3.1),NA,FALSE,NA
"Trawl, midwater",0.4,0.25,0.25,0.3,Gilman et al. 2021 Supplement Table S2 (S3.1),Supplement label: Trawl midwater otter,FALSE,NA
Troll,0,0.1,0.1,0.0667,Gilman et al. 2021 Supplement Table S2 (S3.1),Handline scores applied per rationale,FALSE,NA
"Composite: Longline, demersal + Purse seine, non-tuna",0.55,0,0.05,0.2,Composite mean of Supplement Table S2 (S3.1) components,"Arithmetic mean of ghost_initial_mortality, ghost_duration_efficiency, and ghost_vulnerability_species across component categories; ghost_fishing_mean is mean of those three.",TRUE,"Longline, demersal; Purse seine, non-tuna"
"Composite: Longline, demersal + Purse seine, non-tuna + Trawl, bottom",0.6167,0.25,0.2,0.3556,Composite mean of Supplement Table S2 (S3.1) components,"Arithmetic mean of ghost_initial_mortality, ghost_duration_efficiency, and ghost_vulnerability_species across component categories; ghost_fishing_mean is mean of those three.",TRUE,"Longline, demersal; Purse seine, non-tuna; Trawl, bottom"
"Composite: Longline, demersal + Trawl, bottom",0.875,0.375,0.25,0.5,Composite mean of Supplement Table S2 (S3.1) components,"Arithmetic mean of ghost_initial_mortality, ghost_duration_efficiency, and ghost_vulnerability_species across component categories; ghost_fishing_mean is mean of those three.",TRUE,"Longline, demersal; Trawl, bottom"
"Composite: Longline, pelagic + Pole-and-line, including anchored FADs",0.625,0.3,0.125,0.35,Composite mean of Supplement Table S2 (S3.1) components,"Arithmetic mean of ghost_initial_mortality, ghost_duration_efficiency, and ghost_vulnerability_species across component categories; ghost_fishing_mean is mean of those three.",TRUE,"Longline, pelagic; Pole-and-line, including anchored FADs"
"Composite: Longline, pelagic + Purse seine, tuna, including drifting and anchored FADs",0.75,0.4,0.25,0.4667,Composite mean of Supplement Table S2 (S3.1) components,"Arithmetic mean of ghost_initial_mortality, ghost_duration_efficiency, and ghost_vulnerability_species across component categories; ghost_fishing_mean is mean of those three.",TRUE,"Longline, pelagic; Purse seine, tuna, including drifting and anchored FADs"
"Composite: Longline, pelagic + Trawl, bottom",0.875,0.375,0.25,0.5,Composite mean of Supplement Table S2 (S3.1) components,"Arithmetic mean of ghost_initial_mortality, ghost_duration_efficiency, and ghost_vulnerability_species across component categories; ghost_fishing_mean is mean of those three.",TRUE,"Longline, pelagic; Trawl, bottom"
"Composite: Pole-and-line, including anchored FADs + Purse seine, non-tuna",0.175,0.3,0.175,0.2167,Composite mean of Supplement Table S2 (S3.1) components,"Arithmetic mean of ghost_initial_mortality, ghost_duration_efficiency, and ghost_vulnerability_species across component categories; ghost_fishing_mean is mean of those three.",TRUE,"Pole-and-line, including anchored FADs; Purse seine, non-tuna"
"Composite: Purse seine, non-tuna + Trawl, midwater",0.25,0.125,0.175,0.1833,Composite mean of Supplement Table S2 (S3.1) components,"Arithmetic mean of ghost_initial_mortality, ghost_duration_efficiency, and ghost_vulnerability_species across component categories; ghost_fishing_mean is mean of those three.",TRUE,"Purse seine, non-tuna; Trawl, midwater"
