"recorded_taxa_group","estimated_genus_name","estimated_taxa_group","Major_Functional_Group"
"CAMARON","Penaeus","CAMARON","Shrimps, prawns"
"MACARELA","Scomber","MACARELA","Pelagic marine fishes"
"SARDINA","Opisthonema","SARDINA","Pelagic marine fishes"
"SARDINA",NA,"SARDINA","Pelagic marine fishes"
"SARDINA","Sardinops","SARDINA","Pelagic marine fishes"
"RAYA Y SIMILARES","Mobula","RAYA Y SIMILARES","Demersal marine fishes"
"TIBURON","Squatina","TIBURON","Sharks"
"JAIBA","NEI","JAIBA","Crustaceans"
"CABRILLA","Mycteroperca","CABRILLA","Demersal marine fishes"
"PULPO","NEI","PULPO","Cephalopods"
"OTRAS","Balistes","CARPA","Demersal marine fishes"
"CAZON","NEI","CAZON","Sharks"
"LENGUADO","NEI","LENGUADO","Demersal marine fishes"
"TIBURON","Mustelus","TIBURON","Sharks"
"CORVINA","Cynoscion","CORVINA","Demersal marine fishes"
"OTRAS",NA,"OTRAS",NA
"LANGOSTA","Panulirus","LANGOSTA","Crustaceans"
"CAMARON",NA,"CAMARON","Shrimps, prawns"
"CALAMAR","Dosidicus","CALAMAR","Cephalopods"
"OTRAS","Sphoeroides","OTRAS","Demersal marine fishes"
"ALMEJA","Argopecten","ALMEJA","Molluscs excl. Cephalopods"
"CARACOL","NEI","CARACOL","Molluscs excl. Cephalopods"
"RAYA Y SIMILARES","Pseudobatos","RAYA Y SIMILARES","Demersal marine fishes"
"RAYA Y SIMILARES","Hypanus","RAYA Y SIMILARES","Demersal marine fishes"
"OTRAS","Pseudobatos","RAYA Y SIMILARES","Demersal marine fishes"
"TIBURON","NEI","TIBURON","Sharks"
"OTRAS","Haemulon","OTRAS","Demersal marine fishes"
"BANDERA","NEI","BANDERA","Demersal marine fishes"
"PAMPANO","Trachinotus","PAMPANO","Pelagic marine fishes"
"SIERRA","Scomberomorus","SIERRA","Pelagic marine fishes"
"LISA","Mugil","LISA","Demersal marine fishes"
"BANDERA","Gerres","BANDERA","Demersal marine fishes"
"ROBALO","Centropomus","ROBALO","Demersal marine fishes"
"BERRUGATA","Micropogonias","BERRUGATA","Demersal marine fishes"
"BAQUETA","Hyporthodus","BAQUETA","Demersal marine fishes"
"OTRAS","Caulolatilus","OTRAS","Demersal marine fishes"
"GUACHINANGO","Lutjanus","GUACHINANGO","Demersal marine fishes"
"ALMEJA",NA,"ALMEJA","Molluscs excl. Cephalopods"
"TIBURON","Carcharhinus","TIBURON","Sharks"
"OSTION",NA,"OSTION","Molluscs excl. Cephalopods"
"PARGO","Lutjanus","GUACHINANGO","Demersal marine fishes"
"PARGO","Hoplopagrus","OTRAS","Demersal marine fishes"
"LENGUADO","Brotula","LENGUADO","Demersal marine fishes"
"RONCO","Haemulopsis","RONCO","Demersal marine fishes"
"OTRAS","Anisotremus","MOJARRA","Demersal marine fishes"
"MERO","Epinephelus","MERO","Demersal marine fishes"
"MOJARRA","Eucinostomus argenteus","MOJARRA","Marine fishes NEI"
"OTRAS","Centropomus","ROBALO","Demersal marine fishes"
"MOJARRA","NEI","MOJARRA","Marine fishes NEI"
"MOJARRA","Calamus","MOJARRA","Marine fishes NEI"
"BERRUGATA","Menticirrhus","BERRUGATA","Demersal marine fishes"
"JUREL","Seriola","ESMEDREGAL","Pelagic marine fishes"
"OTRAS","NEI","OTRAS",NA
"JUREL","NEI","JUREL","Pelagic marine fishes"
"CABRILLA","Paralabrax","CABRILLA","Demersal marine fishes"
"OTRAS","Scorpaena","OTRAS","Demersal marine fishes"
"ERIZO","NEI","ERIZO","Other marine invertebrates"
"CAMARON","NEI","CAMARON","Shrimps, prawns"
"CAMARON","Rimapenaeus","CAMARON","Shrimps, prawns"
"CAMARON","Sicyonia","CAMARON","Shrimps, prawns"
"SARDINA","Cetengraulis","SARDINA","Pelagic marine fishes"
"ATUN","Thunnus","ATUN","Pelagic marine fishes"
"BARRILETE","Katsuwonus","BARRILETE","Pelagic marine fishes"
"OTRAS","Paralabrax","CABRILLA","Demersal marine fishes"
"PIERNA","Caulolatilus","OTRAS","Demersal marine fishes"
"OTRAS","Orthopristis","OTRAS","Demersal marine fishes"
"OTRAS","Pseudupeneus","OTRAS","Demersal marine fishes"
"ESMEDREGAL","Seriola","ESMEDREGAL","Pelagic marine fishes"
"OTRAS","Anoplopoma","OTRAS","Demersal marine fishes"
"RONCO","Menticirrhus","BERRUGATA","Demersal marine fishes"
"FAUNA",NA,"FAUNA",NA
"OTRAS","Coryphaena","OTRAS","Pelagic marine fishes"
"ABULON","NEI","ABULON","Molluscs excl. Cephalopods"
"CARACOL","Megastraea","CARACOL","Molluscs excl. Cephalopods"
"TIBURON","Galeocerdo","TIBURON","Sharks"
"OTRAS","Lutjanus","GUACHINANGO","Demersal marine fishes"
"ALMEJA","Megapitaria","ALMEJA","Molluscs excl. Cephalopods"
"BONITO","Sarda","BONITO","Pelagic marine fishes"
"SARDINA","Etrumeus","SARDINA","Pelagic marine fishes"
"MOJARRA","Eugerres","MOJARRA","Marine fishes NEI"
"RONCO","NEI","RONCO","Demersal marine fishes"
"OTRAS","Aluterus","OTRAS","Demersal marine fishes"
"OTRAS","Diplectrum","OTRAS","Demersal marine fishes"
"OTRAS","Chanos","OTRAS","Diadromous fishes"
"OTRAS","Xiphias","OTRAS","Pelagic marine fishes"
"ABULON","Haliotis","ABULON","Molluscs excl. Cephalopods"
"MERO","Mycteroperca","CABRILLA","Demersal marine fishes"
"MERO","Hyporthodus niphobles","MERO","Demersal marine fishes"
"CARPA","Balistes","CARPA","Demersal marine fishes"
"ANCHOVETA",NA,"ANCHOVETA","Pelagic marine fishes"
"OTRAS","Opistognathus","OTRAS","Demersal marine fishes"
"TIBURON","Ginglymostoma","TIBURON","Sharks"
"RAYA Y SIMILARES","Aetobatus","RAYA Y SIMILARES","Demersal marine fishes"
"TIBURON","Lamna","PETO","Sharks"
"ALGAS","Gelidium","ALGAS","Marine algae"
"OTRAS","Epinephelus","MERO","Demersal marine fishes"
"PEPINO DE MAR","Especies","PEPINO DE MAR","Other marine invertebrates"
"OTRAS","Caranx","BONITO","Pelagic marine fishes"
"OTRAS","Selene","RONCO","Demersal marine fishes"
"OTRAS","Xenichthys","OTRAS","Demersal marine fishes"
"OTRAS","Merluccius","OTRAS","Demersal marine fishes"
"CAMARON","Litopenaeus","CAMARON","Shrimps, prawns"
"CAMARON","Farfantepenaeus","CAMARON","Shrimps, prawns"
"LISA","NEI","LISA","Demersal marine fishes"
"MOJARRA","Diapterus","MOJARRA","Marine fishes NEI"
