GeneralName,Eng_CommonName,ScientificName,NewClass,Represented
OTRAS,Surfperch,ABUDEFDUF DECLIVIFRONS,DemersalFish_Resident,
PETO,Wahoo,ACANTHOCYBIUM SOLANDRI,LargePelagic,
OTRAS,Surgeon,ACANTHURUS BAHIANUS,DemersalFish_Resident,
OTRAS,Surgeon,ACANTHURUS SPP,DemersalFish_Resident,
OTRAS,Surgeon,ACANTHURUS XANTHOPTERUS,DemersalFish_Resident,
LENGUADO,Sole,ACHIRUS FASCIATUS,DemersalFish_NonResident,
LENGUADO,Sole,ACHIRUS MAZATLANUS,DemersalFish_NonResident,
OTRAS,Sea anemone,ACTINIA EQUINA,Other_exclude,
RAYA Y SIMILARES,Pelagic ray,AETOBATUS NARINARI,LargePelagic,family
MOJARRA,Mullet,AGONOSTOMUS MONTICOLA,SmallPelagic,family
OTRAS,Bonefish,ALBULA NEMOPTERA,DemersalFish_NonResident,
OTRAS,Bonefish,ALBULA VULPES,DemersalFish_NonResident,
PAMPANO,Jack,ALECTIS CILIARIS,LargePelagic,
PAMPANO,Jack,ALECTIS CRINITUS,LargePelagic,
OTRAS,Freshwater carp,ALGANSEA LACUSTRIS,Other_freshwater,
TIBURON,Shark,ALOPIAS SUPERCILIOSUS,LargePelagic,
TIBURON,Shark,ALOPIAS VULPINUS,LargePelagic,
OTRAS,Grouper,ALPHESTES AFER,DemersalFish_Resident,
OTRAS,Grouper,ALPHESTES GALAPAGENSIS,DemersalFish_Resident,
OTRAS,Filefish,ALUTERUS SCRIPTUS,DemersalFish_Resident,
MOJARRA,Cichlid,AMPHILOPHUS MACRACANTHUS,Other_freshwater,
ALMEJA,Clams,ANADARA MULICOSTATA/ANADARA GRANDIS,DemersalMollusc,
ANCHOVETA,Anchovy,ANCHOA HEPSETUS,SmallPelagic,
OTRAS,Anchovy,ANCHOA ISCHANA,SmallPelagic,
OTRAS,Eel,ANGUILLA ROSTRATA,DemersalFish_Resident,
OTRAS,Grunt,ANISOTREMUS CAESIUS,DemersalFish_Resident,
MOJARRA,Sargo,ANISOTREMUS DAVIDSONII,DemersalFish_NonResident,
OTRAS,Grunt,ANISOTREMUS DOVII,DemersalFish_Resident,
OTRAS,Grunt,ANISOTREMUS INTERRUPTUS,DemersalFish_Resident,
OTRAS,Grunt,ANISOTREMUS SURINAMENSIS,DemersalFish_Resident,
MOJARRA,Sargo,ANISOTREMUS TAENIATUS,DemersalFish_NonResident,
OTRAS,Grunt,ANISOTREMUS VIRGINICUS,DemersalFish_Resident,
OTRAS,CardinalFish,APOGON RETROSELLA,DemersalFish_Resident,
PARGOS Y GUACHINANGO,Snapper,APSILUS DENTATUS,DemersalFish_Resident,
ALMEJA,Clams,ARCA PACIFICA,DemersalMollusc,
BESUGO,Porgy,ARCHOSARGUS PROBATOCEPHALUS,DemersalFish_Resident,
BESUGO,Porgy,ARCHOSARGUS RHOMBOIDAL,DemersalFish_Resident,
ALMEJA,Clams,ARGOPECTEN CIRCULARIS,DemersalMollusc,
ALMEJA,Clams,ARGOPECTEN CIRCULARIS/ARGOPECTEN VENTRICOSUS,DemersalMollusc,
ALMEJA,Clams,ARGOPECTEN VENTRICOSUS,DemersalMollusc,
CORVINA,Croaker,ARGYROSOMUS REGIUS,DemersalFish_NonResident,
CORVINA,Croaker,ARGYROSOMUS SPP,DemersalFish_NonResident,
BAGRE,Sea Catfish,ARIOPSIS FELIS,DemersalFish_NonResident,
BAGRE,Sea Catfish,ARIOPSIS SEEMANI,DemersalFish_NonResident,
BAGRE,Sea Catfish,ARIOPSIS SPP,DemersalFish_NonResident,
BAGRE,Sea Catfish,ARIUS AZUREUS,DemersalFish_NonResident,
OTRAS,Puffer,AROTHRON MELEAGRIS,DemersalFish_Resident,
CARACOL,Turban snail,ASTRAEA UNDOSA/ASTRAEA TURBANICA,DemersalMollusc,
CARACOL,Turban snail,ASTREA UNDOSA,DemersalMollusc,
OTRAS,Silverside,ATHERINOPSIS CALIFORNIENSIS,SmallPelagic,
CORVINA,Croaker,ATRACTOSCION NOBILIS,DemersalFish_NonResident,yes
OTRAS,Freshwater gar,ATRACTOSTEUS TROPICUS,Other_freshwater,
OTRAS,Pen bivalve,ATRINA MAURA,DemersalMollusc,
OTRAS,Pen bivalve,ATRINA SPP,DemersalMollusc,
OTRAS,Freshwater shrimp,ATYA SCABRA,Other_freshwater,
BAGRE,Sea Catfish,BAGRE MARINUS,DemersalFish_NonResident,
BAGRE,Sea Catfish,BAGRE PINNIMACULATUS,DemersalFish_NonResident,
OTRAS,Croaker,BAIRDIELLA CHRYSOLEUCA,DemersalFish_Resident,
OTRAS,Croaker,BAIRDIELLA CHRYSURA,DemersalFish_Resident,
OTRAS,Croaker,BAIRDIELLA ICISTIA,DemersalFish_Resident,
OTRAS,Croaker,BAIRDIELLA RONCHUS,DemersalFish_Resident,
OTRAS,Freshwater minnow,BALANTIOCHEILUS MELANOPTERUS,Other_freshwater,
OTRAS,Triggerfish,BALISTES POLYLEPIS,DemersalFish_Resident,yes
OTRAS,Triggerfish,BALISTES POLYLEPIS/SUFLAMEN VERRES,DemersalFish_Resident,genus
OTRAS,Triggerfish,BALISTES VETULA,DemersalFish_Resident,genus
OTRAS,Eel,BASCANICHTHYS PENINSULAE,DemersalFish_Resident,
OTRAS,Goby,BATHYGOBIUS SOPORATOR,DemersalFish_Resident,
RONCO,Grunt,BATHYSTOMA RIMATOR,DemersalFish_Resident,
OTRAS,Sea robin,BELLATOR MILITARIS,DemersalFish_NonResident,
OTRAS,Garfish,BELONE BELONE,SmallPelagic,
CINTILLA,Scabbardfish,BENTHODESMUS TENUIS,DemersalFish_Resident,
OTRAS,Blenny,BLENNIUS CRISTATUS,DemersalFish_Resident,
OTRAS,Hogfish (wrasse),BODIANUS DIPLOTAENIA,DemersalFish_Resident,
